Category (Col. 1),States/ UTs (Col. 2),Category of Complaints Received (Col. 3) - Oral,Category of Complaints Received (Col. 4) - Written,Category of Complaints Received (Col. 5) - Distress call over Phone,Category of Complaints Received (Col. 6) - Complaints Initiated Suemoto by Police,Category of Complaints Received (Col. 7) - Total Complaints = Col. (3 to 6),No. of Cases Registered Under (Col. 8) - IPC,No. of Cases Registered Under (Col. 9) - SLL,No. of Cases Registered Under (Col. 10) - Total = Col. (8+9)
State,Andhra Pradesh,107851,440345,47714,244021,839931,173909,602146,776055
State,Arunachal Pradesh,0,2351,0,12,2363,2294,69,2363
State,Assam,149,46097,171,579,46996,43673,3323,46996
State,Bihar,12555,93068,2186,2015,109824,100665,9159,109824
State,Chhattisgarh,100262,34678,45800,6510,187250,45177,142073,187250
State,Goa,920,833,0,4409,6162,2204,3958,6162
State,Gujarat,120184,95672,2470,73731,292057,120972,171085,292057
State,Haryana,1312,99650,14,3241,104217,50509,22221,72730
State,Himachal Pradesh,2644,12106,271,3075,18096,13093,5003,18096
State,Jammu & Kashmir,6062,12425,163,5009,23659,20787,2816,23603
State,Jharkhand,7841,30877,20,629,39367,36364,2536,38900
State,Karnataka,33349,85640,323,14127,133439,117710,15729,133439
State,Kerala,63536,187567,5485,58944,315532,105255,54176,159431
State,Madhya Pradesh,237594,104028,206,36552,378380,194711,183669,378380
State,Maharashtra,215481,452895,5225,174076,847677,191788,129397,321185
State,Manipur,18,2197,0,1152,3367,2884,483,3367
State,Meghalaya,40,1887,30,65,2022,1935,85,2020
State,Mizoram,0,2421,0,629,3050,2073,977,3050
State,Nagaland,35,1174,0,263,1472,1103,308,1411
State,Orissa,2204,56579,0,6769,65552,52792,12760,65552
State,Punjab,1938,191281,9769,4261,207249,32068,20730,52798
State,Rajasthan,11585,132110,84,34155,177934,141992,35942,177934
State,Sikkim,177,612,35,22,846,703,143,846
State,Tamil Nadu,35715,170769,21646,370049,598179,148972,449207,598179
State,Tripura,347,3552,0,247,4146,3940,206,4146
State,Uttar Pradesh,895,127990,310,1187022,1316217,127001,1189216,1316217
State,Uttaranchal,225,10518,0,117994,128737,8412,120325,128737
State,West Bengal,15931,111343,17448,3747,148469,68052,7588,75640
State,Total (States),978850,2510665,159370,2353305,6002190,1811038,3185330,4996368
Union Territory,A & N Islands,725,143,73,6261,7202,676,6526,7202
Union Territory,Chandigarh,0,5243,20706,10,25959,3126,917,4043
Union Territory,D & N Haveli,346,94,0,4,444,435,9,444
Union Territory,Daman & Diu,167,109,0,15,291,288,3,291
Union Territory,Delhi,29125,200253,407050,8173,644601,57963,30372,88335
Union Territory,Lakshadweep,0,72,0,21,93,80,13,93
Union Territory,Pondicherry,2013,2756,0,915,5684,4687,997,5684
Union Territory,Total (UTs),32376,208670,427829,15399,684274,67255,38837,106092
Total (All-India),Total (All-India),1011226,2719335,587199,2368704,6686464,1878293,3224167,5102460
