Sr. No.,Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose Cases Compounded or Withdrawn,No of Persons whose Trial Completed,No of Persons whose Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,648828,1960,606452,40416,589043,6.2,0.7
2,State,Arunachal Pradesh,664,1,20,643,9,96.8,0
3,State,Assam,15913,94,2091,13728,616,86.3,0.2
4,State,Bihar,80670,406,9896,70368,3460,87.2,1.2
5,State,Chhattisgarh,159629,1944,122268,35417,119039,22.2,0.6
6,State,Goa,11594,0,4818,6776,2905,58.4,0.1
7,State,Gujarat,1907890,4627,304603,1598660,145278,83.8,26.3
8,State,Haryana,150808,0,30348,120460,16257,79.9,2
9,State,Himachal Pradesh,31707,154,4459,27094,1424,85.5,0.4
10,State,Jammu & Kashmir,24909,6,2899,22004,1233,88.3,0.4
11,State,Jharkhand,13718,551,2014,11153,602,81.3,0.2
12,State,Karnataka,101309,237,36104,64968,22568,64.1,1.1
13,State,Kerala,202468,715,61824,139929,46167,69.1,2.3
14,State,Madhya Pradesh,370388,680,215748,153960,202403,41.6,2.5
15,State,Maharashtra,1663062,14303,118791,1529968,8844,92,25.1
16,State,Manipur,1697,34,44,1619,29,95.4,0
17,State,Meghalaya,1231,0,111,1120,83,91,0
18,State,Mizoram,2001,0,1561,440,1525,22,0
19,State,Nagaland,1388,0,501,887,479,63.9,0
20,State,Orissa,80145,0,8225,71920,2310,89.7,1.2
21,State,Punjab,102662,44,21607,81011,16069,78.9,1.3
22,State,Rajasthan,168274,1899,44628,121747,39079,72.4,2
23,State,Sikkim,197,0,113,84,109,42.6,0
24,State,Tamil Nadu,411966,9877,305541,96548,230266,23.4,1.6
25,State,Tripura,399,0,136,263,22,65.9,0
26,State,Uttar Pradesh,2568408,529,1021209,1546670,893411,60.2,25.4
27,State,Uttarakhand,188810,87,80028,108695,79209,57.6,1.8
28,State,West Bengal,66285,244,11139,54902,4717,82.8,0.9
State,State,Total (States),8977020,38392,3017178,5921450,2427156,66,97.3
29,Union Territory,A & N Islands,23575,0,4362,19213,4355,81.5,0.3
30,Union Territory,Chandigarh,2712,0,964,1748,933,64.5,0
31,Union Territory,D & N Haveli,223,0,26,197,2,88.3,0
32,Union Territory,Daman & Diu,85,0,10,75,3,88.2,0
33,Union Territory,Delhi,154118,0,13622,140496,6373,91.2,2.3
34,Union Territory,Lakshadweep,12,0,5,7,5,58.3,0
35,Union Territory,Puducherry,1946,0,1296,650,1240,33.4,0
Union Territory,Union Territory,Total (UTs),182671,0,20285,162386,12911,88.9,2.7
Total (All-India),Total (All-India),Total (All-India),9159691,38392,3037463,6083836,2440067,66.4,100
