Sr. No.,Category,States/UTs,Officers (Dy.SP & Above) - Sanctioned Strength,Officers (Dy.SP & Above) - Built-in Houses Provided by Government,"Officers (Dy.SP & Above) - Houses Provided on Lease, Rent/General Pool by Govt.",Upper Subordinates (ASI to Inspectors) - Sanctioned Strength,Upper Subordinates (ASI to Inspectors) - Built-in Houses Provided by Government,"Upper Subordinates (ASI to Inspectors) - Houses Provided on Lease, Rent/General Pool by Govt.","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Sanctioned Strength","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Built-in Houses Provided by Government","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Houses Provided on Lease, Rent/General Pool by Govt."
1,State,Andhra Pradesh,637,32,566,8744,2763,3153,78050,37410,2768
2,State,Arunachal Pradesh,96,77,19,649,302,347,5556,2382,3174
3,State,Assam,531,9,0,6008,71,0,49408,71,0
4,State,Bihar,506,137,369,12281,2318,9963,61725,3997,57728
5,State,Chhattisgarh,358,64,50,4363,476,442,35032,4940,2124
6,State,Goa,33,10,6,350,138,2,3457,991,0
7,State,Gujarat,415,146,25,13430,5380,371,72678,28736,2810
8,State,Haryana,263,177,23,5496,520,2902,39903,8418,19979
9,State,Himachal Pradesh,172,44,21,1592,256,0,12926,2327,0
10,State,Jammu & Kashmir,650,73,0,6406,377,0,61069,3292,0
11,State,Jharkhand,89,39,18,2923,634,1080,23455,1627,2208
12,State,Karnataka,277,120,32,5991,2725,709,56479,27071,3993
13,State,Kerala,433,143,0,4237,419,0,41956,6344,0
14,State,Madhya Pradesh,914,364,191,9041,1979,1175,66410,18419,8113
15,State,Maharashtra,1078,0,0,26573,5304,0,134046,78705,0
16,State,Manipur,226,49,5,1555,65,2,15580,105,2
17,State,Meghalaya,110,45,65,1162,868,294,8955,2159,6796
18,State,Mizoram,149,125,6,1271,780,1,7580,985,0
19,State,Nagaland,128,41,10,640,226,92,11451,2722,1016
20,State,Orissa,509,124,0,6793,1756,0,37854,7855,0
21,State,Punjab,652,47,0,7197,1627,0,64078,11102,0
22,State,Rajasthan,1029,52,0,9802,1900,0,61106,13749,0
23,State,Sikkim,84,8,9,427,190,0,3559,394,0
24,State,Tamil Nadu,1073,342,0,10326,3391,0,87347,39000,0
25,State,Tripura,334,79,0,1957,326,0,22825,1938,0
26,State,Uttar Pradesh,1632,1211,403,14614,6775,1375,150729,43247,10315
27,State,Uttarakhand,161,59,0,1073,538,0,16605,3720,0
28,State,West Bengal,743,523,23,21966,4471,227,71362,9847,987
State,State,Total (States),13282,4140,1841,186867,46575,22135,1301181,361553,122013
29,Union Territory,A & N Islands,18,7,4,428,42,0,2455,923,0
30,Union Territory,Chandigarh,17,10,0,487,487,0,3705,1792,0
31,Union Territory,D & N Haveli,2,0,2,17,0,18,222,0,200
32,Union Territory,Daman & Diu,5,0,0,22,6,0,218,69,0
33,Union Territory,Delhi,425,332,0,10798,6546,0,51197,5228,0
34,Union Territory,Lakshadweep,2,1,1,53,34,3,294,179,115
35,Union Territory,Puducherry,25,14,0,315,87,0,2167,769,0
Union Territory,Union Territory,Total (UTs),494,364,7,12120,7202,21,60258,8960,315
Total (All-India),Total (All-India),Total (All-India),13776,4504,1848,198987,53777,22156,1361439,370513,122328
