Sr. No.,Category,States/UTs/Cities,2001,2002,2003,2004,2005,Quinquennial Average (2001- 2005) (Q.A.),2006,Percentage Change in 2006 [(+) Increase (-) Decrease] Over - QA,Percentage Change in 2006 [(+) Increase (-) Decrease] Over - 2005
1,State,Andhra Pradesh,130089,143610,156951,158756,157123,149306,173909,16.5,10.7
2,State,"Arunachal
pradesh",2342,2228,2061,2256,2304,2238,2294,2.5,-0.4
3,State,Assam,36877,36346,38195,40675,42006,38820,43673,12.5,4
4,State,Bihar,88432,94040,92263,108060,97850,96129,100665,4.7,2.9
5,State,Chhattisgarh,38460,37950,38449,41927,43633,40084,45177,12.7,3.5
6,State,Goa,2341,2440,2244,2127,2119,2254,2204,-2.2,4
7,State,Gujarat,103419,106675,103709,105469,113414,106537,120972,13.5,6.7
8,State,Haryana,38759,40152,38612,39096,42664,39857,50509,26.7,18.4
9,State,Himachal Pradesh,11499,12243,12011,12326,12345,12085,13093,8.3,6.1
10,State,Jammu & Kashmir,19505,19967,21233,21191,20115,20402,20787,1.9,3.3
11,State,Jharkhand,25447,31439,32203,31439,35175,31141,36364,16.8,3.4
12,State,Karnataka,109098,113699,112405,114440,117580,113444,117710,3.8,0.1
13,State,Kerala,103847,104200,98824,104025,104350,103049,105255,2.1,0.9
14,State,Madhya Pradesh,181741,191799,191078,196867,189172,190131,194711,2.4,2.9
15,State,Maharashtra,171233,165462,164306,176302,187027,172866,191788,10.9,2.5
16,State,Manipur,2489,2584,2537,2535,2913,2612,2884,10.4,-1
17,State,Meghalaya,1687,1664,1669,1757,1880,1731,1935,11.8,2.9
18,State,Mizoram,2246,2820,3456,1515,2156,2439,2073,-15,-3.8
19,State,Nagaland,1234,1114,976,984,1049,1071,1103,2.9,5.1
20,State,Orissa,46661,47728,47281,48739,51685,48419,52792,9,2.1
21,State,Punjab,27774,28794,28756,25630,27136,27618,32068,16.1,18.2
22,State,Rajasthan,155185,151248,145579,154859,140917,149558,141992,-5.1,0.8
23,State,Sikkim,444,485,443,631,552,511,703,37.6,27.4
24,State,Tamil Nadu,154801,166942,157186,166606,162360,161579,148972,-7.8,-8.2
25,State,Tripura,2801,3075,3514,3081,3356,3165,3940,24.5,17.4
26,State,Uttar Pradesh,178129,146037,95073,130181,122108,134306,127001,-5.4,4
27,State,Uttaranchal,8073,7976,7923,8634,8033,8128,8412,3.5,4.7
28,State,West Bengal,61563,58962,61174,69350,66406,63491,68052,7.2,2.5
State,State,Total (States),1706176,1721679,1660111,1769458,1757428,1722970,1811038,5.1,3.1
29,Union Territory,A & N Islands,658,608,644,748,682,668,676,1.2,-0.9
30,Union Territory,Chandigarh,3397,3806,2806,2889,3133,3206,3126,-2.5,-0.2
31,Union Territory,D & N Haveli,350,349,338,409,434,376,435,15.7,0.2
32,Union Territory,Daman & Diu,239,261,269,198,243,242,288,19,18.5
33,Union Territory,Delhi,54384,49137,47404,53623,56065,52123,57963,11.2,3.4
34,Union Territory,Lakshadweep,36,53,31,70,42,46,80,72.4,90.5
35,Union Territory,Pondicherry,4068,4437,4517,4620,4575,4443,4687,5.5,2.4
Union Territory,Union Territory,Total (UTs),63132,58651,56009,62557,65174,61105,67255,10.1,3.2
Total (All-India),Total (All-India),Total (All-India),1769308,1780330,1716120,1832015,1822602,1784075,1878293,5.3,3.1
36,City,Agra,6661,5617,2227,3442,3248,4239,4410,4,35.8
37,City,Ahmedabad,13496,14479,16199,17553,17468,15839,19238,21.5,10.1
38,City,Allahabad,2126,1838,1072,1551,1564,1630,1589,-2.5,1.6
39,City,Amritsar,1062,1077,1143,1204,931,1083,1295,19.5,39.1
40,City,Asansol,NR,363,1327,1062,1217,794,1699,114,39.6
41,City,Bangalore,27254,29120,29260,28526,29042,28640,26284,-8.2,-9.5
42,City,Bhopal,10780,11166,11780,12268,8092,10817,10468,-3.2,29.4
43,City,Chennai,7292,8526,8580,12436,20127,11392,16168,41.9,-19.7
44,City,Coimbatore,3490,3226,3187,3831,3845,3516,3974,13,3.4
45,City,Delhi (city),49343,44158,41961,48677,51010,47030,53007,12.7,3.9
46,City,Dhanbad,NR,3242,1929,1726,1758,1731,1577,-8.9,-10.3
47,City,Faridabad,3275,4305,3987,3148,3153,3574,4682,31,48.5
48,City,Hyderabad,11831,14413,20252,18868,17276,16528,17295,4.6,0.1
49,City,Indore,10263,11678,12286,11935,12556,11744,12605,7.3,0.4
50,City,Jabalpur,5736,6735,6990,6395,6082,6388,6244,-2.2,2.7
51,City,Jaipur,12181,11758,11579,13224,11790,12106,13877,14.6,17.7
52,City,Jamshedpur,NR,2405,2550,2203,2538,1939,2624,35.3,3.4
53,City,Kanpur,6808,5908,3618,4526,3718,4916,4736,-3.7,27.4
54,City,Kochi,6067,6524,6829,6756,5930,6421,5699,-11.2,-3.9
55,City,Kolkata,11970,10663,10714,10757,9391,10699,9381,-12.3,-0.1
56,City,Lucknow,7606,6954,4277,6300,6147,6257,6772,8.2,10.2
57,City,Ludhiana,3572,5245,4256,2551,2541,3633,2817,-22.5,10.9
58,City,Madurai,4161,3689,3253,3164,3384,3530,2464,-30.2,-27.2
59,City,Meerut,2918,2334,1641,2479,2439,2362,2400,1.6,-1.6
60,City,Mumbai,28968,26276,25686,29453,31432,28363,31070,9.5,-1.2
61,City,Nagpur,9912,8721,7357,8518,9605,8823,9991,13.2,4
62,City,Nasik,2195,2521,2542,2606,2776,2528,2951,16.7,6.3
63,City,Patna,5617,6100,6545,7597,7888,6749,8432,24.9,6.9
64,City,Pune,8936,8504,8813,10754,11817,9765,11484,17.6,-2.8
65,City,Rajkot,4774,4644,4802,4339,3934,4499,3489,-22.4,-11.3
66,City,Surat,3995,4172,4401,4131,5273,4394,8659,97,64.2
67,City,Vadodara,5047,7116,5712,5551,5276,5740,5672,-1.2,7.5
68,City,Varanasi,2302,2281,1146,1557,1214,1700,1970,15.9,62.3
69,City,Vijayawada,6733,9083,10084,7659,5791,7870,5862,-25.5,1.2
70,City,Vishakhapatnam,3404,2838,3261,3182,4455,3428,5478,59.8,23
City,City,Total (Cities),289775,297679,291246,309929,314708,300667,326363,8.5,3.7
