Sr. No.(Col. 1),Crime Head (Col. 2),Total No. for Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn(Col. 5),No. of Cases in Which Trials Completed - Convicted(Col. 6),No. of Cases in Which Trials Completed - Acquitted or Discharged(Col. 7),No. of Cases in Which Trials Completed - Total (Col. 8) = Col. {(6) + (7)),Pending Trial at the end of the year (Col. 9)
1,Infanticide (Sec.315 IPC),221,0,0,15,18,33,188
2,"Murder (Sec.302, 303 IPC)",4490,0,12,366,480,846,3632
3,Rape (Sec.376 IPC),13161,0,18,908,1622,2530,10613
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",10492,12,22,538,1238,1776,8694
5,"Foeticide (Sec.315,316 IPC)",113,0,0,5,28,33,80
6,Abetment of Suicide (Sec.305 IPC),108,0,0,0,17,17,91
7,Exposure and Abandonment (Sec. 317 IPC),824,0,3,12,45,57,764
8,Procuration Minor Girls (Sec. 366A IPC),480,0,5,13,70,83,392
9,Buying of Girls for Prost. (Sec.373 IPC),72,0,0,3,10,13,59
10,Selling of Girls for Prost. (Sec.372 IPC),136,0,0,15,34,49,87
11,"Child Marriage Restraint Act, 1978",448,0,2,14,27,41,405
12,Other Crime,17444,0,631,1397,2408,3805,13008
Total,Total,47989,12,693,3286,5997,9283,38013
