Sr. No.,Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Railways Act - Incidence,Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P) Act - Incidence,Indecent Representation of Women(P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev) of Attrocities Act for SCs - Incidence,SC/ST (Prev) of Attrocities Act for SCs - Rate,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate,SC/ST (Prev. of Atrocities) Act (Total) - Incidence,SC/ST (Prev. of Atrocities) Act (Total) - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
1,State,Andhra Pradesh,291,0.4,534,0.7,41488,51.4,1272,1.6,886,1.1,351,0.4,657,0.8,6,0,4,0,93,0.1,12,0,105,0.1,64,0.1,259,0.3,0,0,17,0,474,0.6,17,0,1347,1.7,1800,2.2,0,0,1514,1.9,298,0.4,1812,2.2,40,0,550722,682.2,602146,745.9
2,State,Arunachal Pradesh,10,0.9,25,2.1,0,0,0,0,0,0,3,0.3,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.6,69,5.9
3,State,Assam,288,1,155,0.5,81,0.3,33,0.1,1,0,137,0.5,29,0.1,16,0.1,6,0,0,0,0,0,0,0,35,0.1,36,0.1,0,0,0,0,31,0.1,1,0,0,0,36,0.1,0,0,0,0,0,0,0,0,4,0,2434,8.3,3323,11.4
4,State,Bihar,2403,2.6,320,0.4,242,0.3,1645,1.8,22,0,272,0.3,13,0,15,0,2,0,2,0,0,0,2,0,0,0,542,0.6,0,0,0,0,909,1,2,0,0,0,12,0,0,0,1438,1.6,32,0,1470,1.6,35,0,1253,1.4,9159,10
5,State,Chhattisgarh,1144,5,401,1.7,10833,47.1,11670,50.8,0,0,283,1.2,13,0.1,5,0,0,0,0,0,0,0,0,0,0,0,169,0.7,0,0,0,0,9,0,5,0,0,0,37,0.2,0,0,120,0.5,161,0.7,281,1.2,8,0,117215,509.8,142073,618
6,State,Goa,3,0.2,29,1.9,1286,82.9,0,0,0,0,1,0.1,26,1.7,0,0,32,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.7,0,0,4,0.3,0,0,4,0.3,2,0.1,2564,165.3,3958,255.2
7,State,Gujarat,260,0.5,77,0.1,8248,15,0,0,137022,248.8,59,0.1,78,0.1,2,0,4,0,4,0,0,0,4,0,10,0,266,0.5,0,0,0,0,1,0,12,0,0,0,445,0.8,0,0,359,0.7,53,0.1,412,0.7,2,0,24183,43.9,171085,310.6
8,State,Haryana,1213,5.2,1521,6.6,6406,27.7,10797,46.6,0,0,41,0.2,85,0.4,11,0,22,0.1,0,0,0,0,0,0,4,0,293,1.3,0,0,0,0,7,0,7,0,0,0,199,0.9,0,0,86,0.4,0,0,86,0.4,2,0,1527,6.6,22221,95.9
9,State,Himachal Pradesh,13,0.2,385,6,531,8.2,3442,53.4,0,0,4,0.1,0,0,0,0,5,0.1,0,0,2,0,2,0,0,0,18,0.3,0,0,0,0,2,0,1,0,0,0,48,0.7,0,0,36,0.6,7,0.1,43,0.7,234,3.6,275,4.3,5003,77.6
10,State,Jammu & Kashmir,713,6.1,244,2.1,163,1.4,406,3.5,0,0,214,1.8,5,0,0,0,32,0.3,2,0,0,0,2,0,7,0.1,787,6.7,0,0,0,0,2,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,5,0,226,1.9,2816,24
11,State,Jharkhand,479,1.6,63,0.2,156,0.5,275,0.9,1,0,104,0.4,11,0,2,0,2,0,11,0,34,0.1,45,0.2,10,0,118,0.4,0,0,2,0,345,1.2,0,0,2,0,31,0.1,0,0,135,0.5,91,0.3,226,0.8,86,0.3,578,2,2536,8.7
12,State,Karnataka,87,0.2,209,0.4,7167,12.7,1954,3.5,0,0,85,0.2,786,1.4,2,0,20,0,25,0,1,0,26,0,20,0,245,0.4,0,0,3,0,476,0.8,6,0,0,0,364,0.6,0,0,1051,1.9,117,0.2,1168,2.1,138,0.2,2973,5.3,15729,27.9
13,State,Kerala,393,1.2,391,1.2,1726,5.1,0,0,4826,14.3,439,1.3,189,0.6,4,0,13,0,0,0,0,0,0,0,128,0.4,118,0.4,0,0,0,0,5,0,1,0,59,0.2,671,2,0,0,70,0.2,2,0,72,0.2,17,0.1,45124,134,54176,160.9
14,State,Madhya Pradesh,11931,17.8,1078,1.6,32390,48.2,22605,33.6,1955,2.9,234,0.3,12,0,7,0,1,0,1,0,0,0,1,0,1,0,477,0.7,0,0,0,0,32,0,4,0,2,0,166,0.2,0,0,338,0.5,218,0.3,556,0.8,44,0.1,112173,166.9,183669,273.3
15,State,Maharashtra,1187,1.1,2042,2,17195,16.4,0,0,81364,77.8,96,0.1,378,0.4,23,0,36,0,36,0,0,0,36,0,57,0.1,2629,2.5,0,0,0,0,55,0.1,15,0,9,0,794,0.8,0,0,350,0.3,58,0.1,408,0.4,56,0.1,23017,22,129397,123.7
16,State,Manipur,4,0.2,45,1.7,2,0.1,0,0,0,0,8,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,16.3,483,18.8
17,State,Meghalaya,23,0.9,15,0.6,8,0.3,1,0,0,0,4,0.2,1,0,0,0,16,0.6,0,0,0,0,0,0,1,0,3,0.1,0,0,0,0,0,0,2,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0.4,85,3.4
18,State,Mizoram,20,2.1,36,3.8,0,0,0,0,221,23,8,0.8,0,0,0,0,90,9.4,0,0,0,0,0,0,40,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,58.6,977,101.9
19,State,Nagaland,28,1.3,100,4.7,3,0.1,63,2.9,28,1.3,12,0.6,9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,308,14.4
20,State,Orissa,280,0.7,149,0.4,733,1.9,8849,22.6,1,0,90,0.2,44,0.1,2,0,1,0,0,0,0,0,0,0,0,0,224,0.6,0,0,1,0,1394,3.6,3,0,0,0,66,0.2,0,0,621,1.6,162,0.4,783,2,5,0,135,0.3,12760,32.6
21,State,Punjab,710,2.7,4861,18.6,4305,16.5,9636,36.9,8,0,13,0,67,0.3,9,0,4,0,0,0,0,0,0,0,86,0.3,98,0.4,0,0,0,0,7,0,9,0,1,0,248,1,0,0,99,0.4,0,0,99,0.4,2,0,567,2.2,20730,79.5
22,State,Rajasthan,3364,5.4,1026,1.6,11245,17.9,9329,14.9,0,0,210,0.3,143,0.2,8,0,2,0,0,0,0,0,0,0,6,0,367,0.6,0,0,2,0,3,0,1,0,102,0.2,622,1,0,0,119,0.2,26,0,145,0.2,1997,3.2,7370,11.7,35942,57.2
23,State,Sikkim,3,0.5,19,3.3,0,0,99,17,0,0,2,0.3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,7,1.2,143,24.6
24,State,Tamil Nadu,125,0.2,3161,4.8,18717,28.6,0,0,89447,136.7,378,0.6,1732,2.6,25,0,23,0,84,0.1,0,0,84,0.1,297,0.5,71,0.1,0,0,0,0,81,0.1,6,0,35,0.1,661,1,0,0,468,0.7,1,0,469,0.7,0,0,333895,510.1,449207,686.3
25,State,Tripura,33,1,73,2.1,7,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,206,6
26,State,Uttar Pradesh,39218,21.2,11353,6.1,8201,4.4,40362,21.8,0,0,893,0.5,70,0,32,0,1,0,133,0.1,0,0,133,0.1,21,0,1274,0.7,0,0,2,0,628,0.3,0,0,0,0,315,0.2,0,0,1702,0.9,5,0,1707,0.9,1602,0.9,1083404,585.6,1189216,642.7
27,State,Uttaranchal,1580,17.1,461,5,616,6.7,3041,32.8,0,0,2,0,3,0,15,0.2,0,0,0,0,0,0,0,0,0,0,26,0.3,0,0,0,0,1,0,0,0,0,0,51,0.6,0,0,48,0.5,0,0,48,0.5,68,0.7,114413,1235.3,120325,1299.1
28,State,West Bengal,1659,1.9,591,0.7,286,0.3,344,0.4,15,0,69,0.1,66,0.1,5,0,1781,2.1,0,0,0,0,0,0,111,0.1,130,0.2,0,0,2,0,25,0,6,0,4,0,387,0.4,0,0,0,0,1,0,1,0,0,0,2106,2.4,7588,8.8
State,State,Total (States),67462,6.1,29364,2.7,172035,15.6,125823,11.4,315797,28.7,4013,0.4,4417,0.4,189,0,2105,0.2,391,0,49,0,440,0,898,0.1,8244,0.7,0,0,29,0,4487,0.4,99,0,1561,0.1,6975,0.6,0,0,8559,0.8,1232,0.1,9791,0.9,4347,0.4,2427254,220.5,3185330,289.4
