Nature of Property,Number of Cases in which Property - Stolen,Number of Cases in which Property - Recovered,Percentage of Recovery (Cases),Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery (Value),,,,
Communication & Electricity Wire,12801,4842,37.8,2297.1,813.7,35.4,,,,
Cattle,6390,3653,57.2,786.4,470.4,59.8,,,,
Cycle,9972,6317,63.3,175.9,108.1,61.4,,,,
Motor Vehicles - Total,89880,25995,28.9,55814,19616.7,35.1,,,,
Motor Vehicles - Motor Cycle & Scooter Etc.,69447,19858,28.6,16253.9,6244.9,38.4,,,,
Motor Vehicles - Motor Car/taxi/jeep,14758,3614,24.5,22999,7919.2,34.4,,,,
Motor Vehicles - Other Motor Vehicles,5675,2523,44.5,16561.1,5452.6,32.9,,,,
Fire Arms,332,118,35.5,137.4,52.2,38,,,,
Explosives/explosive Substances,170,47,27.6,22.8,1.6,7.1,,,,
Electronic Components,12712,5526,43.5,5231.4,972.2,18.6,,,,
Cultural Property Including Antiques,1307,367,28.1,775.7,252.7,32.6,,,,
Other Kinds of Property Stolen,273083,106173,38.9,175153.7,38435.4,21.9,,,,
Total,406647,153038,37.6,240394.6,60723,25.3,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,21.9
