Category,States/ UTs,Arrested & Sent to Courts,Sent to Home after Advice or Admonition,Released on Probation and Placed under Care of Parents/ Guardians,Released on Probation and Placed under Care of Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
State,Andhra Pradesh,1879,243,156,45,230,25,87,1093
State,Arunachal Pradesh,80,55,25,0,0,0,0,0
State,Assam,539,158,151,77,97,10,6,40
State,Bihar,239,45,24,0,167,0,3,0
State,Chhattisgarh,2053,118,194,40,421,80,195,1005
State,Goa,68,1,3,0,14,0,0,50
State,Gujarat,2807,174,739,174,116,91,278,1235
State,Haryana,1712,3,11,7,29,34,115,1513
State,Himachal Pradesh,128,24,12,0,1,0,4,87
State,Jammu & Kashmir,8,0,0,8,0,0,0,0
State,Jharkhand,862,138,132,153,224,38,42,135
State,Karnataka,659,150,39,22,78,5,5,360
State,Kerala,444,25,16,2,54,3,11,333
State,Madhya Pradesh,6814,1080,697,379,475,411,411,3361
State,Maharashtra,6658,910,1781,376,1091,155,110,2235
State,Manipur,0,0,0,0,0,0,0,0
State,Meghalaya,58,15,14,4,0,0,16,9
State,Mizoram,89,2,18,13,38,12,6,0
State,Nagaland,3,0,1,0,2,0,0,0
State,Orissa,627,85,79,0,120,0,6,337
State,Punjab,159,4,7,0,12,5,5,126
State,Rajasthan,2086,235,608,65,260,49,110,759
State,Sikkim,35,17,4,0,8,0,3,3
State,Tamil Nadu,1974,375,814,65,161,89,53,417
State,Tripura,0,0,0,0,0,0,0,0
State,Uttar Pradesh,172,2,9,0,105,7,17,32
State,Uttarakhand,106,0,81,0,25,0,0,0
State,West Bengal,124,40,7,52,11,2,4,8
State,Total (States),30383,3899,5622,1482,3739,1016,1487,13138
Union Territory,A & N Islands,91,0,0,0,22,0,0,69
Union Territory,Chandigarh,107,6,11,0,10,0,1,79
Union Territory,D & N Haveli,9,0,0,0,0,0,0,9
Union Territory,Daman & Diu,5,0,5,0,0,0,0,0
Union Territory,Delhi,1513,128,83,0,739,7,91,465
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
Union Territory,Puducherry,37,3,2,0,0,0,0,32
Union Territory,Total (UTs),1762,137,101,0,771,7,92,654
Total (All-India),Total (All-India),32145,4036,5723,1482,4510,1023,1579,13792
