Sr. No.,Category,States/UTs/Cities,"Murder (Sec.302,303 IPC) - 2005","Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2005,Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2005","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) Total - 2005,Rape (Sec. 376 IPC) Total - 2006,Rape (Sec. 376 IPC) Total - % Variation,Rape (Sec. 376 IPC) Custodial - 2005,Rape (Sec. 376 IPC) Custodial - 2006,Rape (Sec. 376 IPC) Custodial - % Variation,Rape (Sec. 376 IPC) Other - 2005,Rape (Sec. 376 IPC) Other - 2006,Rape (Sec. 376 IPC) Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2005,Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2005,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2005","Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2005","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) Total - 2005,Theft (Sec. 379 - 382 IPC) Total - 2006,Theft (Sec. 379 - 382 IPC) Total - % Variation,Theft (Sec. 379 - 382 IPC) Auto Theft - 2005,Theft (Sec. 379 - 382 IPC) Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) Other Theft - 2005,Theft (Sec. 379 - 382 IPC) Other Theft - 2006,Theft (Sec. 379 - 382 IPC) Other Theft - % Variation,"Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2005","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust ( Sec. 406-409 IPC) - 2005,Criminal Breach of Trust ( Sec. 406-409 IPC) - 2006,Criminal Breach of Trust ( Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419, 420 IPC) - 2005","Cheating (Sec. 419, 420 IPC) - 2006","Cheating (Sec. 419, 420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2005","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2005","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2005","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2005,Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2005,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2005,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2005,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2005,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2005,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2005,Other IPC Crimes - 2006,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - % Variation
1,State,Andhra Pradesh,2750,2766,0.6,1724,1860,7.9,111,123,10.8,935,1049,12.2,1,1,0,934,1048,12.2,1612,2030,25.9,995,1329,33.6,617,701,13.6,250,178,-28.8,4,3,-25,794,679,-14.5,7954,8304,4.4,23778,23510,-1.1,5465,5313,-2.8,18313,18197,-0.6,2026,2916,43.9,948,1007,6.2,7909,8363,5.7,257,324,26.1,967,1012,4.7,42179,47946,13.7,443,519,17.2,3595,4534,26.1,2508,2411,-3.9,8696,9164,5.4,3,0,-100,9973,11489,15.2,37707,43722,16,157123,173909,10.7
2,State,Arunachal Pradesh,81,60,-25.9,37,33,-10.8,5,3,-40,35,37,5.7,0,0,0,35,37,5.7,58,75,29.3,39,51,30.8,19,24,26.3,23,28,21.7,0,0,0,77,74,-3.9,263,257,-2.3,531,451,-15.1,119,74,-37.8,412,377,-8.5,23,6,-73.9,36,61,69.4,28,38,35.7,4,9,125,13,20,53.8,383,415,8.4,0,1,NA,67,63,-6,0,2,NA,9,14,55.6,0,0,0,69,82,18.8,562,565,0.5,2304,2294,-0.4
3,State,Assam,1194,1207,1.1,503,414,-17.7,117,32,-72.6,1238,1244,0.5,0,0,0,1238,1244,0.5,1751,1825,4.2,1456,1544,6,295,281,-4.7,334,319,-4.5,22,12,-45.5,451,544,20.6,2255,2911,29.1,6369,7820,22.8,955,1362,42.6,5414,6458,19.3,2760,2684,-2.8,487,461,-5.3,873,905,3.7,103,98,-4.9,423,488,15.4,5906,5290,-10.4,99,105,6.1,899,1290,43.5,19,10,-47.4,2206,2548,15.5,3,0,-100,2695,3022,12.1,11299,10444,-7.6,42006,43673,4
4,State,Bihar,3471,3249,-6.4,3307,3303,-0.1,259,326,25.9,1147,1232,7.4,0,0,0,1147,1232,7.4,2693,2619,-2.7,929,1084,16.7,1764,1535,-13,1212,1001,-17.4,165,140,-15.2,2374,2169,-8.6,3117,3531,13.3,10812,11752,8.7,2134,2023,-5.2,8678,9729,12.1,7671,8259,7.7,1181,1054,-10.8,1829,2171,18.7,50,97,94,760,785,3.3,11939,12674,6.2,1014,1188,17.2,451,530,17.5,13,53,307.7,1574,1689,7.3,74,42,-43.2,2680,2860,6.7,40057,39941,-0.3,97850,100665,2.9
5,State,Chhattisgarh,1013,1098,8.4,660,825,25,41,15,-63.4,990,995,0.5,0,0,0,990,995,0.5,246,239,-2.8,184,178,-3.3,62,61,-1.6,204,160,-21.6,25,24,-4,401,439,9.5,3621,3507,-3.1,5600,5262,-6,1619,1623,0.2,3981,3639,-8.6,893,905,1.3,110,137,24.5,431,507,17.6,73,33,-54.8,214,262,22.4,3734,6722,80,100,103,3,1450,1598,10.2,132,143,8.3,732,717,-2,0,1,NA,2004,2239,11.7,20959,19246,-8.2,43633,45177,3.5
6,State,Goa,45,39,-13.3,15,17,13.3,5,1,-80,20,21,5,0,0,0,20,21,5,17,16,-5.9,12,10,-16.7,5,6,20,2,7,250,0,0,0,28,17,-39.3,265,252,-4.9,495,494,-0.2,185,223,20.5,310,271,-12.6,45,63,40,50,35,-30,58,55,-5.2,6,9,50,12,38,216.7,155,170,9.7,2,0,-100,30,18,-40,8,7,-12.5,11,14,27.3,0,0,0,209,233,11.5,641,698,8.9,2119,2204,4
7,State,Gujarat,1033,1165,12.8,452,471,4.2,27,24,-11.1,324,354,9.3,0,0,0,324,354,9.3,1164,1128,-3.1,916,945,3.2,248,183,-26.2,282,290,2.8,15,12,-20,966,970,0.4,5332,5530,3.7,17964,18475,2.8,7083,7188,1.5,10881,11287,3.7,1628,1534,-5.8,1370,1246,-9.1,1541,1529,-0.8,447,196,-56.2,320,321,0.3,10503,10685,1.7,48,50,4.2,802,736,-8.2,104,138,32.7,4090,4977,21.7,0,0,0,4120,4339,5.3,60882,66802,9.7,113414,120972,6.7
8,State,Haryana,784,873,11.4,513,585,14,57,59,3.5,461,608,31.9,0,0,0,461,608,31.9,492,635,29.1,344,431,25.3,148,204,37.8,88,104,18.2,138,224,62.3,390,410,5.1,3437,4001,16.4,8694,10518,21,5034,6300,25.1,3660,4218,15.2,899,1142,27,562,750,33.5,1204,1424,18.3,31,35,12.9,119,156,31.1,4569,5135,12.4,212,255,20.3,380,486,27.9,597,491,-17.8,2075,2254,8.6,0,0,0,1083,1350,24.7,15879,19014,19.7,42664,50509,18.4
9,State,Himachal Pradesh,110,111,0.9,79,78,-1.3,22,20,-9.1,141,113,-19.9,0,0,0,141,113,-19.9,118,130,10.2,102,109,6.9,16,21,31.3,6,7,16.7,0,0,0,22,29,31.8,696,754,8.3,696,812,16.7,166,214,28.9,530,598,12.8,558,566,1.4,82,137,67.1,163,129,-20.9,6,4,-33.3,97,115,18.6,1359,1261,-7.2,2,3,50,286,275,-3.8,29,31,6.9,228,259,13.6,0,0,0,480,499,4,7165,7760,8.3,12345,13093,6.1
10,State,Jammu & Kashmir,647,487,-24.7,905,854,-5.6,37,40,8.1,201,250,24.4,0,0,0,201,250,24.4,748,789,5.5,658,723,9.9,90,66,-26.7,13,10,-23.1,0,0,0,116,112,-3.4,1397,1351,-3.3,1901,1937,1.9,504,554,9.9,1397,1383,-1,1222,1197,-2,117,123,5.1,403,463,14.9,29,35,20.7,240,203,-15.4,355,376,5.9,5,10,100,830,960,15.7,371,347,-6.5,76,135,77.6,0,0,0,462,222,-51.9,10040,10886,8.4,20115,20787,3.3
