Sr. No.,Category,State/UTs/Cities,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - 10-14 Years,Incest (Rape) No. of Victims - 14-18 Years,Incest (Rape) No. of Victims - 18-30 Years,Incest (Rape) No. of Victims - 30-50 Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - 10-14 Years,Other (Rape) No. of Victims - 14-18 Years,Other (Rape) No. of Victims - 18-30 Years,Other (Rape) No. of Victims - 30-50 Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) - No. of Victims - Upto 10 Years,Rape Cases (Total) - No. of Victims - 10-14 Years,Rape Cases (Total) - No. of Victims - 14-18 Years,Rape Cases (Total) - No. of Victims - 18-30 Years,Rape Cases (Total) - No. of Victims - 30-50 Years,Rape Cases (Total) - No. of Victims - Above 50 Years,Rape Cases (Total) - No. of Victims - Total Victims
1,State,Andhra Pradesh,1,0,0,0,1,0,0,1,1048,46,128,238,535,91,10,1048,1049,46,128,238,536,91,10,1049
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,37,0,0,0,34,3,0,37,37,0,0,0,34,3,0,37
3,State,Assam,12,0,3,0,6,3,0,12,1232,8,18,32,886,286,2,1232,1244,8,21,32,892,289,2,1244
4,State,Bihar,7,0,0,2,3,2,0,7,1225,0,0,15,953,248,9,1225,1232,0,0,17,956,250,9,1232
5,State,Chhattisgarh,97,6,12,33,29,15,2,97,898,22,92,283,308,168,25,898,995,28,104,316,337,183,27,995
6,State,Goa,1,0,0,0,1,0,0,1,20,1,4,9,4,1,1,20,21,1,4,9,5,1,1,21
7,State,Gujarat,16,0,2,0,14,0,0,16,338,20,28,62,199,28,1,338,354,20,30,62,213,28,1,354
8,State,Haryana,10,0,0,0,8,2,0,10,598,1,22,153,368,49,5,598,608,1,22,153,376,51,5,608
9,State,Himachal Pradesh,7,2,2,1,2,0,0,7,106,4,7,26,64,4,1,106,113,6,9,27,66,4,1,113
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,250,0,8,0,193,48,1,250,250,0,8,0,193,48,1,250
11,State,Jharkhand,94,0,6,21,50,17,0,94,705,2,39,177,369,116,2,705,799,2,45,198,419,133,2,799
12,State,Karnataka,2,0,1,0,1,0,0,2,398,23,15,46,267,45,2,398,400,23,16,46,268,45,2,400
13,State,Kerala,28,4,3,9,8,3,1,28,573,31,56,118,273,93,6,577,601,35,59,127,281,96,7,605
14,State,Madhya Pradesh,29,3,5,5,12,4,0,29,2871,20,91,705,1390,658,7,2871,2900,23,96,710,1402,662,7,2900
15,State,Maharashtra,36,4,9,11,8,4,0,36,1464,79,118,434,699,136,4,1470,1500,83,127,445,707,140,4,1506
16,State,Manipur,0,0,0,0,0,0,0,0,40,6,4,9,17,6,0,42,40,6,4,9,17,6,0,42
17,State,Meghalaya,0,0,0,0,0,0,0,0,74,14,11,23,23,3,0,74,74,14,11,23,23,3,0,74
18,State,Mizoram,0,0,0,0,0,0,0,0,72,7,19,9,32,5,0,72,72,7,19,9,32,5,0,72
19,State,Nagaland,0,0,0,0,0,0,0,0,23,6,1,4,11,1,0,23,23,6,1,4,11,1,0,23
20,State,Orissa,0,0,0,0,0,0,0,0,985,23,51,27,730,152,2,985,985,23,51,27,730,152,2,985
21,State,Punjab,1,0,0,0,1,0,0,1,441,14,19,26,318,64,0,441,442,14,19,26,319,64,0,442
22,State,Rajasthan,42,1,3,12,22,4,0,42,1043,33,77,185,533,210,5,1043,1085,34,80,197,555,214,5,1085
23,State,Sikkim,0,0,0,0,0,0,0,0,20,8,4,5,3,0,0,20,20,8,4,5,3,0,0,20
24,State,Tamil Nadu,1,0,1,0,0,0,0,1,456,23,33,68,275,55,2,456,457,23,34,68,275,55,2,457
25,State,Tripura,4,0,0,4,0,0,0,4,185,0,4,30,135,17,1,187,189,0,4,34,135,17,1,191
26,State,Uttar Pradesh,0,0,0,0,0,0,0,0,1314,18,56,273,780,184,3,1314,1314,18,56,273,780,184,3,1314
27,State,Uttaranchal,6,0,3,0,2,1,0,6,141,1,4,15,104,17,0,141,147,1,7,15,106,18,0,147
28,State,West Bengal,6,0,0,0,6,0,0,6,1725,2,5,13,1471,234,0,1725,1731,2,5,13,1477,234,0,1731
State,State,Total (States),400,20,50,98,174,55,3,400,18282,412,914,2985,10974,2922,89,18296,18682,432,964,3083,11148,2977,92,18696
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,6,2,2,1,1,0,0,6,6,2,2,1,1,0,0,6
30,Union Territory,Chandigarh,5,1,1,2,1,0,0,5,14,2,1,4,3,4,0,14,19,3,2,6,4,4,0,19
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,6,2,1,2,1,0,0,6,6,2,1,2,1,0,0,6
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,3,3,1,0,0,2,0,0,3
33,Union Territory,Delhi,26,3,4,12,7,0,0,26,597,67,107,255,148,21,2,600,623,70,111,267,155,21,2,626
