Category (Col. 1),States/UTs (Col. 2),Total No. of Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn (Col. 5),No. of Cases in Which Trials Completed - Convicted (Col. 6),No. of Cases in Which Trials Completed - Acquitted or Discharged (Col. 7),No. of Cases in Which Trials Completed - Total (Col. 8) = {(6) + (7)),No. of Cases - Pending Trial at the end of the year (Col. 9),Pendency Percentage (Col. 10),Percentage of Pendency to All India Total (Col. 11),Conviction Rate (Col. 12) = Col. ((6) / (8)× 100)
State,Andhra Pradesh,2522,0,57,221,780,1001,1464,58,3.9,22.1
State,Arunachal Pradesh,52,0,0,0,0,0,52,100,0.1,0
State,Assam,291,0,0,33,41,74,217,74.6,0.6,44.6
State,Bihar,214,0,0,9,29,38,176,82.2,0.5,23.7
State,Chhattisgarh,2886,0,43,236,1015,1251,1592,55.2,4.2,18.9
State,Goa,122,0,0,2,15,17,105,86.1,0.3,11.8
State,Gujarat,3002,0,0,41,165,206,2796,93.1,7.4,19.9
State,Haryana,672,0,0,61,181,242,430,64,1.1,25.2
State,Himachal Pradesh,271,0,13,23,67,90,168,62,0.4,25.6
State,Jammu & Kashmir,166,0,0,0,52,52,114,68.7,0.3,0
State,Jharkhand,226,0,2,10,62,72,152,67.3,0.4,13.9
State,Karnataka,458,0,5,7,73,80,373,81.4,1,8.8
State,Kerala,1105,0,7,33,145,178,920,83.3,2.4,18.5
State,Madhya Pradesh,9948,0,510,1075,1344,2419,7019,70.6,18.5,44.4
State,Maharashtra,10124,0,35,92,547,639,9450,93.3,24.9,14.4
State,Manipur,2,0,0,0,0,0,2,100,0,0
State,Meghalaya,81,0,0,0,0,0,81,100,0.2,0
State,Mizoram,35,0,0,35,0,35,0,0,0,100
State,Nagaland,12,0,0,12,0,12,0,0,0,100
State,Orissa,461,0,0,14,46,60,401,87,1.1,23.3
State,Punjab,387,12,0,44,58,102,285,73.6,0.7,43.1
State,Rajasthan,1230,0,0,66,71,137,1093,88.9,2.9,48.2
State,Sikkim,17,0,0,0,0,0,17,100,0,0
State,Tamil Nadu,626,0,0,76,131,207,419,66.9,1.1,36.7
State,Tripura,70,0,0,5,16,21,49,70,0.1,23.8
State,Uttar Pradesh,10091,0,0,1015,736,1751,8340,82.6,21.9,58
State,Uttaranchal,187,0,1,17,25,42,144,77,0.4,40.5
State,West Bengal,425,0,18,18,89,107,300,70.6,0.8,16.8
State,Total (States),45683,12,691,3145,5688,8833,36159,79.2,95.1,35.6
Union Territory,A & N Islands,29,0,0,0,1,1,28,96.6,0.1,0
Union Territory,Chandigarh,133,0,0,17,22,39,94,70.7,0.2,43.6
Union Territory,D & N Haveli,19,0,0,0,1,1,18,94.7,0,0
Union Territory,Daman & Diu,6,0,0,0,2,2,4,66.7,0,0
Union Territory,Delhi,2082,0,0,123,279,402,1680,80.7,4.4,30.6
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,37,0,2,1,4,5,30,81.1,0.1,20
Union Territory,Total (UTs),2306,0,2,141,309,450,1854,80.4,4.9,31.3
Total (All-India),Total (All-India),47989,12,693,3286,5997,9283,38013,79.2,100,35.4
