Sr. No.,Category,States/UTs/Cities,Estimated Mid-Year Population (In Lakhs) #,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) - P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives (Sec.498A IPC) - R,Cruelty by Husband and Relatives (Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,"Sati Prevention Act, 1987 - I","Sati Prevention Act, 1987 - R","Sati Prevention Act, 1987 - P","Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
1,State,Andhra Pradesh,807.24,1049,1.3,5.4,1329,1.6,7.6,519,0.6,6.8,9164,11.4,14.5,4534,5.6,12.4,2411,3,24.2,0,0,0,0,0,0,657,0.8,14.5,1347,1.7,86.2,474,0.6,10.5,21484,26.6,13
2,State,Arunachal Pradesh,11.74,37,3.2,0.2,51,4.3,0.3,1,0.1,0,14,1.2,0,63,5.4,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,14.3,0.1
3,State,Assam,291.62,1244,4.3,6.4,1544,5.3,8.9,105,0.4,1.4,2548,8.7,4,1290,4.4,3.5,10,0,0.1,0,0,0,0,0,0,29,0.1,0.6,0,0,0,31,0.1,0.7,6801,23.3,4.1
4,State,Bihar,913.3,1232,1.3,6.4,1084,1.2,6.2,1188,1.3,15.6,1689,1.8,2.7,530,0.6,1.4,53,0.1,0.5,42,0,62.7,0,0,0,13,0,0.3,0,0,0,909,1,20.2,6740,7.4,4.1
5,State,Chhattisgarh,229.9,995,4.3,5.1,178,0.8,1,103,0.4,1.4,717,3.1,1.1,1598,7,4.4,143,0.6,1.4,1,0,1.5,0,0,0,13,0.1,0.3,0,0,0,9,0,0.2,3757,16.3,2.3
6,State,Goa,15.51,21,1.4,0.1,10,0.6,0.1,0,0,0,14,0.9,0,18,1.2,0,7,0.5,0.1,0,0,0,0,0,0,26,1.7,0.6,0,0,0,0,0,0,96,6.2,0.1
7,State,Gujarat,550.8,354,0.6,1.8,945,1.7,5.4,50,0.1,0.7,4977,9,7.9,736,1.3,2,138,0.3,1.4,0,0,0,0,0,0,78,0.1,1.7,0,0,0,1,0,0,7279,13.2,4.4
8,State,Haryana,231.63,608,2.6,3.1,431,1.9,2.5,255,1.1,3.3,2254,9.7,3.6,486,2.1,1.3,491,2.1,4.9,0,0,0,0,0,0,85,0.4,1.9,0,0,0,7,0,0.2,4617,19.9,2.8
9,State,Himachal Pradesh,64.46,113,1.8,0.6,109,1.7,0.6,3,0,0,259,4,0.4,275,4.3,0.8,31,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,792,12.3,0.5
10,State,Jammu & Kashmir,117.25,250,2.1,1.3,723,6.2,4.2,10,0.1,0.1,135,1.2,0.2,960,8.2,2.6,347,3,3.5,0,0,0,0,0,0,5,0,0.1,0,0,0,2,0,0,2432,20.7,1.5
