Category,Crime Head,Cases Registered,Persons Arrested
Offences under IT Act,Tampering Computer Source Department (Sec 65),10,8
Offences under IT Act,Hacking Computer Systems - i) Loss/ Damage to Computer Resource/ Utility (Sec 66(1)),25,34
Offences under IT Act,Hacking Computer Systems - ii) Hacking (Sec 66(2)),34,29
Offences under IT Act,Obscene Publication/ Transmission in Electronic Form (Sec 67),69,81
Offences under IT Act,Failure - i) of Compliance/ Orders of Certifying Authority (Sec 68),0,0
Offences under IT Act,Failure - ii) To Assist to Decoy or the Information in Interception by Govt Agency (Sec 69),0,0
Offences under IT Act,Unauthorised Access/ Attempt to Access of Protected Computer System (Sec 70),0,0
Offences under IT Act,Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact (Sec 71),0,0
Offences under IT Act,Publishing False Digital Signature/ Certificate (Sec 73),0,0
Offences under IT Act,Fraud Digital Signature (Sec 74),1,0
Offences under IT Act,Breach of Confidentiality/ Privacy (Sec 72),3,2
Offences under IT Act,Other,0,0
Offences under IT Act,Total (Offences under IT Act),142,154
Offences under IPC,"Offences by/ against Public Servant (Sec 167, 172, 173, 175)",0,0
Offences under IPC,False Electronic Evidence (Sec 193),0,0
Offences under IPC,"Destruction of Electronic Evidence (Sec 204, Sec 477)",0,0
Offences under IPC,"Forgery (Sec 463, 465, 466, 468, 469, 471, 474, 476, 477A)",160,194
Offences under IPC,"Criminal Breach of Trust/ Fraud (sec 405, 406, 408 & 409)",90,121
Offences under IPC,"Counterfeiting - i) Property/ Mark (Sec 482, 193, 483, 484, 485)",13,7
Offences under IPC,Counterfeiting - ii) Tampering (Sec 489),0,0
Offences under IPC,Counterfeiting - iii) Currency/ Stamps (Sec 489A to 489E),48,89
Offences under IPC,Total ( Offences under IPC),311,411
Grand Total ( Offences under IT Act+ Offences under IPC ),Grand Total ( Offences under IT Act+ Offences under IPC ),453,565
,,,
,,,
,, ,
,, ,
