Sr. No.,Category,States/UTs,"Gain - Murder (Sec.302,303 IPC)","Gain - C.H. (Sec.304,308 IPC)","Property Dispute - Murder (Sec.302,303 IPC)","Property Dispute - C.H. (Sec.304,308 IPC)","Personal Vendetta or Enmity - Murder (Sec.302,303 IPC)","Personal Vendetta or Enmity - C.H. (Sec.304,308 IPC)","Love Affairs/ Sexual Causes - Murder (Sec.302,303 IPC)","Love Affairs/ Sexual Causes - C.H. (Sec.304,308 IPC)","Dowry - Murder (Sec.302,303 IPC)","Dowry - C.H. (Sec.304,308 IPC)","Lunacy - Murder (Sec.302,303 IPC)","Lunacy - C.H. (Sec.304,308 IPC)","Witchcraft - Murder (Sec.302,303 IPC)","Witchcraft - C.H. (Sec.304,308 IPC)","Political Reasons - Murder (Sec.302,303 IPC)","Political Reasons - C.H. (Sec.304,308 IPC)","Terrorist/ Extremist Violence - Murder (Sec.302,303 IPC)","Terrorist/ Extremist Violence - C.H. (Sec.304,308 IPC)","Communalism - Murder (Sec.302,303 IPC)","Communalism - C.H. (Sec.304,308 IPC)","Casteism - Murder (Sec.302,303 IPC)","Casteism - C.H. (Sec.304,308 IPC)","Class Conflict - Murder (Sec.302,303 IPC)","Class Conflict - C.H. (Sec.304,308 IPC)","Other Motives - Murder (Sec.302,303 IPC)","Other Motives - C.H. (Sec.304,308 IPC)","Total - Murder (Sec.302,303 IPC)","Total - C.H. (Sec.304,308 IPC)"
1,State,Andhra Pradesh,227,2,216,3,257,1,375,1,107,0,3,0,26,0,83,0,35,0,0,0,0,0,0,0,1437,116,2766,123
2,State,Arunachal Pradesh,9,0,4,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35,3,60,3
3,State,Assam,86,1,168,3,101,0,30,0,34,0,0,0,6,0,1,0,59,0,0,0,3,0,0,0,719,28,1207,32
4,State,Bihar,242,12,567,59,375,22,120,8,173,1,1,0,11,0,19,0,10,0,0,0,10,0,4,0,1717,224,3249,326
5,State,Chhattisgarh,41,0,100,0,127,0,82,0,9,0,19,0,10,0,1,0,194,0,0,0,5,0,0,0,510,15,1098,15
6,State,Goa,8,0,2,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,39,1
7,State,Gujarat,74,0,110,0,133,0,168,0,10,0,7,0,3,0,1,0,0,0,4,0,1,0,0,0,654,24,1165,24
8,State,Haryana,50,3,181,13,192,10,74,1,19,1,0,0,34,0,2,0,0,0,0,0,0,1,2,1,319,29,873,59
9,State,Himachal Pradesh,2,1,12,1,19,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,111,20
10,State,Jammu & Kashmir,4,0,8,0,16,0,9,0,0,0,0,1,0,0,0,0,344,0,0,0,0,0,0,0,106,39,487,40
