Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (In Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,"No. of Policemen Per 1,00,000 of Population",No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
1,State,Andhra Pradesh,275045,80724,224667,609363,834030,66643,12653,79296,84,8379,70917,1:8,6779,28.8,98,3.4,1115.97,140735
2,State,Arunachal Pradesh,83743,1174,3145,130,3275,2961,2481,5442,54.4,615,4827,1:8,466,6.5,464,1.1,96.75,177784
3,State,Assam,78438,29162,91361,7551,98912,28341,23708,52049,54.5,6329,45720,1:7,4876,66.4,178,3.2,621.06,119322
4,State,Bihar,94163,91330,186507,18272,204779,43273,8350,51623,83.8,9469,42154,1:4,8444,54.8,57,4.3,897.8,173915
5,State,Chhattisgarh,135191,22990,48682,142853,191535,18147,11948,30095,60.3,2775,27320,1:10,1463,22.3,131,2.7,336,111646
6,State,Goa,3702,1551,3816,4740,8556,3077,445,3522,87.4,381,3141,1:8,327,95.1,227,1.2,66.6,189097
7,State,Gujarat,196024,55080,132372,190421,322793,67761,16217,83978,80.7,13481,70497,1:5,10356,42.8,152,2,831.32,98993
8,State,Haryana,44212,23163,57503,24146,81649,29201,5279,34480,84.7,4083,30397,1:7,3387,78,149,2,645.1,187094
9,State,Himachal Pradesh,55673,6446,15507,6241,21748,8818,3255,12073,73,1633,10440,1:6,1251,21.7,187,1.8,195.04,161551
10,State,Jammu & Kashmir,101387,11725,28043,4722,32765,39103,20106,59209,66,6259,52950,1:8,4556,58.4,505,0.7,898.39,151732
11,State,Jharkhand,79714,29314,63777,4691,68468,25730,3036,28766,89.4,3465,25301,1:7,3304,36.1,98,2.5,725.64,252256
12,State,Karnataka,191791,56349,168058,18571,186629,48011,4041,52052,92.2,5297,46755,1:9,4859,27.1,92,3.5,996.41,191426
13,State,Kerala,38863,33679,134305,61930,196235,35687,7857,43544,82,3891,39653,1:10,3243,112,129,3.8,606,139170
14,State,Madhya Pradesh,308245,67213,201430,184037,385467,55298,21067,76365,72.4,9955,66410,1:7,7029,24.8,114,3.6,907.99,118901
15,State,Maharashtra,307713,104570,257692,178773,436465,140089,13539,153628,91.2,24572,129056,1:5,22193,49.9,147,1.8,1858,120941
16,State,Manipur,22327,2572,8206,1990,10196,5204,9047,14251,36.5,1368,12883,1:9,965,63.8,554,1.6,185.62,130251
