Sr. No.,Category,States/ UTs,"Disposal of Cases Murder (Sec. 302,303 IPC) - Confession","Disposal of Cases Murder (Sec. 302,303 IPC) - Trial","Disposal of Cases Murder (Sec. 302,303 IPC) - Total",Disposal of Cases Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases C.H. not Amounting to Murder (Sec. 304,308 IPC) - Confession","Disposal of Cases C.H. not Amounting to Murder (Sec. 304,308 IPC) - Trial","Disposal of Cases C.H. not Amounting to Murder (Sec. 304,308 IPC) - Total",Disposal of Cases Rape (Sec. 376 IPC) - Confession,Disposal of Cases Rape (Sec. 376 IPC) - Trial,Disposal of Cases Rape (Sec. 376 IPC) - Total,"Disposal of Cases Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Confession","Disposal of Cases Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Trial","Disposal of Cases Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",Disposal of Cases Crime Against Women - Confession,Disposal of Cases Crime Against Women - Trial,Disposal of Cases Crime Against Women - Total,Disposal of Cases Others - Confession,Disposal of Cases Others - Trial,Disposal of Cases Others - Total,Disposal of Cases Dacoity (Sec. 395-398 IPC) - Confession,Disposal of Cases Dacoity (Sec. 395-398 IPC) - Trial,Disposal of Cases Dacoity (Sec. 395-398 IPC) - Total,Disposal of Cases Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Confession,Disposal of Cases Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Trial,Disposal of Cases Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Total,"Disposal of Cases Robbery (Sec. 392-394, 397,398 IPC) - Confession","Disposal of Cases Robbery (Sec. 392-394, 397,398 IPC) - Trial","Disposal of Cases Robbery (Sec. 392-394, 397,398 IPC) - Total","Disposal of Cases Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Confession","Disposal of Cases Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Trial","Disposal of Cases Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Total","Disposal of Cases Arson (Sec. 435,436,438 IPC - Confession","Disposal of Cases Arson (Sec. 435,436,438 IPC - Trial","Disposal of Cases Arson (Sec. 435,436,438 IPC - Total",Disposal of Cases Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases Total - Confession,Disposal of Cases Total - Trial,Disposal of Cases Total - Total
1,State,Andhra Pradesh,0,2497,2497,0,1558,1558,0,141,141,0,850,850,0,790,790,0,507,507,0,283,283,0,213,213,0,2,2,0,507,507,0,1566,1566,0,681,681,0,353,353,0,9158,9158
2,State,Arunachal Pradesh,0,5,5,0,4,4,0,0,0,0,2,2,0,11,11,0,8,8,0,3,3,0,5,5,0,0,0,0,26,26,0,8,8,0,3,3,0,0,0,0,64,64
3,State,Assam,56,576,632,4,236,240,2,66,68,15,571,586,51,692,743,51,578,629,0,114,114,6,170,176,4,13,17,7,232,239,24,1699,1723,5,228,233,2,49,51,176,4532,4708
4,State,Bihar,43,2686,2729,41,3368,3409,30,276,306,25,831,856,60,1679,1739,9,570,579,51,1109,1160,18,1203,1221,8,139,147,16,934,950,161,5256,5417,11,387,398,17,633,650,430,17392,17822
5,State,Chhattisgarh,372,339,711,202,222,424,8,14,22,237,476,713,50,86,136,45,76,121,5,10,15,25,40,65,8,10,18,96,149,245,112,162,274,25,75,100,45,26,71,1180,1599,2779
6,State,Goa,0,27,27,0,10,10,0,5,5,0,6,6,0,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,10,10,0,19,19,0,11,11,0,2,2,0,94,94
7,State,Gujarat,37,736,773,5,488,493,1,15,16,3,204,207,5,492,497,4,457,461,1,35,36,0,115,115,0,12,12,10,342,352,24,972,996,1,200,201,0,34,34,86,3610,3696
8,State,Haryana,0,594,594,0,390,390,0,52,52,0,338,338,0,258,258,0,186,186,0,72,72,0,55,55,0,158,158,0,253,253,0,521,521,0,68,68,0,198,198,0,2885,2885
9,State,Himachal Pradesh,0,65,65,0,60,60,0,9,9,0,102,102,0,41,41,0,38,38,0,3,3,0,2,2,0,0,0,0,12,12,0,279,279,0,52,52,0,5,5,0,627,627
10,State,Jammu & Kashmir,0,125,125,0,179,179,0,29,29,0,121,121,0,232,232,0,214,214,0,18,18,0,8,8,0,0,0,0,36,36,0,642,642,0,52,52,0,2,2,0,1426,1426
11,State,Jharkhand,14,1532,1546,5,1377,1382,0,74,74,3,836,839,2,375,377,1,157,158,1,218,219,0,464,464,0,62,62,2,259,261,2,1893,1895,0,141,141,0,255,255,28,7268,7296
12,State,Karnataka,0,1440,1440,0,1256,1256,0,58,58,0,339,339,0,269,269,0,152,152,0,117,117,0,186,186,0,85,85,0,607,607,2,4830,4832,0,139,139,0,283,283,2,9492,9494
13,State,Kerala,0,339,339,0,376,376,0,68,68,0,354,354,0,139,139,0,70,70,0,69,69,0,62,62,0,93,93,0,277,277,0,5584,5584,0,448,448,0,25,25,0,7765,7765
