Sr. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Number of Police Stations - 0-60 Cases (Col.4),Number of Police Stations - 61-100 Cases (Col.5),Number of Police Stations - 101-200 Cases (Col.6),Number of Police Stations - 201-300 Cases (Col.7),Number of Police Stations - 301-400 Cases (Col.8),Number of Police Stations - 401-500 Cases (Col.9),Number of Police Stations - 501-1000 Cases (Col.10),Number of Police Stations - 1001 And Above Cases (Col.11),Number of Police Stations - Total Col.12 = (Col.4 To Col.11)
1,State,Andhra Pradesh,343,405,502,171,57,39,30,9,1556
2,State,Arunachal Pradesh,60,4,3,2,0,0,0,0,69
3,State,Assam,27,59,91,51,14,8,6,2,258
4,State,Bihar,167,198,213,96,38,23,20,2,757
5,State,Chhattisgarh,0,0,248,0,72,0,16,11,347
6,State,Goa,11,6,6,2,0,0,0,0,25
7,State,Gujarat,65,63,113,60,48,25,55,41,470
8,State,Haryana,0,15,62,57,31,16,26,4,211
9,State,Himachal Pradesh,10,10,36,16,8,2,5,0,87
10,State,Jammu & Kashmir,40,35,61,23,8,5,1,0,173
11,State,Jharkhand,108,84,71,32,23,6,5,0,329
12,State,Karnataka,79,124,298,177,72,44,18,2,814
13,State,Kerala,24,23,69,77,70,62,113,15,453
14,State,Madhya Pradesh,87,111,242,177,122,74,99,18,930
15,State,Maharashtra,134,176,311,158,81,42,38,2,942
16,State,Manipur,38,8,8,3,1,0,0,0,58
17,State,Meghalaya,14,6,6,1,0,0,0,0,27
18,State,Mizoram,18,8,3,2,1,1,2,0,35
19,State,Nagaland,22,17,3,2,0,0,0,0,44
20,State,Orissa,53,124,192,62,24,1,3,0,459
21,State,Punjab,14,27,125,63,28,7,6,0,270
22,State,Rajasthan,42,67,234,160,96,43,68,1,711
23,State,Sikkim,25,1,1,0,0,0,0,0,27
24,State,Tamil Nadu,64,92,179,204,160,129,271,137,1236
25,State,Tripura,33,13,4,4,0,0,1,0,55
26,State,Uttar Pradesh,107,110,243,237,215,203,211,120,1446
27,State,Uttarakhand,34,16,17,18,11,3,19,2,120
28,State,West Bengal,89,94,132,84,42,17,6,1,465
State,State,Total (States),1708,1896,3473,1939,1222,750,1019,367,12374
29,Union Territory,A & N Islands,6,4,3,2,3,0,1,2,21
30,Union Territory,Chandigarh,0,0,1,3,4,0,3,0,11
31,Union Territory,D & N Haveli,0,1,0,0,1,0,0,0,2
32,Union Territory,Daman & Diu,2,0,0,1,0,0,0,0,3
33,Union Territory,Delhi,2,2,5,7,11,22,55,26,130
34,Union Territory,Lakshadweep,9,0,0,0,0,0,0,0,9
35,Union Territory,Puducherry,10,0,9,11,7,2,2,0,41
Union Territory,Union Territory,Total (UTs),29,7,18,24,26,24,61,28,217
Total (All-India),Total (All-India),Total (All-India),1737,1903,3491,1963,1248,774,1080,395,12591
