Sr. No.,Crime Head,Incidence 1996,Rate of Crime 1996,Incidence 2001,Rate of Crime 2001,Incidence 2002,Rate of Crime 2002,Incidence 2003,Rate of Crime 2003,Incidence 2004,Rate of Crime 2004,Incidence 2005,Rate of Crime 2005,Incidence Quinquennial Average (2001-2005) (Q.A),Rate of Crime Quinquennial Average (20012005) (Q.A),Incidence 2006,Rate of Crime 2006,Percentage Change in 2006[(+) Increase/() Decrease] Over 1996,Percentage Change in 2006[(+) Increase/() Decrease] Over Q.A,Percentage Change in 2006[(+) Increase/() Decrease] Over 2005,Note of Incidence 1996,Note of Rate of Crime 1996
1,Arms Act,67299,7.2,59960,5.8,64383,6.1,72804,6.8,74482,6.9,74270,6.7,69180,6.5,76562,6.8,13.8,10.7,3.1,NA,NA
2,Narcotic Drugs & Psychotropic Substances Act,20996,2.3,24377,2.4,25279,2.4,27913,2.6,27608,2.5,29421,2.7,26920,2.5,31044,2.8,47.9,15.3,5.5,NA,NA
3,Gambling Act,126651,13.6,151497,14.8,175001,16.7,175298,16.4,190682,17.6,189523,17.2,176400,16.5,173930,15.5,37.3,-1.4,-8.2,NA,NA
4,Excise Act,143210,15.4,116247,11.3,125062,11.9,137513,12.9,147854,13.6,150604,13.7,135456,12.7,146973,13.1,2.6,8.5,-2.4,NA,NA
5,Prohibition Act,617772,66.3,509077,49.6,488189,46.5,467216,43.7,378919,34.9,326190,29.6,433918,40.9,315883,28.2,-48.9,-27.2,-3.2,NA,NA
6,Explosive & Explosive Substances Act,5397,0.6,4529,0.4,4634,0.4,3864,0.4,4248,0.4,4254,0.4,4306,0.4,4067,0.4,-24.6,-5.5,-4.4,NA,NA
7,Immoral Traffic (P) Act,7706,0.8,8796,0.9,6598,0.6,5510,0.5,5748,0.5,5908,0.5,6512,0.6,4541,0.4,-41.1,-30.3,-23.1,NA,NA
8,Indian Railways Act,37325,4,64373,6.3,55697,5.3,40861,3.8,21444,2,224,0,36520,3.5,189,0,-99.5,-99.5,-15.6,NA,NA
9,Registration of foreigners Act,1287,0.1,1438,0.1,1754,0.2,1315,0.1,1194,0.1,1951,0.2,1530,0.1,2133,0.2,65.7,39.4,9.3,NA,NA
10,Protection of Civil Rights Act Total,1870,0.2,691,0.1,1065,0.1,671,0.1,375,0,453,0,651,0.1,454,0,-75.7,-30.3,0.2,NA,NA
10,Protection of Civil Rights Act (i) PCR Act for SCs,NA,NA,633,0.1,1018,0.1,634,0.1,364,0,291,0,588,0.1,405,0,NA,-31.1,39.2,*,*
10,Protection of Civil Rights Act (ii) PCR Act for STs,NA,NA,58,0,47,0,37,0,11,0,162,0,63,0,49,0,NA,-22.2,-69.8,*,*
11,Indian Passport Act,454,0,390,0,693,0.1,555,0.1,807,0.1,1120,0.1,713,0.1,940,0.1,107,31.8,-16.1,NA,NA
12,Essential Commodities Act,5199,0.6,4279,0.4,3593,0.3,4201,0.4,4871,0.4,7216,0.7,4832,0.4,8319,0.7,60,72.2,15.3,NA,NA
13,Terrorist & Disruptive Activities Act,56,0,0,0,65,0,85,0,66,0,54,0,54,0,0,0,-100,-100,-100,NA,NA
14,Antiquity & Art Treasure Act,22,0,40,0,77,0,37,0,85,0,68,0,61,0,31,0,40.9,-49.5,-54.4,NA,NA
15,Dowry Prohibition Act,2647,0.3,3222,0.3,2816,0.3,2684,0.3,3592,0.3,3204,0.3,3104,0.3,4504,0.4,70.2,45.1,40.6,NA,NA
16,Child Marriage Restraint Act,89,0,85,0,113,0,63,0,93,0,122,0,95,0,99,0,11.2,4,-18.9,NA,NA
17,Indecent Representation of Women (P) Act,96,0,1052,0.1,2508,0.2,1043,0.1,1378,0.1,2917,0.3,1780,0.2,1562,0.1,1527.1,-12.2,-46.5,NA,NA
18,Copyrights Act,634,0.1,2868,0.3,4035,0.4,5378,0.5,6290,0.6,6846,0.6,5083,0.5,7188,0.6,1033.8,41.4,5,NA,NA
19,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-100,-100,NA,NA
20,SC/ST (prevention of Atrocities) Act Total,16306,1.7,14780,1.4,12570,1.2,9388,0.9,10066,0.9,9780,0.9,11317,1.1,9813,0.9,-39.8,-13.3,0.3,NA,NA
20,SC/ST (prevention of Atrocities) Act (i) Prevention of Attrocities Act for SCs,NA,NA,13113,1.3,10770,1,8048,0.8,8891,0.8,8497,0.8,9864,0.9,8581,0.8,NA,-13,1,*,*
20,SC/ST (prevention of Atrocities) Act (ii) Prevention of Attrocities Act for STs,NA,NA,1667,0.2,1800,0.2,1340,0.1,1175,0.1,1283,0.1,1453,0.1,1232,0.1,NA,-15.2,-4,*,*
21,Forest Act,4820,0.5,5548,0.5,4710,0.4,3707,0.3,3818,0.4,4168,0.4,4390,0.4,4347,0.4,-9.8,-1,4.3,NA,NA
22,Other SLL Crimes,3527150,378.5,2601981,253.4,2767356,263.4,2818588,263.9,3313146,305.2,2385441,216.3,2777302,260.4,2431588,217.1,-31.1,-12.4,1.9,NA,NA
Total Cognizable Crimes Under Sll,Total Cognizable Crimes Under SLL,4586986,492.2,3575230,348.1,3746198,356.6,3778694,353.7,4196766,386.6,3203735,290.5,3700125,347.1,3224167,287.9,-29.7,-12.9,0.6,NA,NA
