Category (Col. 1),States/ UTs (Col. 2),District / Session Judge Duration of Trial (Col. 3) - Less Than 6 Months,District / Session Judge Duration of Trial (Col. 4) - 6–12 Months,District / Session Judge Duration of Trial (Col. 5) - 1–3 Years,District / Session Judge Duration of Trial (Col. 6) - 3–5 Years,District / Session Judge Duration of Trial (Col. 7) - 5–10 Years,District / Session Judge Duration of Trial (Col. 8) - Over 10 Years,District / Session Judge Duration of Trial (Col. 9) - Total = Col. ( 3 to 8),Additional Session Judge Duration of Trial (Col. 10) - Less Than 6 Months,Additional Session Judge Duration of Trial. (Col. 11) - 6–12 Months,Additional Session Judge Duration of Trial. (Col. 12) - 1–3 Years,Additional Session Judge Duration of Trial. (Col. 13) - 3–5 Years,Additional Session Judge Duration of Trial. (Col. 14) - 5–10 Years,Additional Session Judge Duration of Trial. (Col. 15) - Over 10 Years,Additional Session Judge Duration of Trial. (Col. 16) - Total = Col. ( 10 to 15),Chief Judicial Magistrate Duration of Trial. (Col. 17) - Less Than 6 Months,Chief Judicial Magistrate Duration of Trial. (Col. 18) - 6–12 Months,Chief Judicial Magistrate Duration of Trial. (Col. 19) - 1–3 Years,Chief Judicial Magistrate Duration of Trial. (Col. 20) - 3–5 Years,Chief Judicial Magistrate Duration of Trial. (Col. 21) - 5–10 Years,Chief Judicial Magistrate Duration of Trial. (Col. 22) - Over 10 Years,Chief Judicial Magistrate Duration of Trial. (Col. 23) - Total = Col. (17 to 22),Judicial Magistrate (I) Duration of Trial. (Col. 24) - Less Than 6 Months,Judicial Magistrate (I) Duration of Trial. (Col. 25) - 6–12 Months,Judicial Magistrate (I) Duration of Trial. (Col. 26) - 1–3 Years,Judicial Magistrate (I) Duration of Trial. (Col. 27) - 3–5 Years,Judicial Magistrate (I) Duration of Trial. (Col. 28) - 5–10 Years,Judicial Magistrate (I) Duration of Trial. (Col. 29) - Over 10 Years,Judicial Magistrate (I) Duration of Trial. (Col. 30) - Total = Col. (24 to 29),Judicial Magistrate (II) Duration of Trial. (Col. 31) - Less Than 6 Months,Judicial Magistrate (II) Duration of Trial. (Col. 32) - 6–12 Months,Judicial Magistrate (II) Duration of Trial. (Col. 33) - 1–3 Years,Judicial Magistrate (II) Duration of Trial. (Col. 34) - 3–5 Years,Judicial Magistrate (II) Duration of Trial. (Col. 35) - 5–10 Years,Judicial Magistrate (II) Duration of Trial. (Col. 36) - Over 10 Years,Judicial Magistrate (II) Duration of Trial. (Col. 37) - Total = Col. (31 to 36),Special Judicial Magistrate Duration of Trial. (Col. 38) - Less Than 6 Months,Special Judicial Magistrate Duration of Trial. (Col. 39) - 6–12 Months,Special Judicial Magistrate Duration of Trial. (Col. 40) - 1–3 Years,Special Judicial Magistrate Duration of Trial. (Col. 41) - 3–5 Years,Special Judicial Magistrate Duration of Trial. (Col. 42) - 5–10 Years,Special Judicial Magistrate Duration of Trial. (Col. 43) - Over 10 Years,Special Judicial Magistrate Duration of Trial. (Col. 44) - Total = Col. (38 to 43),Other Type of Courts Duration of Trial. (Col. 45) - Less Than 6 Months,Other Type of Courts Duration of Trial. (Col. 46) - 6–12 Months,Other Type of Courts Duration of Trial. (Col. 47) - 1–3 Years,Other Type of Courts Duration of Trial. (Col. 48) - 3–5 Years,Other Type of Courts Duration of Trial. (Col. 49) - 5–10 Years,Other Type of Courts Duration of Trial. (Col. 50) - Over 10 Years,Other Type of Courts Duration of Trial. (Col. 51) - Total = Col. (45 to 50),Sum of All Type of Courts Duration of Trial. (Col. 52) - Less Than 6 Months,Sum of All Type of Courts Duration of Trial. (Col. 53) - 6–12 Months,Sum of All Type of Courts Duration of Trial. (Col. 54) - 1–3 Years,Sum of All Type of Courts Duration of Trial. (Col. 55) - 3–5 Years,Sum of All Type of Courts Duration of Trial. (Col. 56) - 5–10 Years,Sum of All Type of Courts Duration of Trial. (Col. 57) - Over 10 Years,Sum of All Type of Courts Duration of Trial. (Col. 58) - Total = Col. (52 to 57)
State,Andhra Pradesh,53,464,1548,838,307,30,3240,128,1487,2452,868,442,46,5423,102,299,1225,210,172,13,2021,7263,10435,14288,4740,1963,75,38764,3467,4264,5271,1454,465,2,14923,1580,1791,2106,680,27,1,6185,544,1977,1341,466,44,224,4596,13137,20717,28231,9256,3420,391,75152
State,Arunachal Pradesh,0,2,6,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,166,69,0,0,288,0,96,184,93,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,356,168,0,0,675
State,Assam,61,184,596,546,391,340,2118,91,202,404,437,267,159,1560,489,1134,3156,1403,973,295,7450,349,856,2351,1915,1105,261,6837,97,202,406,351,193,151,1400,93,246,316,287,138,178,1258,310,176,563,414,259,169,1891,1490,3000,7792,5353,3326,1553,22514
State,Bihar,45,0,182,473,792,434,1926,22,459,2541,5129,3958,1542,13651,22,139,523,989,682,332,2687,108,857,3981,6514,5562,609,17631,0,5,1008,1025,497,45,2580,98,559,760,770,747,30,2964,24,193,963,1478,1155,7637,11450,319,2212,9958,16378,13393,10629,52889
State,Chhattisgarh,115,184,312,223,46,8,888,95,324,560,312,85,36,1412,1189,1673,1153,611,370,237,5233,2247,2660,1832,1202,844,328,9113,258,362,328,301,215,80,1544,130,132,191,143,149,15,760,245,347,378,248,281,279,1778,4279,5682,4754,3040,1990,983,20728
State,Goa,1,6,23,3,3,1,37,0,5,10,3,0,1,19,8,6,37,55,24,0,130,69,125,276,149,42,14,675,0,0,8,7,0,0,15,0,0,1,0,0,0,1,0,1,5,11,1,16,34,78,143,360,228,70,32,911
State,Gujarat,46,249,584,461,167,39,1546,20,391,1108,677,324,58,2578,1462,2471,3328,2228,953,96,10538,3204,5190,9560,7051,2225,685,27915,338,1486,2767,2373,661,139,7764,30,314,298,318,146,206,1312,2596,370,447,237,74,3,3727,7696,10471,18092,13345,4550,1226,55380
State,Haryana,35,191,478,122,58,3,887,118,537,1270,556,218,27,2726,435,1063,2222,1525,633,57,5935,1132,1733,2246,1709,1409,200,8429,450,985,2029,1025,569,79,5137,116,346,332,146,120,14,1074,147,160,432,325,171,9,1244,2433,5015,9009,5408,3178,389,25432
State,Himachal Pradesh,23,55,132,43,14,1,268,20,43,119,39,14,2,237,300,348,625,453,305,58,2089,172,404,594,583,293,23,2069,18,81,363,183,79,16,740,16,37,112,66,72,1,304,81,158,301,299,31,1,871,630,1126,2246,1666,808,102,6578
State,Jammu & Kashmir,56,424,239,391,292,70,1472,69,189,175,171,155,38,797,521,303,306,193,284,192,1799,859,925,819,891,730,363,4587,129,242,138,82,128,78,797,92,135,112,80,28,17,464,183,256,405,389,63,2,1298,1909,2474,2194,2197,1680,760,11214
State,Jharkhand,12,116,1046,695,920,480,3269,34,194,805,779,852,294,2958,180,635,1016,691,589,276,3387,45,1074,1209,871,778,158,4135,0,738,791,573,371,69,2542,0,524,328,204,145,82,1283,198,473,1273,1241,456,105,3746,469,3754,6468,5054,4111,1464,21320
State,Karnataka,137,387,1306,1102,344,60,3336,22,208,822,613,256,33,1954,1375,2964,5916,3707,1561,111,15634,6901,6129,9081,4654,2331,158,29254,4508,4695,4962,3154,1107,50,18476,202,617,679,562,201,0,2261,703,1374,2664,987,239,14,5981,13848,16374,25430,14779,6039,426,76896
State,Kerala,18,45,572,1476,274,19,2404,15,132,702,1214,285,17,2365,44,671,1833,1292,450,12,4302,1548,7830,21674,16118,4658,135,51963,247,1264,5776,7108,2845,15,17255,79,208,1853,536,132,0,2808,4,56,303,134,10,0,507,1955,10206,32713,27878,8654,198,81604
State,Madhya Pradesh,995,976,1947,1081,277,38,5314,1985,3191,3446,1754,309,55,10740,6808,7438,7709,5354,1938,414,29661,8505,7149,7672,6528,3470,1140,34464,2751,3695,5334,1999,892,171,14842,1422,1142,1719,768,209,65,5325,2748,2013,1612,614,203,47,7237,25214,25604,29439,18098,7298,1930,107583
State,Maharashtra,16,200,859,796,456,146,2473,59,532,1534,1554,707,203,4589,251,1129,2834,2737,1607,521,9079,1593,3685,11166,11943,7062,1485,36934,257,894,2589,2164,1766,449,8119,17,187,447,543,325,39,1558,59,285,518,344,885,835,2926,2252,6912,19947,20081,12808,3678,65678
State,Manipur,0,0,1,1,1,0,3,0,0,0,0,1,2,3,107,1,6,1,2,8,125,20,0,4,2,5,13,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,4,2,2,1,6,22,134,5,14,6,10,29,198
State,Meghalaya,0,0,2,6,5,0,13,0,0,0,1,7,64,72,0,0,3,6,5,0,14,5,25,62,44,8,11,155,0,0,4,3,0,0,7,0,0,4,3,0,0,7,9,27,139,73,74,13,335,14,52,214,136,99,88,603
State,Mizoram,120,100,80,42,42,5,389,0,0,15,15,12,0,42,0,0,0,0,0,0,0,567,115,76,15,12,0,785,128,0,0,0,0,0,128,0,0,0,0,0,0,0,1245,615,0,0,0,0,1860,2060,830,171,72,66,5,3204
State,Nagaland,16,20,0,0,0,0,36,91,136,15,2,0,0,244,7,3,5,0,0,0,15,108,111,14,11,0,0,244,23,11,25,2,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,281,59,15,0,0,600
State,Orissa,58,61,272,207,162,51,811,33,95,726,758,233,35,1880,72,219,915,729,311,58,2304,889,1834,3400,2367,950,375,9815,81,763,2169,1609,667,148,5437,36,185,1103,904,370,227,2825,110,398,1291,1154,418,406,3777,1279,3555,9876,7728,3111,1300,26849
State,Punjab,25,205,427,309,119,5,1090,69,353,1062,573,185,16,2258,189,457,903,438,91,11,2089,377,920,2323,1413,259,12,5304,116,415,760,424,90,24,1829,136,105,168,133,80,11,633,119,172,638,352,54,0,1335,1031,2627,6281,3642,878,79,14538
State,Rajasthan,92,266,964,684,296,98,2400,327,927,2560,2188,698,291,6991,675,1213,3031,1861,762,291,7833,2217,4174,9308,8185,2756,716,27356,1223,2120,5889,5438,2478,523,17671,472,1167,3821,2894,1509,257,10120,701,1170,1569,1185,584,89,5298,5707,11037,27142,22435,9083,2265,77669
State,Sikkim,0,0,21,5,0,0,26,0,0,0,0,0,0,0,0,16,30,5,0,0,51,0,19,25,10,0,0,54,0,0,0,0,0,0,0,0,6,9,0,0,0,15,0,0,0,0,0,0,0,0,41,85,20,0,0,146
State,Tamil Nadu,112,317,846,563,217,93,2148,333,536,1171,828,252,55,3175,1182,836,890,398,121,10,3437,13657,16804,19770,9378,2041,263,61913,8396,12526,11551,5145,1962,94,39674,4218,3333,2941,1473,553,3,12521,3439,3026,3019,1215,644,281,11624,31337,37378,40188,19000,5790,799,134492
State,Tripura,41,18,54,26,11,2,152,22,34,66,48,24,2,196,34,48,181,52,11,8,334,116,190,360,199,22,12,899,91,29,46,27,5,2,200,12,6,11,8,7,0,44,4,2,0,0,0,0,6,320,327,718,360,80,26,1831
State,Uttar Pradesh,33,268,1825,2745,1242,637,6750,42,678,3369,3966,2667,2010,12732,32,74,4009,5805,4364,832,15116,95,627,5449,3643,2812,316,12942,68,436,5495,4754,2816,385,13954,27,440,6144,2878,1207,280,10976,55,142,4426,3552,3639,122,11936,352,2665,30717,27343,18747,4582,84406
State,Uttaranchal,0,22,122,93,42,2,281,3,76,103,37,37,2,258,78,277,599,322,164,16,1456,87,209,385,205,88,17,991,59,64,175,125,30,0,453,21,34,203,77,16,0,351,4,16,30,25,0,0,75,252,698,1617,884,377,37,3865
State,West Bengal,145,139,358,886,578,168,2274,657,1342,1729,1157,667,182,5734,526,1042,1811,910,539,185,5013,1667,1909,1964,1010,409,171,7130,1733,2429,2124,1080,836,541,8743,621,521,429,281,226,56,2134,289,997,1140,1360,612,328,4726,5638,8379,9555,6684,3867,1631,35754
State,Total (States),2255,4899,14802,13823,7056,2730,45565,4255,12071,26764,23679,12655,5170,84594,16088,24459,44266,31975,16911,4033,137732,53800,76042,130055,91419,41834,7540,400690,24438,37802,60192,40499,18672,3061,184664,9418,12035,24088,13754,6407,1482,67184,13824,14408,23459,16105,9898,10586,88280,124078,181716,323626,231254,113433,34602,1008709
Union Territory,A & N Islands,0,0,0,2,1,3,6,0,0,0,0,0,0,0,2,3,31,6,32,1,75,0,1,27,13,17,3,61,0,1,22,15,24,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,80,36,74,8,205
Union Territory,Chandigarh,1,2,5,3,2,0,13,6,8,39,22,25,4,104,159,41,0,3,22,5,230,208,122,310,215,210,31,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,173,354,243,259,40,1443
Union Territory,D & N Haveli,0,1,5,2,3,0,11,0,0,0,0,0,0,0,10,64,67,34,51,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,69,72,36,54,0,241
Union Territory,Daman & Diu,3,4,3,2,0,0,12,0,0,0,0,0,0,0,4,7,25,12,9,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,28,14,9,7,76
