Sr. No.,Crime Head,Total No. Persons under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
1,Infanticide (Sec.315 IPC),102,2,2,85,83.3,15,14.7
2,"Murder (Sec.302, 303 IPC)",2019,20,1,1707,84.5,292,14.5
3,Rape (Sec.376 IPC),6250,59,0.9,5071,81.1,1120,17.9
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",5791,177,3.1,4205,72.6,1409,24.3
5,"Foeticide (Sec.315,316 IPC)",90,1,1.1,73,81.1,16,17.8
6,Abetment of Suicide (Sec.305 IPC),62,1,1.6,42,67.7,19,30.6
7,Exposure and Abandonment (Sec. 317 IPC),209,9,4.3,159,76.1,41,19.6
8,Procuration Minor Girls (Sec. 366A IPC),352,12,3.4,188,53.4,152,43.2
9,Buying of Girls for Prost. (Sec.373 IPC),88,2,2.3,51,58,35,39.8
10,Seling of Girls for Prost. (Sec.372 IPC),172,11,6.4,63,36.6,98,57
11,"Child Marriage Restraint Act, 1978",363,7,1.9,284,78.2,72,19.8
12,Other Crime,8048,89,1.1,6800,84.5,1159,14.4
Total,Total,23546,390,1.7,18728,79.5,4428,18.8
