Sr. No.,Category,States/UTs,"Murder (Sec. 302, 303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,Rape (Sec. 376 IPC) - Total,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399- 402 IPC),"Robbery (Sec. 392-394,397,398 IPC)","Burglary (Sec. 449-452,454,455,457-460 IPC)",Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,Theft (Sec. 379-382 IPC) - Total,"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counterfeiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436,438 IPC)","Hurt (Sec. 323- 333,335 -338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,20.5,17.3,18.4,NA,18.1,18.1,14,10.2,12.7,16.4,0,32,50.4,47.6,52.7,51.8,15.1,20.3,16.6,20.2,11.9,39.3,20.7,22,47.1,17.8,0,26.6,44.1,36.9
2,State,Arunachal Pradesh,40,25,NA,NA,50,50,37.5,66.7,45.5,40,NA,65.4,66.7,100,56.2,57.6,50,62.5,38.5,NA,0,59,NA,40.9,0,60,NA,50,58.1,56.9
3,State,Assam,28.2,24.2,32.4,NA,30,30,16.2,19.3,16.7,22.7,35.3,17.2,19.7,54.1,26,31.4,14.5,30.2,24.7,21.6,18.5,20.2,58.8,21.9,11.1,19.9,NA,13.6,19.3,21.1
4,State,Bihar,25.5,16.2,19,NA,20.8,20.8,20.4,23.4,22.4,17.8,27.2,17.9,15.4,22.6,20.3,20.6,13.2,24,16.6,18.9,19.6,10.1,21.2,19.1,17.9,18.8,33.3,16.1,15.2,16
5,State,Chhattisgarh,52.3,39.4,22.7,NA,33,33,37.2,33.3,36.8,27.7,44.4,37.6,42.2,40.9,47.8,46.3,39.1,37,39.8,39.1,24,53.6,32.4,56.3,34.6,41.9,NA,53.2,77.1,64
6,State,Goa,48.1,20,20,NA,0,0,0,0,0,NA,NA,10,39.3,30.4,40,38.1,0,18.2,18.2,NA,0,17.1,0,40,0,0,NA,17.4,34.9,29.4
7,State,Gujarat,33.5,17.6,12.5,NA,24.2,24.2,16.5,13.9,16.3,14.8,8.3,13.6,10.4,19.2,17.8,18.1,10.4,4,3,15.8,1,7.4,8.8,6.9,24.2,5.4,NA,18.1,47.4,35.9
8,State,Haryana,44.8,36.4,28.8,NA,28.7,28.7,29.6,25,28.3,45.5,34.8,36,43.5,37.5,35.5,36.4,17.9,28.4,24.5,50,16.2,22.8,34.8,38.5,82.4,14,NA,33.5,45.3,37.7
9,State,Himachal Pradesh,53.8,30,11.1,NA,26.5,26.5,15.8,0,14.6,0,NA,8.3,18,3.4,17.5,15.3,9,19.4,16.4,0,5.8,15.5,20,14.1,21.7,7.8,NA,18.3,36.5,29.1
10,State,Jammu & Kashmir,7.2,3.9,48.3,NA,10.7,10.7,3.7,0,3.4,0,NA,0,7.1,7.7,3.7,3.9,5,7.8,9.9,33.3,0,7.5,0,11.2,31.9,7.7,NA,58.9,62.9,43.5
11,State,Jharkhand,26.8,22.4,14.9,NA,22.1,22.1,15.8,24.2,20.7,16.4,21,22.6,11.8,10.2,26.8,23.8,24.3,16.9,17.8,15.4,13.5,18.2,23.5,23.7,19.2,32.7,NA,23.5,33.7,25.5
12,State,Karnataka,19.3,9.5,8.6,NA,15,15,5.3,5.1,5.2,11.3,0,10.9,11.2,10.1,10.1,10.1,2.6,15.4,8.1,21.4,2.2,3,14.5,6.2,27.3,5.6,NA,5.2,51.9,30.6
13,State,Kerala,37.2,12.2,4.4,NA,16.4,16.4,5.7,8.7,7.2,11.3,28,22.4,29.1,33.8,30,30.7,13.8,12.3,14.1,47.5,8.5,12.4,24,14.9,16.8,11.1,NA,8.3,63.2,43.9
14,State,Madhya Pradesh,44.7,41.2,43.5,NA,28.5,28.5,33.9,33.7,33.8,34.5,22.3,33.6,35.7,37.5,39.5,39.2,41.1,40.5,34.1,21.6,29.5,56,41.3,39.7,47.3,49.5,100,50.3,66.5,56.7
15,State,Maharashtra,27.6,20.6,10.8,NA,15.6,15.6,10.8,5.8,9.2,11.3,7.7,17.1,21.8,26.1,22.8,23.2,7.4,10,12.1,22,5.4,6.9,9.9,11.5,10.1,3.7,NA,6.7,9.5,11.6
16,State,Manipur,60,0,NA,NA,0,0,100,50,66.7,NA,NA,100,100,NA,60,60,NA,100,100,0,NA,33.3,NA,100,NA,NA,NA,NA,91.9,86.4
17,State,Meghalaya,3.2,9.1,66.7,NA,14.3,14.3,0,0,0,27.3,0,30.3,61.8,40,33.1,33.3,0,0,0,100,12.5,18.6,NA,31.3,NA,NA,NA,12.5,54.9,33.7
18,State,Mizoram,91.9,92.3,100,NA,91.9,91.9,100,90,91.7,100,NA,100,97.6,100,98.4,98.5,100,96.2,94.9,100,100,96.9,NA,95.7,100,100,NA,76.2,99.8,97.9
19,State,Nagaland,91.7,86.7,100,NA,91.7,91.7,100,100,100,100,NA,93.2,98.5,100,95,96.3,NA,100,100,100,NA,94.1,NA,100,100,100,NA,100,94.2,95.7
20,State,Orissa,33.8,16.7,25.5,NA,27,27,16.5,20,17.3,18.4,21.1,17.8,14.1,10.1,13.4,13,11.6,16.8,14.8,0,12.7,17.4,20.5,14.1,11.2,13,NA,35.6,16.2,17.4
21,State,Punjab,51.3,32.4,41.9,NA,33.6,33.6,20,37.3,27.2,23.5,37.5,26.7,56.5,54.9,49,51.3,NA,33.6,26.5,28.6,31.8,18.7,43.7,27.2,23.8,21.8,NA,35.4,43.9,37
22,State,Rajasthan,52.1,52.7,44.6,NA,34.4,34.4,39,43.8,40.1,56.5,46.8,45.7,47.9,56.1,53.3,53.9,55.8,34.2,42.4,41.7,37.9,63,43.8,58.8,59.3,37.8,0,52.1,64.4,59.3
23,State,Sikkim,100,25,NA,NA,50,50,NA,NA,NA,NA,NA,0,100,NA,63,63,60,0,33.3,NA,NA,35.9,NA,33.3,NA,50,NA,60,51.3,52.1
24,State,Tamil Nadu,37.3,28.1,20,NA,23.2,23.2,15.9,23.9,18,35.9,0,37.8,59.7,69.8,66.5,67.3,22.9,9,21,26.3,25.2,51.9,29.3,39.9,42,16.7,NA,54.5,69.1,61.7
25,State,Tripura,19.9,12.5,NA,NA,32.5,32.5,40,6.9,20.4,14.3,NA,22.2,18.4,71.4,21.6,25.3,12,50,30,100,10,17,52.6,13.4,NA,20.5,NA,31.6,23.3,21.5
26,State,Uttar Pradesh,53.9,52.6,51.9,NA,51.5,51.5,51.8,49.9,51.4,45.1,56.8,49.3,50.8,55.4,59.6,58.6,55.2,51.8,55.1,67.1,48.1,58.9,50.9,61.8,72.2,57,NA,62.7,57.7,56.9
27,State,Uttaranchal,33.5,53.5,46.7,NA,29.9,29.9,54.4,14.8,45.3,81.3,100,64.8,74.5,58,69.9,67.8,36.3,21.2,34.7,50,33.3,77.8,54.5,58.6,79.5,40.3,NA,63,69.3,60.9
28,State,West Bengal,23.7,16.3,15.3,NA,15.5,15.5,16.1,5.4,13.3,10.5,13.8,10.6,7.1,11.3,4.1,4.5,1.2,5.5,4.9,21.1,4.3,14.8,21.6,11,20.8,13.9,50,10.5,23.8,15.7
State,State,Total (States),36.5,31.8,34.7,0,27.2,27.2,27.5,24.8,26.6,21.9,21.7,29.8,36.1,43.5,39.1,40,20.9,26.8,24.7,36.8,18.7,31.9,33.6,30.5,52.5,21.9,33.3,37.6,53.6,42.1
29,Union Territory,A & N Islands,100,NA,NA,NA,33.3,33.3,NA,NA,NA,NA,NA,NA,69.2,100,85.7,86.7,50,0,100,NA,NA,35.1,NA,0,0,NA,NA,0,66.9,60.5
30,Union Territory,Chandigarh,65.2,18.8,33.3,NA,52.9,52.9,17.2,25,18.2,0,NA,50,86.3,81.6,85.6,84.7,19.4,29.4,56.4,33.3,0,38,0,35.3,75,0,NA,0,50.8,60
31,Union Territory,D & N Haveli,0,0,NA,NA,20,20,0,0,0,NA,NA,NA,0,20,8.3,11.8,0,0,50,NA,50,0,NA,50,NA,0,NA,0,9.5,8.3
32,Union Territory,Daman & Diu,33.3,0,NA,NA,33.3,33.3,0,NA,0,NA,NA,NA,0,0,100,40,0,0,0,NA,0,0,NA,0,NA,0,NA,0,29.6,15.8
