Sr. No.,Category,States/UTs,Dacoity (Sec.395-398 IPC),Preparation and Assembly for Dacoity (Sec.399-402 IPC),"Robbery (392-394,397,398 IPC)","Burglary (Sec.449-452,454,455, 457-460 IPC)",Theft (Sec.379-382 IPC),Total IPC Crimes Against Property,Percentage Share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,178,3,679,8304,23510,32674,8.33,40.48,18.79
2,State,Arunachal Pradesh,28,0,74,257,451,810,0.21,68.99,35.31
3,State,Assam,319,12,544,2911,7820,11606,2.96,39.8,26.57
4,State,Bihar,1001,140,2169,3531,11752,18593,4.74,20.36,18.47
5,State,Chhattisgarh,160,24,439,3507,5262,9392,2.39,40.85,20.79
6,State,Goa,7,0,17,252,494,770,0.2,49.65,34.94
7,State,Gujarat,290,12,970,5530,18475,25277,6.44,45.89,20.89
8,State,Haryana,104,224,410,4001,10518,15257,3.89,65.87,30.21
9,State,Himachal Pradesh,7,0,29,754,812,1602,0.41,24.85,12.24
10,State,Jammu & Kashmir,10,0,112,1351,1937,3410,0.87,29.08,16.4
11,State,Jharkhand,536,45,779,1428,6173,8961,2.28,30.57,24.64
12,State,Karnataka,202,247,1349,5967,14901,22666,5.78,40.22,19.26
13,State,Kerala,129,125,691,4245,5431,10621,2.71,31.54,10.09
14,State,Madhya Pradesh,151,121,1770,10960,21733,34735,8.85,51.68,17.84
15,State,Maharashtra,663,323,2574,15877,46473,65910,16.8,63.03,34.37
16,State,Manipur,2,27,8,55,290,382,0.1,14.85,13.25
17,State,Meghalaya,57,4,65,140,470,736,0.19,29.64,38.04
18,State,Mizoram,7,0,10,422,758,1197,0.31,124.82,57.74
19,State,Nagaland,16,0,84,70,327,497,0.13,23.21,45.06
20,State,Orissa,239,76,1184,3120,6567,11186,2.85,28.54,21.19
21,State,Punjab,35,90,142,2277,3946,6490,1.65,24.88,20.24
22,State,Rajasthan,37,97,631,5085,17889,23739,6.05,37.8,16.72
23,State,Sikkim,0,0,9,84,113,206,0.05,35.46,29.3
24,State,Tamil Nadu,95,4,450,3300,13651,17500,4.46,26.74,11.75
25,State,Tripura,18,1,71,182,392,664,0.17,19.32,16.85
27,State,Uttar Pradesh,218,86,2024,4577,20447,27352,6.97,14.78,21.54
26,State,Uttaranchal,31,2,157,470,1696,2356,0.6,25.44,28.01
28,State,West Bengal,177,1263,426,601,12532,14999,3.82,17.41,22.04
State,State,Total (States),4717,2926,17867,89258,254820,369588,94.2,33.58,20.41
29,Union Territory,A&n Islands,0,0,5,82,101,188,0.05,47.47,27.81
30,Union Territory,Chandigarh,1,3,34,189,1234,1461,0.37,143.1,46.74
31,Union Territory,D&n Haveli,5,0,5,41,61,112,0.03,44.8,25.75
32,Union Territory,Daman & Diu,8,0,1,60,63,132,0.03,73.33,45.83
33,Union Territory,Delhi,14,200,541,1950,17498,20203,5.15,124.49,34.85
34,Union Territory,Lakshadweep,0,0,0,2,17,19,0,28.36,23.75
35,Union Territory,Pondicherry,2,0,3,84,560,649,0.17,61.99,13.85
Union Territory,Union Territory,Total (UTs),30,203,589,2408,19534,22764,5.8,118.62,33.85
Total (All-India),Total (All-India),Total (All-India),4747,3129,18456,91666,274354,392352,100,35.04,20.89
