Sr. No.,Category,States/UTs,"Riots (Sec.143-145,147-151,153,153A,153B, 157,158,160 IPC)","Arson (Sec.435,436,438 IPC)",Total Crimes Against Public,Percentage Share,Crime Rate,Percentage to Total Cog. Crimes
1,State,Andhra Pradesh,2916,1012,3928,6.03,4.87,2.26
2,State,Arunachal Pradesh,6,20,26,0.04,2.21,1.13
3,State,Assam,2684,488,3172,4.87,10.88,7.26
4,State,Bihar,8259,785,9044,13.89,9.9,8.98
5,State,Chhattisgarh,905,262,1167,1.79,5.08,2.58
6,State,Goa,63,38,101,0.16,6.51,4.58
7,State,Gujarat,1534,321,1855,2.85,3.37,1.53
8,State,Haryana,1142,156,1298,1.99,5.6,2.57
9,State,Himachal Pradesh,566,115,681,1.05,10.56,5.2
10,State,Jammu & Kashmir,1197,203,1400,2.15,11.94,6.73
11,State,Jharkhand,2650,178,2828,4.34,9.65,7.78
12,State,Karnataka,6183,268,6451,9.91,11.45,5.48
13,State,Kerala,6365,435,6800,10.44,20.19,6.46
14,State,Madhya Pradesh,2308,815,3123,4.8,4.65,1.6
15,State,Maharashtra,7453,1188,8641,13.27,8.26,4.51
16,State,Manipur,60,109,169,0.26,6.57,5.86
17,State,Meghalaya,7,28,35,0.05,1.41,1.81
18,State,Mizoram,0,25,25,0.04,2.61,1.21
19,State,Nagaland,7,16,23,0.04,1.07,2.09
20,State,Orissa,1535,371,1906,2.93,4.86,3.61
21,State,Punjab,3,68,71,0.11,0.27,0.22
22,State,Rajasthan,1767,551,2318,3.56,3.69,1.63
23,State,Sikkim,12,1,13,0.02,2.24,1.85
24,State,Tamil Nadu,1838,460,2298,3.53,3.51,1.54
25,State,Tripura,154,35,189,0.29,5.5,4.8
27,State,Uttar Pradesh,3774,299,4073,6.25,2.2,3.21
26,State,Uttaranchal,489,39,528,0.81,5.7,6.28
28,State,West Bengal,2385,111,2496,3.83,2.9,3.67
State,State,Total (States),56262,8397,64659,99.29,5.87,3.57
29,Union Territory,A&n Islands,10,9,19,0.03,4.8,2.81
30,Union Territory,Chandigarh,44,5,49,0.08,4.8,1.57
31,Union Territory,D&n Haveli,8,5,13,0.02,5.2,2.99
32,Union Territory,Daman & Diu,24,5,29,0.04,16.11,10.07
33,Union Territory,Delhi,87,33,120,0.18,0.74,0.21
34,Union Territory,Lakshadweep,12,4,16,0.02,23.88,20
35,Union Territory,Pondicherry,194,22,216,0.33,20.63,4.61
Union Territory,Union Territory,Total (UTs),379,83,462,0.71,2.41,0.69
Total (All-India),Total (All-India),Total (All-India),56641,8480,65121,100,5.82,3.47
