Sr. No. ,Category ,States/ UTs ,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Females to Total
1,State,Andhra Pradesh,209499,18436,227935,8
2,State,Arunachal Pradesh,2722,127,2849,4.5
3,State,Assam,57319,1624,58943,2.8
4,State,Bihar,176342,4104,180446,2.3
5,State,Chhattisgarh,55491,3011,58502,5.1
6,State,Goa,3081,144,3225,4.5
7,State,Gujarat,147019,12791,159810,8
8,State,Haryana,63631,3153,66784,4.7
9,State,Himachal Pradesh,17774,2219,19993,11.1
10,State,Jammu & Kashmir,28746,2032,30778,6.6
11,State,Jharkhand,43662,2012,45674,4.4
12,State,Karnataka,132468,9784,142252,6.9
13,State,Kerala,137110,5191,142301,3.6
14,State,Madhya Pradesh,296276,14506,310782,4.7
15,State,Maharashtra,264042,26504,290546,9.1
16,State,Manipur,868,66,934,7.1
17,State,Meghalaya,1645,54,1699,3.2
18,State,Mizoram,2132,83,2215,3.7
19,State,Nagaland,887,19,906,2.1
20,State,Orissa,82025,3567,85592,4.2
21,State,Punjab,42413,2978,45391,6.6
22,State,Rajasthan,172488,12862,185350,6.9
23,State,Sikkim,698,39,737,5.3
24,State,Tamil Nadu,164790,12792,177582,7.2
25,State,Tripura,4529,585,5114,11.4
26,State,Uttar Pradesh,211955,5803,217758,2.7
27,State,Uttarakhand,12198,1273,13471,9.4
28,State,West Bengal,104856,5490,110346,5
State,State,Total (States),2436666,151249,2587915,5.8
29,Union Territory,A & N Islands,726,71,797,8.9
30,Union Territory,Chandigarh,3196,185,3381,5.5
31,Union Territory,D & N Haveli,579,17,596,2.9
32,Union Territory,Daman & Diu,350,22,372,5.9
33,Union Territory,Delhi,51427,2771,54198,5.1
34,Union Territory,Lakshadweep,237,0,237,0
35,Union Territory,Puducherry,5867,320,6187,5.2
Union Territory,Union Territory,Total (UTs),62382,3386,65768,5.1
Total (All-India),Total (All-India),Total (All-India),2499048,154635,2653683,5.8
