Sr. No.,Category,States/UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose Cases Compounded or Withdrawn,No of Persons whose Trial Completed,No of Persons whose Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,554268,40035,156956,357277,47675,64.5,3
2,State,Arunachal Pradesh,19406,201,877,18328,503,94.4,0.2
3,State,Assam,157284,3776,35454,118054,6944,75.1,1
4,State,Bihar,1498773,10849,143255,1344669,19077,89.7,11.3
5,State,Chhattisgarh,235709,14369,34845,186495,18645,79.1,1.6
6,State,Goa,13498,83,1399,12016,334,89,0.1
7,State,Gujarat,1431347,8843,96956,1325548,24920,92.6,11.2
8,State,Haryana,290893,1024,48400,241469,15555,83,2
9,State,Himachal Pradesh,106065,2432,11451,92182,2364,86.9,0.8
10,State,Jammu & Kashmir,159473,6167,20353,132953,5546,83.4,1.1
11,State,Jharkhand,141268,7405,43007,90856,8770,64.3,0.8
12,State,Karnataka,443733,18320,129878,295535,26990,66.6,2.5
13,State,Kerala,675006,11198,146056,517752,48055,76.7,4.4
14,State,Madhya Pradesh,1467624,86872,194701,1186051,102342,80.8,10
15,State,Maharashtra,2537176,17700,142417,2377059,13200,93.7,20
16,State,Manipur,3165,105,128,2932,98,92.6,0
17,State,Meghalaya,11598,37,736,10825,271,93.3,0.1
18,State,Mizoram,3919,0,2388,1531,1918,39.1,0
19,State,Nagaland,2527,9,731,1787,630,70.7,0
20,State,Orissa,536268,0,58620,477648,9338,89.1,4
21,State,Punjab,147148,381,29095,117672,10186,80,1
22,State,Rajasthan,1001643,42526,147061,812056,86893,81.1,6.8
23,State,Sikkim,892,38,139,715,69,80.2,0
24,State,Tamil Nadu,463196,1027,184947,277222,99859,59.8,2.3
25,State,Tripura,6395,15,2747,3633,596,56.8,0
26,State,Uttar Pradesh,1149319,16061,193500,939758,112593,81.8,7.9
27,State,Uttarakhand,56594,1415,8669,46510,4914,82.2,0.4
28,State,West Bengal,734618,2876,61628,670114,8569,91.2,5.6
State,State,Total (States),13848805,293764,1896394,11658647,676854,84.2,98.1
29,Union Territory,A & N Islands,6578,6,289,6283,160,95.5,0.1
30,Union Territory,Chandigarh,13914,0,2264,11650,1226,83.7,0.1
31,Union Territory,D & N Haveli,3977,0,554,3423,31,86.1,0
32,Union Territory,Daman & Diu,1615,20,177,1418,14,87.8,0
33,Union Territory,Delhi,242805,0,45731,197074,23895,81.2,1.7
34,Union Territory,Lakshadweep,782,140,0,642,0,82.1,0
35,Union Territory,Puducherry,12260,150,5593,6517,3900,53.2,0.1
Union Territory,Union Territory,Total (UTs),281931,316,54608,227007,29226,80.5,1.9
Total (All-India),Total (All-India),Total (All-India),14130736,294080,1951002,11885654,706080,84.1,100
