Sr. No.,Category,States/UTs/Cities,Motives - Revenge/Settling scores,Motives - Greed/Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/Satisfaction of Gaining Control,Motives - Fraud/Illegal Gain,Motives - Eve Teasing/Harassment,Motives - Others,Motives - Total,Suspects - Foreign National/Group,Suspects - Disgrunted Employee/Employee,Suspects - Cracker/Student/Professional learners,Suspects - Business Competitor,Suspects - Neighbours/Friends & Relatives,Suspects - Others,Suspects - Total
1,State,Andhra Pradesh,0,1,0,0,1,55,5,64,126,1,0,0,9,1,115,126
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,0,0,0,0,0,0,2,4,6,0,0,0,0,1,5,6
8,State,Haryana,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,2
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,0,0,0,1,0,18,4,4,27,0,0,0,0,0,27,27
13,State,Kerala,1,1,0,0,0,1,4,5,12,0,0,1,0,0,11,12
14,State,Madhya Pradesh,0,0,0,0,0,126,3,2,131,0,0,33,44,29,25,131
15,State,Maharashtra,3,16,0,3,0,9,6,2,39,1,6,1,2,3,26,39
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,2
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,State,Punjab,0,0,1,1,0,8,7,21,38,0,2,2,0,1,33,38
22,State,Rajasthan,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,1,0,0,0,0,0,0,7,8,0,0,0,0,0,8,8
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
