Sr. No.,Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Protection of Civil Rights Act - Total,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,SC/ST (Prev.) of Atrocities Act - Total,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,State,Andhra Pradesh,91.7,98.7,100,99.4,99.1,88,99.8,33.3,100,100,100,100,100,98,NA,93.8,84.2,87.5,99.9,98.2,NA,96.2,97.4,96.4,30.8,99.9,99.9
2,State,Arunachal Pradesh,80,90.5,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,70.9
3,State,Assam,66.5,86.4,84.4,97.1,100,65.5,57.7,28.6,100,NA,NA,NA,100,95.7,100,NA,61.7,100,NA,96.6,NA,NA,NA,NA,33.3,21.7,36
4,State,Bihar,96.2,93.1,93.8,97,100,87.9,100,31.6,100,82.4,100,82.9,NA,91.8,NA,50,82.3,50,NA,100,NA,79.2,87.5,79.4,80,90.1,90.9
5,State,Chhattisgarh,99.9,99.5,100,100,NA,98.1,100,0,NA,NA,NA,NA,NA,98.8,NA,NA,100,100,NA,100,NA,99.1,97.9,98.4,100,100,100
6,State,Goa,85.7,96.9,99.5,NA,NA,NA,100,NA,100,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,83.3,NA,NA,100,100,100,98.9,99
7,State,Gujarat,98.4,96.3,100,NA,99.9,93.1,100,0,100,100,NA,100,100,99.2,NA,NA,100,100,NA,100,NA,97.6,100,97.9,100,98.9,99.7
8,State,Haryana,98.6,96.3,100,98.6,NA,88.9,100,62.5,100,NA,NA,NA,100,99.3,NA,NA,100,100,NA,100,NA,94.4,NA,94.4,100,96.5,98.7
9,State,Himachal Pradesh,73.3,91.9,99.8,99.2,NA,100,100,NA,100,NA,100,100,NA,100,NA,NA,100,NA,NA,95.5,NA,100,100,100,82.8,81.5,97
10,State,Jammu & Kashmir,65.7,95.1,100,99.8,NA,38.2,100,NA,100,100,NA,100,100,99.6,NA,NA,100,NA,NA,100,NA,NA,NA,NA,100,91.4,83.9
11,State,Jharkhand,95.3,96.6,99.3,96.6,NA,83.3,100,0,100,100,100,100,NA,95.4,81.3,100,90,NA,100,100,NA,75.8,96,83,85.3,91.4,92.1
12,State,Karnataka,96.9,97.9,99.5,91.3,NA,93.8,99.9,0,100,90.9,100,91.3,100,91.8,NA,100,95.4,0,NA,98.6,NA,92.1,92,92,86.7,98.5,97.5
