Sr. No.,Category,State/ UT,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F./ V.H.F.,Walkie-Talkie,Other Wireless Equipments
1,State,Andhra Pradesh,6727,2778,1084,1922,140,698,105,15614,9014,6284,316
2,State,Arunachal Pradesh,640,272,249,0,85,31,3,147,68,69,10
3,State,Assam,215,0,10,0,20,10,175,67,0,0,67
4,State,Bihar,3906,1197,127,1369,341,180,692,8345,4455,2991,899
5,State,Chhattisgarh,1433,486,86,41,184,0,636,4729,4729,0,0
6,State,Goa,389,193,15,133,0,0,48,2462,900,539,1023
7,State,Gujarat,4871,1991,227,1397,662,495,99,11611,9229,2336,46
8,State,Haryana,234,31,7,139,0,0,57,5484,784,898,3802
9,State,Himachal Pradesh,660,267,41,105,155,0,92,2100,1121,973,6
10,State,Jammu & Kashmir,4202,330,679,1728,854,398,213,10783,3542,7023,218
11,State,Jharkhand,0,0,0,0,0,0,0,3212,1679,1290,243
12,State,Karnataka,5662,2401,217,1882,100,63,999,22380,7843,12133,2404
13,State,Kerala,4041,1824,386,1344,2,0,485,7877,3628,2441,1808
14,State,Madhya Pradesh,5440,1781,337,1961,796,565,0,25209,8786,16194,229
15,State,Maharashtra,7444,3865,371,2378,463,0,367,24364,7386,4743,12235
16,State,Manipur,1127,100,34,631,107,134,121,4628,2219,572,1837
17,State,Meghalaya,679,58,28,323,103,85,82,2274,2274,0,0
18,State,Mizoram,579,143,7,197,33,18,181,1100,495,573,32
19,State,Nagaland,397,69,11,126,54,40,97,237,100,121,16
20,State,Orissa,3469,1309,144,1295,472,241,8,4906,3677,967,262
21,State,Punjab,4166,1219,202,1059,1238,448,0,14154,4166,7448,2540
22,State,Rajasthan,4876,2483,121,1399,460,237,176,12742,9107,3635,0
23,State,Sikkim,50,10,0,33,4,3,0,2019,219,397,1403
24,State,Tamil Nadu,9661,4284,279,2527,0,0,2571,17700,6084,11031,585
25,State,Tripura,1325,214,36,604,203,0,268,4568,2595,1933,40
26,State,Uttar Pradesh,11361,4519,453,2885,683,1406,1415,34878,17063,16916,899
27,State,Uttarakhand,798,155,47,57,64,156,319,739,62,75,602
28,State,West Bengal,5870,2204,684,1574,731,507,170,7809,4598,2449,762
State,State,Total (States),90222,34183,5882,27109,7954,5715,9379,252138,115823,104031,32284
29,Union Territory,A & N Islands,220,138,8,35,22,17,0,100,50,50,0
30,Union Territory,Chandigarh,269,135,16,67,30,16,5,1192,307,878,7
31,Union Territory,D & N Haveli,28,11,4,2,8,1,2,296,254,40,2
32,Union Territory,Daman & Diu,21,15,1,2,0,1,2,157,74,83,0
33,Union Territory,Delhi,3763,1954,252,903,0,0,654,19781,6279,13388,114
34,Union Territory,Lakshadweep,19,9,0,10,0,0,0,210,91,119,0
35,Union Territory,Puducherry,361,214,12,101,0,0,34,692,427,265,0
Union Territory,Union Territory,Total (UTs),4681,2476,293,1120,60,35,697,22428,7482,14823,123
Total (All-India),Total (All-India),Total (All-India),94903,36659,6175,28229,8014,5750,10076,274566,123305,118854,32407
