Sr. No.,Purpose,Total No. of Cases Reported,Sex-Wise/Age Group-Wise Upto 10 Years - Male,Sex-Wise/Age Group-Wise Upto 10 Years - Female,Sex-Wise/Age Group-Wise 10 - 15 Years - Male,Sex-Wise/Age Group-Wise 10 - 15 Years - Female,Sex-Wise/Age Group-Wise 15 - 18 Years - Male,Sex-Wise/Age Group-Wise 15 - 18 Years - Female,Sex-Wise/Age Group-Wise 18 - 30 Years - Male,Sex-Wise/Age Group-Wise 18 - 30 Years - Female,Sex-Wise/Age Group-Wise 30 -50 Years - Male,Sex-Wise/Age Group-Wise 30 -50 Years - Female,Sex-Wise/Age Group-Wise Above 50 Years - Male,Sex-Wise/Age Group-Wise Above 50 Years - Female,Sex-Wise/Age Group-Wise Total - Male,Sex-Wise/Age Group-Wise Total - Female,Sex-Wise/Age Group-Wise - Grand Total
1,Adoption,107,9,3,2,4,2,3,62,13,7,1,1,0,83,24,107
2,Begging,23,5,4,6,9,0,0,0,0,0,0,0,0,11,13,24
3,Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Illicit intercourse,2625,1,13,2,183,0,477,34,1488,1,437,0,1,38,2599,2637
5,Marriage,10674,0,5,0,486,19,2111,170,7103,15,807,0,32,204,10544,10748
6,Prostitution,340,0,2,0,15,0,131,33,298,2,20,0,0,35,466,501
7,For Ransom,630,60,9,36,4,28,4,338,34,161,12,11,0,634,63,697
8,Revenge,471,4,7,13,3,30,6,248,40,121,9,8,0,424,65,489
9,Sale,12,1,3,0,5,0,2,0,2,0,0,0,0,1,12,13
10,Selling body parts,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
11,Slavery,113,1,0,1,1,9,3,82,5,11,0,0,0,104,9,113
12,Unlawful activity,548,5,5,2,5,3,10,326,79,88,24,10,0,434,123,557
13,Others,8447,212,210,246,370,240,608,2513,1813,1319,614,247,13,4777,3628,8405
Total,Total,23991,298,261,308,1085,331,3355,3806,10876,1725,1924,277,46,6745,17547,24292
