Sr. No.,Category,States/UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Protection of Civil Rights Act - Total,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,SC/ST (Prev.) of Atrocities Act - Total,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,State,Andhra Pradesh,17.4,5.7,97,43.1,41.8,10.9,58.8,5.7,NA,16.3,0,14.3,100,47.6,NA,0,10.3,0,93.2,23.4,NA,10.7,6.5,10.1,0,99.7,98.8
2,State,Arunachal Pradesh,16.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,37.5
3,State,Assam,24,31.5,20.6,18.5,100,0,33.3,NA,NA,NA,NA,NA,96.2,25,11.1,NA,30.6,NA,NA,16.7,NA,NA,NA,NA,100,20.4,24.5
4,State,Bihar,62,48.1,35,28.3,NA,16.5,0,99,0,0,NA,0,NA,19.7,NA,22.2,18.3,0,NA,20,NA,20.8,50,21.6,18.4,34.9,41.2
5,State,Chhattisgarh,36.4,54.8,98.6,85.3,NA,63.5,28.6,100,NA,NA,NA,NA,NA,61.7,NA,100,20,100,NA,40,NA,39.7,47,43.5,50,99.3,97.6
6,State,Goa,0,37.5,0.8,0,NA,NA,92.6,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0,NA,0,NA,98.7,63.9
7,State,Gujarat,9.5,45,45.8,NA,56.8,22.7,58.3,75.9,100,7.1,NA,7.1,100,21.6,NA,NA,100,57.1,100,7,NA,2.5,0,2.3,0,56.6,56.4
8,State,Haryana,55.2,62.4,82.7,40.7,NA,10,50,59.8,25,NA,NA,NA,100,22.2,NA,NA,0,0,NA,28.3,NA,16,NA,16,100,30.8,53.7
9,State,Himachal Pradesh,28.6,38.4,51.9,19.6,NA,0,0,0,100,0,NA,0,NA,28.6,NA,NA,0,0,NA,0,NA,22.2,NA,22.2,28.6,31,27
10,State,Jammu & Kashmir,1,15.8,94.1,70.8,NA,2.9,NA,NA,96.3,100,NA,100,100,8.5,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,40.2,29.7
11,State,Jharkhand,28.6,28.6,55.2,43.4,NA,16.8,33.3,NA,0,0,0,0,NA,10.9,17.3,NA,16,NA,NA,66.7,NA,10.8,33.3,20.9,87.8,18.9,29.3
12,State,Karnataka,4.3,11.3,83.2,39.3,NA,7.5,73.7,0,64.3,0,0,0,0,2.9,NA,NA,11.6,NA,NA,4.6,NA,2.1,2.5,2.1,3.9,46,58.7
13,State,Kerala,15.9,59.5,89.3,NA,55.8,15.1,62.7,0,8.3,0,NA,0,26.7,29.4,NA,NA,16.7,0,24.6,25.8,NA,3.8,10.2,4.6,NA,80.2,74
14,State,Madhya Pradesh,42.2,63.6,96.7,95.9,99.6,43.7,12.5,69,42.9,50,0,42.9,100,39.8,NA,NA,39.5,33.3,NA,51.4,NA,43.2,35.8,40,45.5,99.1,94.7
15,State,Maharashtra,14,73.7,6.9,NA,1.9,0,12.8,8.3,75,0,NA,0,96.9,3.4,NA,NA,8.3,14.3,0,4.8,NA,4.9,0,4.1,0,20.1,6.1
16,State,Manipur,66.7,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,65.2
17,State,Meghalaya,50,33.3,90.9,NA,NA,0,0,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65.3
18,State,Mizoram,100,100,100,NA,98.2,100,100,NA,100,NA,NA,NA,80.4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7,98.9
19,State,Nagaland,100,94.6,100,100,100,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,96.2
20,State,Orissa,17.6,32.2,68.5,18.6,NA,12.8,17.6,0,0,0,NA,0,NA,8.1,NA,NA,13.1,NA,NA,0,NA,11,17.7,12.3,0,17.3,22.2
21,State,Punjab,69.5,67.3,87.8,78.1,85.7,55.6,23.1,59.5,75,NA,NA,NA,67.9,29.2,NA,NA,NA,NA,NA,42.3,NA,8.7,NA,8.7,0,69.3,77.5
22,State,Rajasthan,83.3,48.9,98.4,88.5,NA,81.8,81.3,85.1,100,18.4,28.6,19.6,50,45.3,NA,NA,100,66.7,60,54.2,NA,33.3,32.1,32.9,87.3,86.1,88.7
