Sr. No,Category,States/ UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,612377,602,605621,6154,1,2.7
2,State,Arunachal Pradesh,88,16,30,42,47.7,0
3,State,Assam,11312,1296,2037,7979,70.5,3.5
4,State,Bihar,21650,1047,12725,7878,36.4,3.4
5,State,Chhattisgarh,130313,0,130075,238,0.2,0.1
6,State,Goa,5173,17,4581,575,11.1,0.2
7,State,Gujarat,219656,46,202527,17083,7.8,7.4
8,State,Haryana,28951,0,27131,1820,6.3,0.8
9,State,Himachal Pradesh,7432,30,5629,1773,23.9,0.8
10,State,Jammu & Kashmir,4162,176,3851,135,3.2,0.1
11,State,Jharkhand,5929,8,4004,1917,32.3,0.8
12,State,Karnataka,43096,971,39636,2489,5.8,1.1
13,State,Kerala,77356,4007,66133,7216,9.3,3.1
14,State,Madhya Pradesh,231006,0,230738,268,0.1,0.1
15,State,Maharashtra,236080,341,174310,61429,26,26.6
16,State,Manipur,1359,481,42,836,61.5,0.4
17,State,Meghalaya,604,36,185,383,63.4,0.2
18,State,Mizoram,1905,1,1688,216,11.3,0.1
19,State,Nagaland,841,51,393,397,47.2,0.2
20,State,Orissa,18732,12,17912,808,4.3,0.3
21,State,Punjab,38151,426,25212,12513,32.8,5.4
22,State,Rajasthan,47981,5,47879,97,0.2,0
23,State,Sikkim,237,4,170,63,26.6,0
24,State,Tamil Nadu,592633,247497,280003,65133,11,28.2
25,State,Tripura,190,16,162,12,6.3,0
26,State,Uttar Pradesh,1252312,2522,1241007,8783,0.7,3.8
27,State,Uttaranchal,121932,87,121335,510,0.4,0.2
28,State,West Bengal,22101,1632,10656,9813,44.4,4.2
State,State,Total (States),3733559,261327,3255672,216560,5.8,93.7
29,Union Territory,A & N Islands,8633,0,6801,1832,21.2,0.8
30,Union Territory,Chandigarh,1472,3,1202,267,18.1,0.1
31,Union Territory,D & N Haveli,43,0,39,4,9.3,0
32,Union Territory,Daman & Diu,6,0,6,0,0,0
33,Union Territory,Delhi,45866,188,33372,12306,26.8,5.3
34,Union Territory,Lakshadweep,20,0,11,9,45,0
35,Union Territory,Pondicherry,1472,9,1359,104,7.1,0
Union Territory,Union Territory,Total (UTs),57512,200,42790,14522,25.3,6.3
Total (All-India),Total (All-India),Total (All-India),3791071,261527,3298462,231082,6.1,100
