Sr. No.,Category,States/UTs/Cities,"No. of Vehicles Motor Cycles, Scooters - S","No. of Vehicles Motor Cycles, Scooters - R","No. of Vehicles Motor Cycles, Scooters - C",No. of Vehicles Motor Car / Taxi / Jeep - S,No. of Vehicles Motor Car / Taxi / Jeep - R,No. of Vehicles Motor Car / Taxi / Jeep - C,No. of Vehicles Buses - S,No. of Vehicles Buses - R,No. of Vehicles Buses - C,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles Other Motor Vehicles - S,No. of Vehicles Other Motor Vehicles - R,No. of Vehicles Other Motor Vehicles - C,No. of Vehicles Total Motor Vehicles - S,No. of Vehicles Total Motor Vehicles - R,No. of Vehicles Total Motor Vehicles - C
1,State,Andhra Pradesh,4554,1754,79,434,175,19,24,14,2,23,17,0,435,241,2,5470,2201,102
2,State,Arunachal Pradesh,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,74,22,0
3,State,Assam,674,248,16,409,117,7,4,4,0,108,15,3,210,69,0,1405,453,26
4,State,Bihar,1700,275,0,49,21,0,2,0,0,4,4,0,268,12,0,2023,312,0
5,State,Chhattisgarh,1910,630,80,76,39,4,28,18,0,0,0,0,129,47,5,2143,734,89
6,State,Goa,170,52,7,43,11,3,0,0,0,13,7,0,2,0,0,228,70,10
7,State,Gujarat,6409,1437,423,467,118,34,8,3,1,33,11,5,274,78,29,7191,1647,492
8,State,Haryana,4641,1556,2,1438,443,2,14,10,0,259,138,0,236,111,0,6588,2258,4
9,State,Himachal Pradesh,74,38,32,99,48,41,3,3,3,8,4,3,32,15,8,216,108,87
10,State,Jammu & Kashmir,287,74,10,67,18,5,0,0,0,14,8,0,191,79,1,559,179,16
11,State,Jharkhand,1118,235,5,65,10,0,1,0,0,33,10,0,12,7,0,1229,262,5
