Sr. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,80738,66,80804,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,35248,1850,37098,95,5
3,Gambling Act,347446,459,347905,99.9,0.1
4,Excise Act,147758,9196,156954,94.1,5.9
5,Prohibition Act,252837,76571,329408,76.8,23.2
6,Explosive & Explosive Substances Act,5147,25,5172,99.5,0.5
7,Immoral Traffic (P) Act,4228,7555,11783,35.9,64.1
8,Indian Railways Act,193,5,198,97.5,2.5
9,Registration of Foreigners Act,3041,561,3602,84.4,15.6
10,Protection of Civil Rights Act - Total,743,25,768,96.7,3.3
10,Protection of Civil Rights Act - i) PCR Act for SCs,719,25,744,96.6,3.4
10,Protection of Civil Rights Act - ii) PCR Act for STs,24,0,24,100,0
11,Indian Passport Act,1552,622,2174,71.4,28.6
12,Essential Commodities Act,11705,104,11809,99.1,0.9
13,Terrorist & Disruptive Activities Act,0,0,0,0,0
14,Antiquity & Art Treasure Act,48,0,48,100,0
15,Dowry Prohibition Act,6089,1492,7581,80.3,19.7
16,Child Marriage Restraint Act,245,60,305,80.3,19.7
17,Indecent Representation of Women (P) Act,572,1093,1665,34.4,65.6
18,Copyrights Act,8916,26,8942,99.7,0.3
19,Sati Prevention Act,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,16643,505,17148,97.1,2.9
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,14817,461,15278,97,3
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,1826,44,1870,97.6,2.4
21,Forest Act,6925,9,6934,99.9,0.1
22,Other SLL Crimes,2486162,37762,2523924,98.5,1.5
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,3416236,137986,3554222,96.1,3.9
