Sr. No.,Category,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Other,Rape (Sec 376 IPC) - Total,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total",Dacoity (Sec 395-398 IPC),Preparation & Assembly For Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,Theft (Sec 379-382 IPC) - Total,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,38,11,11,0,52,52,20,8,28,10,0,9,202,88,414,502,63,0,3,0,2,222,2,34,42,7,0,8,129,1375
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,11,0,0,0,0,0,17,0,0,0,0,0,0,38,75
3,State,Assam,16,0,0,0,8,8,9,1,10,0,0,2,63,24,137,161,28,0,0,0,1,16,0,4,0,1,0,0,32,342
4,State,Bihar,8,9,0,0,9,9,2,1,3,1,0,9,10,7,53,60,19,0,0,0,0,12,2,2,0,0,0,0,58,202
5,State,Chhattisgarh,51,34,1,0,69,69,4,9,13,2,6,22,372,37,292,329,71,0,2,1,4,391,6,63,5,16,0,4,354,1816
6,State,Goa,1,2,0,0,1,1,1,0,1,0,0,1,7,9,9,18,1,0,1,0,0,2,0,0,0,0,0,0,8,43
7,State,Gujarat,32,16,0,0,12,12,32,3,35,5,0,21,183,186,252,438,75,2,7,0,4,213,2,13,3,36,0,6,391,1494
8,State,Haryana,18,19,0,0,26,26,14,3,17,5,21,15,136,55,110,165,69,10,6,0,0,213,2,17,19,20,0,5,236,1019
9,State,Himachal Pradesh,2,4,1,0,6,6,0,0,0,0,0,0,8,2,11,13,10,0,0,0,0,17,0,6,0,0,0,1,34,102
10,State,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11,State,Jharkhand,32,34,1,0,20,20,9,11,20,10,3,7,53,93,243,336,55,0,19,0,2,117,3,7,0,18,0,8,117,862
12,State,Karnataka,9,24,1,0,12,12,2,0,2,11,12,32,69,24,112,136,17,0,0,0,0,74,0,5,1,2,0,0,32,439
13,State,Kerala,4,3,1,0,7,7,3,0,3,2,4,11,45,6,48,54,33,0,2,0,1,46,0,12,0,0,0,0,41,269
14,State,Madhya Pradesh,128,106,6,0,217,217,51,5,56,3,3,45,381,113,504,617,113,0,5,1,8,956,21,162,51,35,0,27,2035,4976
15,State,Maharashtra,125,109,4,0,78,78,24,9,33,35,12,80,577,238,1095,1333,294,2,37,4,10,941,6,78,10,58,0,20,403,4249
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
