Sr. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,77,182.1,42,92.1,0,0,7,0.7,0,0,7,0.7,0,0,10,16.1,42,35.7,178,326.7
2,State,Arunachal Pradesh,15,3.9,3,1,0,0,0,0,0,0,0,0,0,0,3,0.3,7,1.6,28,6.8
3,State,Assam,208,93.3,36,37.3,1,0.8,3,1.3,3,16,6,17.3,5,44.9,15,16.8,48,48.9,319,259.2
4,State,Bihar,688,387.8,109,129.8,0,0,43,8.1,8,1.5,51,9.6,6,20.2,41,27.3,106,29.4,1001,604
5,State,Chhattisgarh,77,82.9,24,4.1,1,2.5,1,4.5,0,0,1,4.5,0,0,5,19.9,52,48.9,160,162.7
6,State,Goa,5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,7,7.4
7,State,Gujarat,77,60.8,51,175.5,1,0.2,3,2.2,1,1.6,4,3.8,0,0,28,184.6,129,142.9,290,567.7
8,State,Haryana,17,38.6,32,176.9,0,0,3,0.2,0,0,3,0.2,2,0.9,12,52.7,38,67.9,104,337.2
9,State,Himachal Pradesh,1,0.4,2,13.5,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,7,15.1
10,State,Jammu & Kashmir,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.7,10,1.6
11,State,Jharkhand,223,115.5,171,57.6,0,0,2,0.3,32,20.3,34,20.5,9,23.2,24,36.1,75,58.9,536,311.8
12,State,Karnataka,63,126.7,14,59.4,0,0,3,1,0,0,3,1,1,7.7,22,44.8,99,197.9,202,437.4
