Sr. No. (Col. 1),Crime Head (Col. 2),Cases WithDrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Charge Found False/ Mistake of Fact or Law Etc.(Col. 5),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Charge Sheets Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Total (Col. 8) = Col. {(5) + (6) + (7)},No. of Cases Pending Investigation at the end of the year (Col. 9),Charge Sheeting Rate (Col. 10) = Col. (7 / 6+ 7 × 100)
1,"Murder (Sec. 302,303 IPC)",0,0,5.7,3.6,71.7,81,19,95.2
2,Rape (Sec.376 IPC,0,0.1,8.1,2.8,70.3,81.1,18.9,96.2
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0.3,13,10.7,59.5,83.1,16.6,84.8
4,Dacoity (Sec.395-398 IPC),0,0,5.1,2.6,56.4,64.1,35.9,95.7
5,"Robbery (392-394, 397,398 IPC)",0,0.8,9.3,8.5,39.8,57.6,41.5,82.5
6,"Arson (Sec.435, 436, 438 IPC)",0,0,16.8,10.6,47.9,75.2,24.8,81.9
7,"Hurt (Sec.323-333, 335-338 IPC)",0,0,12.2,6.1,60.4,78.7,21.2,90.8
8,"PCR Act, 1955 for SCs",0,0.6,10.6,3.3,61.9,75.8,23.6,95
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",0,0.1,14.2,4.9,46.7,65.8,34.1,90.5
10,Other Crime,0,0.1,20.9,5.4,57.6,83.8,16.1,91.5
Total,Total,0,0.1,16.1,5.2,54.8,76.1,23.8,91.3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,DACOITY,,,,,,,
,,(Sec.395-398,IPC),,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,ROBBERY,,,,,,,
,,"(392-394,","3,97,398",IPC),,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,ARSON,,,,,,,
,,"(Sec.435,","436,",438,IPC),,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,HURT,,,,,,,
,,"(Sec.323-333,",335-338,IPC),,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,8,PCR,"ACT,",1955,FOR,SCs,,
,,,,,,,,,
,,,,,,,,,
,,SC/ST PREV. OF,,,,,,,
,,"9           ATROCITIES ACT, 1989",,,,,,,
,,FOR SCs,,,,,,,
