State/UT/All-India,District,Murder (Sec.302 &303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Andhra Pradesh,Adilabad,99,88,14,64,0,64,96,71,25,10,0,17,228,390,64,326,102,19,194,5,34,1447,22,185,107,423,0,313,2265,6122
Andhra Pradesh,Anantapur,184,116,0,16,0,16,67,32,35,13,0,28,223,516,258,258,176,8,86,18,41,1132,16,187,11,189,0,396,1667,5090
Andhra Pradesh,Chittoor,126,59,1,31,0,31,65,37,28,13,0,19,238,1037,194,843,95,29,181,48,22,996,18,123,190,249,0,563,2337,6440
Andhra Pradesh,Cuddapah,98,0,3,25,0,25,68,51,17,4,0,15,157,377,84,293,148,19,184,6,32,985,10,130,84,199,0,422,2332,5298
Andhra Pradesh,Cyberabad,193,92,11,60,0,60,166,90,76,13,1,86,1321,2339,642,1697,49,156,1275,6,43,3871,50,132,93,837,0,1064,2368,14226
Andhra Pradesh,East Godavari,85,116,2,41,0,41,81,28,53,5,0,29,520,1385,221,1164,89,114,319,20,39,3456,25,173,107,465,0,610,1375,9056
Andhra Pradesh,Guntakal Rly.,7,0,0,0,0,0,1,1,0,4,0,5,0,140,0,140,0,0,1,5,0,7,0,2,1,3,0,3,42,221
Andhra Pradesh,Guntur,155,119,4,47,0,47,99,35,64,3,0,19,303,1349,139,1210,139,73,507,26,73,1974,15,281,236,427,0,505,2726,9080
Andhra Pradesh,Hyderabad City,125,116,6,93,0,93,143,77,66,12,0,99,1186,4408,1691,2717,128,84,1777,13,26,4581,29,189,108,1160,0,582,2430,17295
Andhra Pradesh,Karimnagar,147,103,8,73,0,73,151,119,32,3,0,22,225,699,24,675,117,32,481,15,45,1775,47,371,195,698,0,418,2516,8141
Andhra Pradesh,Khammam,134,59,2,44,0,44,91,58,33,11,0,19,218,581,98,483,183,25,157,10,19,1202,17,171,129,327,0,405,2157,5961
Andhra Pradesh,Krishna,73,60,1,36,0,36,54,38,16,1,0,2,182,540,75,465,32,16,126,12,60,2423,9,168,74,296,0,330,772,5267
Andhra Pradesh,Kurnool,132,101,1,35,0,35,85,70,15,6,0,6,223,358,13,345,158,23,143,15,33,1268,9,341,157,157,0,459,2113,5823
Andhra Pradesh,Mahaboobnagar,191,75,17,67,0,67,73,62,11,9,0,28,190,738,4,734,125,32,169,3,53,2088,33,201,9,287,0,618,1314,6320
Andhra Pradesh,Medak,134,69,9,57,0,57,63,39,24,5,0,28,289,558,113,445,72,23,218,6,72,2057,33,107,59,276,0,582,885,5602
Andhra Pradesh,Nalgonda,132,47,4,61,0,61,86,71,15,14,0,31,209,521,92,429,208,20,247,5,73,1853,40,246,126,395,0,638,2977,7933
Andhra Pradesh,Nellore,78,74,5,35,0,35,69,49,20,8,0,21,192,664,153,511,97,25,152,8,68,2265,10,192,137,294,0,365,1046,5805
Andhra Pradesh,Nizamabad,110,83,11,36,0,36,71,46,25,17,1,43,329,593,121,472,139,16,208,3,28,2127,18,115,64,431,0,371,998,5812
Andhra Pradesh,Prakasham,92,111,3,23,0,23,83,68,15,5,0,30,279,559,102,457,99,30,266,2,30,1807,8,200,68,249,0,395,1437,5776
Andhra Pradesh,Ranga Reddy,57,26,5,9,0,9,29,10,19,0,0,7,85,126,20,106,33,3,52,0,37,918,15,50,9,67,0,168,332,2028
Andhra Pradesh,Secunderabad Rly.,11,0,0,2,0,2,3,1,2,2,0,8,0,222,0,222,0,0,7,10,0,8,2,0,0,1,0,3,32,311
Andhra Pradesh,Srikakulam,46,0,6,27,0,27,21,21,0,0,0,2,119,214,0,214,71,14,69,3,26,1184,3,70,25,188,0,208,720,3016
Andhra Pradesh,Vijayawada City,43,50,6,21,1,20,86,60,26,3,0,34,392,1495,424,1071,11,58,410,12,10,1619,8,135,158,336,0,246,729,5862
Andhra Pradesh,Vijayawada Rly.,2,1,0,0,0,0,0,0,0,1,0,2,0,259,0,259,2,1,2,2,0,14,0,5,1,0,0,3,44,339
Andhra Pradesh,Visakha Rural,65,29,1,6,0,6,11,11,0,5,0,6,96,181,0,181,49,13,83,3,27,1613,4,45,38,158,0,418,384,3235
Andhra Pradesh,Visakhapatnam,37,30,1,21,0,21,49,40,9,3,1,27,417,1121,356,765,28,66,261,27,8,540,10,62,30,397,0,247,2095,5478
Andhra Pradesh,Vizianagaram,35,17,0,16,0,16,20,16,4,6,0,8,89,171,1,170,50,10,57,5,8,549,5,69,22,171,0,218,1429,2955
Andhra Pradesh,Warangal,116,89,2,50,0,50,103,78,25,1,0,19,319,718,188,530,464,15,290,10,70,1743,40,230,56,480,0,487,2577,7879
Andhra Pradesh,West Godavari,59,130,0,53,0,53,96,50,46,1,0,19,275,1251,236,1015,52,83,441,26,35,2444,23,354,117,4,0,452,1623,7538
Andhra Pradesh,Total,2766,1860,123,1049,1,1048,2030,1329,701,178,3,679,8304,23510,5313,18197,2916,1007,8363,324,1012,47946,519,4534,2411,9164,0,11489,43722,173909
Arunachal Pradesh,Changlang,3,3,1,4,0,4,4,4,0,3,0,4,21,29,0,29,0,5,6,1,1,20,0,0,0,2,0,4,42,153
Arunachal Pradesh,Dibang Valley,2,5,0,2,0,2,2,2,0,4,0,6,14,18,4,14,1,1,2,1,1,30,0,1,0,0,0,3,42,135
Arunachal Pradesh,K/kumey,5,1,0,2,0,2,3,2,1,0,0,0,5,3,0,3,0,1,1,0,0,3,0,0,0,0,0,2,10,36
Arunachal Pradesh,Kameng East,3,0,0,1,0,1,3,0,3,0,0,2,17,15,0,15,0,2,2,1,0,38,0,2,0,0,0,1,37,124
Arunachal Pradesh,Kameng West,4,1,0,2,0,2,2,2,0,0,0,6,18,14,0,14,2,1,3,0,1,19,0,3,0,0,0,14,23,113
Arunachal Pradesh,Lohit,9,0,0,3,0,3,10,8,2,4,0,12,15,38,3,35,0,1,0,0,3,26,0,3,0,1,0,14,34,173
Arunachal Pradesh,Papum Pare,10,11,1,5,0,5,20,10,10,7,0,18,73,138,53,85,1,30,7,3,1,84,0,14,1,2,0,17,113,556
Arunachal Pradesh,Siang East,2,8,0,7,0,7,6,4,2,5,0,12,30,54,5,49,0,2,1,0,1,52,0,11,0,1,0,5,48,245
Arunachal Pradesh,Siang Upper,1,0,0,2,0,2,2,2,0,0,0,0,9,18,0,18,0,3,3,0,4,18,0,6,0,1,0,2,16,85
Arunachal Pradesh,Siang West,6,1,1,0,0,0,7,7,0,1,0,3,17,55,9,46,0,5,6,2,5,48,0,13,1,4,0,4,71,250
Arunachal Pradesh,Subansiri Lower,4,1,0,3,0,3,5,3,2,1,0,6,5,22,0,22,2,2,1,0,1,22,0,3,0,0,0,4,29,111
Arunachal Pradesh,Subansiri Upper,4,0,0,2,0,2,4,4,0,0,0,3,12,20,0,20,0,5,6,0,2,28,0,6,0,3,0,4,53,152
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,1,0,0,7,13,0,13,0,1,0,1,0,6,0,1,0,0,0,5,14,49
Arunachal Pradesh,Tirap,7,2,0,4,0,4,7,3,4,2,0,2,12,11,0,11,0,2,0,0,0,19,1,0,0,0,0,1,29,99
Arunachal Pradesh,Upper Dibang Valley Total,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,2,0,0,0,0,0,2,4,13
Arunachal Pradesh,Total,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,2294
Assam,Barpeta,57,3,0,58,0,58,75,70,5,22,1,19,128,177,16,161,153,17,43,5,10,104,4,18,0,116,0,45,822,1877
Assam,Baska,25,5,0,14,0,14,24,14,10,3,0,7,10,25,3,22,2,5,2,0,7,92,1,26,0,12,0,23,77,360
Assam,Bongaigaon,15,1,0,13,0,13,19,19,0,8,0,9,39,58,0,58,30,3,1,4,9,47,0,20,0,28,0,17,331,652
Assam,C.i.d.,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,10,18
Assam,Cachar,58,18,0,60,0,60,129,105,24,44,1,19,157,487,86,401,252,29,25,4,46,217,5,181,0,306,0,392,1387,3817
Assam,Chirang,39,4,4,30,0,30,26,26,0,5,1,2,47,72,0,72,77,12,13,4,11,68,0,34,0,58,0,33,72,612
Assam,Darrang,25,14,0,70,0,70,53,46,7,11,1,12,79,171,12,159,48,8,28,4,10,207,2,109,0,75,0,115,349,1391
Assam,Dhemaji,23,33,1,58,0,58,45,30,15,1,2,11,26,150,0,150,43,26,24,2,8,196,1,28,0,94,0,50,203,1025
Assam,Dhubri,40,37,0,115,0,115,118,94,24,20,1,20,98,174,13,161,564,52,95,7,24,373,7,132,0,217,0,282,253,2629
Assam,Dibrugarh,104,25,4,53,0,53,65,56,9,4,0,41,106,419,24,395,59,16,46,2,33,391,4,48,0,44,0,200,405,2069
Assam,G.r.p.,6,0,0,1,0,1,1,0,1,3,0,10,7,181,0,181,19,1,1,0,0,0,0,0,0,0,0,0,125,355
Assam,Goalpara,23,9,4,55,0,55,40,35,5,17,1,9,64,87,15,72,31,6,19,2,19,129,4,45,0,151,0,135,213,1063
Assam,Golaghat,72,24,4,63,0,63,91,70,21,3,0,25,72,277,28,249,8,21,32,5,18,353,1,44,0,76,0,75,236,1500
Assam,Guwahati City,60,43,4,33,0,33,151,108,43,10,0,130,461,1822,786,1036,169,75,200,13,37,374,6,180,0,150,0,214,860,4992
Assam,Hailakandi,18,1,1,23,0,23,56,48,8,6,0,2,52,99,4,95,145,1,19,2,19,32,1,9,0,49,0,19,394,948
Assam,Jorhat,37,6,0,30,0,30,54,52,2,3,0,23,81,253,43,210,27,6,28,3,18,330,0,40,0,56,0,121,347,1463
Assam,Kamrup,43,3,0,37,0,37,80,60,20,24,1,25,107,137,30,107,64,18,34,4,8,17,10,58,0,115,0,59,361,1205
Assam,Karbi Anglong,42,14,1,14,0,14,40,18,22,5,0,16,21,152,28,124,37,9,6,7,9,43,2,9,0,11,0,67,188,693
Assam,Karimganj,38,22,2,44,0,44,46,46,0,13,0,5,81,198,7,191,215,11,10,3,16,112,4,3,0,74,0,46,210,1153
Assam,Kokrajhar,38,14,0,29,0,29,47,39,8,4,0,11,47,105,9,96,48,5,16,1,8,279,14,26,0,69,0,56,144,961
Assam,Lakhimpur,43,4,0,79,0,79,96,93,3,1,0,3,70,196,4,192,125,18,67,8,15,328,6,38,0,110,0,116,319,1642
Assam,Morigaon,27,3,1,58,0,58,56,56,0,3,0,10,44,112,4,108,81,8,19,3,11,201,10,72,0,60,0,51,364,1194
Assam,N.c.hills,18,11,0,4,0,4,14,9,5,5,1,2,10,27,1,26,11,0,2,0,2,23,0,3,0,24,0,15,49,221
Assam,Nagaon,83,33,2,133,0,133,179,177,2,56,2,56,278,366,116,250,260,54,51,5,62,515,8,10,10,278,0,324,781,3546
Assam,Nalbari,24,21,0,17,0,17,33,26,7,9,0,9,63,74,7,67,14,4,5,1,16,229,1,32,0,24,0,42,226,844
Assam,R.p.o.,5,0,0,3,0,3,5,0,5,4,0,1,0,9,0,9,10,0,0,0,0,0,0,0,0,0,0,0,49,86
Assam,Sibsagar,77,30,3,54,0,54,79,79,0,2,0,24,94,378,37,341,67,12,42,2,26,234,3,65,0,133,0,80,573,1978
Assam,Sonitpur,88,16,1,56,0,56,108,105,3,8,0,25,148,390,40,350,96,18,43,5,15,178,7,7,0,155,0,180,612,2156
Assam,Tinsukia,48,13,0,23,0,23,57,38,19,11,0,13,486,1144,34,1110,13,24,19,0,17,144,3,20,0,47,0,216,362,2660
Assam,Udalguri,31,7,0,17,0,17,37,25,12,14,0,5,35,79,15,64,16,2,9,2,14,74,1,33,0,16,0,49,122,563
Assam,Total,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673
Bihar,Araria,63,37,5,42,0,42,104,12,92,43,0,51,34,167,38,129,400,73,93,2,14,54,19,10,0,52,0,33,1315,2611
Bihar,Arwal,22,53,0,0,0,0,9,4,5,2,0,7,14,56,0,56,45,0,9,4,9,160,9,20,0,5,0,1,137,562
Bihar,Aurangabad,82,175,0,18,0,18,42,41,1,23,0,34,104,256,16,240,208,10,12,0,16,701,23,5,0,35,0,26,460,2230
Bihar,Bagaha,45,12,4,27,0,27,44,12,32,9,1,8,13,156,6,150,73,5,35,0,10,303,5,7,0,13,0,13,373,1156
Bihar,Banka,77,12,6,70,0,70,41,26,15,21,2,19,67,108,9,99,256,16,27,1,15,2,21,2,0,18,0,38,707,1526
Bihar,Begusarai,111,225,5,23,0,23,69,41,28,13,1,62,78,315,21,294,245,25,133,3,20,465,36,16,0,55,0,121,863,2884
Bihar,Bettiah,74,105,5,49,0,49,110,35,75,15,0,42,86,314,45,269,238,38,122,6,39,1429,23,24,29,40,0,45,225,3058
Bihar,Bhabhua,53,16,2,22,0,22,35,14,21,33,0,17,64,198,1,197,133,15,22,0,28,69,19,5,0,17,1,64,609,1422
Bihar,Bhagalpur,119,94,7,43,0,43,83,44,39,14,0,50,157,426,90,336,273,43,90,5,12,352,19,19,1,22,0,68,1655,3552
Bihar,Bhojpur,127,235,0,17,0,17,57,34,23,32,0,57,85,314,71,243,254,14,37,0,57,524,26,18,0,81,0,96,1112,3143
Bihar,Buxar,46,67,0,10,0,10,48,10,38,32,0,34,59,270,37,233,255,40,47,0,27,406,25,12,0,67,2,48,168,1663
