Sr. No.,Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,Rape (Sec. 376 IPC) - Total,"Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Women","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Others","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - Total",Dacoity (Sec. 395- 398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392- 394, 397,398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,Theft (Sec. 379-382 IPC) - Total,"Riots (Sec. 143- 145,147- 151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counterfeiting (Sec. 231- 254,489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323- 333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,90.9,94.8,97.2,NA,97.9,97.9,94.4,83.1,90.8,86.4,100,80.3,57.3,67.6,78.1,75.9,83.2,84.7,84.8,51.4,78.3,95.7,94.2,98.1,98.1,97.9,0,86.8,92.9,88.7
2,State,Arunachal Pradesh,70.8,67.6,60,NA,85.3,85.3,78.7,38.9,67.7,42.9,NA,55.9,39.7,25.9,47.5,43.1,58.3,75,69,40,42.9,73.9,NA,78.6,100,61.5,NA,53,70.7,61.2
3,State,Assam,73.3,72.3,72.1,NA,82.9,82.9,62.9,57.6,62.1,57.2,73.3,50,29.2,29.2,44.2,40.6,74.4,58.2,69.5,67.3,48.4,73.9,82.2,77.5,80,73.6,NA,78.3,65.8,62.3
4,State,Bihar,79.3,85.8,83.8,NA,84.1,84.1,70.4,76.5,74.3,63.4,91.2,46.9,32.7,53.7,47.9,48.9,85.3,77.7,80.4,84.8,74.9,84.1,90.3,92.4,86,84.1,97.3,76.3,78.3,74.6
5,State,Chhattisgarh,89.7,91,92.9,NA,97.7,97.7,90.2,83.3,88.7,91.1,100,73.5,40.2,33.8,43.8,40.7,95,78.2,87.4,68.4,53.6,97.2,100,98.9,97.8,99.3,100,75.2,91.4,81.6
6,State,Goa,81.4,87.5,100,NA,66.7,66.7,76.9,100,80,66.7,NA,36,26.6,24.2,39.7,32.9,91.2,44.9,48.9,0,77.3,83.4,100,80,66.7,71.4,NA,69.1,75.7,57.7
7,State,Gujarat,81.6,92.9,84.2,NA,97.1,97.1,82.1,80.4,81.8,68.7,85.7,62.8,29.9,18.9,40,31.7,95.1,79.1,76.4,22.1,75.5,96.4,91.5,98,92.9,99.3,NA,77.1,94.3,80.5
8,State,Haryana,86.5,89.6,92.5,NA,99.4,99.4,91.3,86.5,89.8,89.5,100,78.7,49.8,33.8,59.6,44.1,97.1,84.4,88.4,93.3,73.2,97.4,99.5,99.7,99.6,88.2,NA,75.2,89.1,77
9,State,Himachal Pradesh,71.7,93.4,95.2,NA,99,99,86.5,73.3,83.6,50,NA,87,32,30.6,44.5,40.8,98.1,64.7,83.1,100,57.9,95.8,100,99.3,86.7,100,NA,60.5,95.2,86.2
10,State,Jammu & Kashmir,46.2,55,85.7,NA,98.1,98.1,97.3,45.5,92.8,58.3,NA,55.8,25.1,26.5,73.9,59.2,95.1,86.4,90.3,83.9,40.5,98.9,100,99.4,99.4,99,NA,88.9,92.4,82.2
