SL. No.,Category,State/UT/City,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution to All-India,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Protection of Civil Rights Act - Percentage Contribution to All-India,Others - Incidence,Others - Rate,Others - Percentage Contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage Contribution to All-India
1,State,Andhra Pradesh ,693.4,14,0,13.3,0,0,0,1,0,4.8,0,0,0,3,0,6.8,18,0,5.5,5,0,3.3,75,0.1,2.5,117,0.2,3.2
2,State,Arunachal Pradesh ,9.2,0,0,0,1,0.1,11.1,0,0,0,0,0,0,0,0,0,1,0.1,0.3,0,0,0,0,0,0,1,0.1,0
3,State,Assam,235.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,909.5,6,0,5.7,0,0,0,7,0,33.3,1,0,3.8,5,0,11.4,5,0,1.5,0,0,0,79,0.1,2.7,106,0.1,2.9
5,State,Goa,12.2,0,0,0,3,0.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Gujarat,430.9,21,0,20,0,0,0,1,0,4.8,2,0,7.7,12,0,27.3,35,0.1,10.7,2,0,1.3,277,0.6,9.3,352,0.8,9.6
7,State,Haryana,173.4,0,0,0,2,0,22.2,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,4,0,0.1,5,0,0.1
8,State,Himachal Pradesh,54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.5,1,0,0.3,2,0,1.3,0,0,0,5,0.1,0.1
9,State,Jammu & Kashmir,81.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,2,0,0.1
10,State,Karnataka ,466.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,5,0,3.3,26,0.1,0.9,34,0.1,0.9
