SL. No. ,Category, State/UT/City                             ,By Education - Illiterate,By Education - Primary,By Education - Above Primary but Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income Upto Rs. 500 PM,By Economic Set-Up - Low/ Mid Income (From Rs. 501 To 1000 PM) ,By Economic Set-Up - Middle Income (Rs. 1001 To 2000 PM),By Economic Set-Up - Upp/Mid Income (From Rs. 2001 To 3000 PM),By Economic Set-Up - Upper Income (Above Rs. 3000 PM),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh ,748,401,186,62,1397,1037,192,168,1397,883,325,153,27,9,1397,1191,206,1397
2,State,Arunachal Pradesh ,0,9,37,0,46,13,33,0,46,30,16,0,0,0,46,46,0,46
3,State,Assam,141,91,69,4,305,115,130,60,305,95,65,53,63,29,305,271,34,305
4,State,Bihar,827,513,531,155,2026,1395,414,217,2026,1126,475,253,110,62,2026,1879,147,2026
5,State,Goa,22,3,5,0,30,19,11,0,30,26,0,3,1,0,30,30,0,30
6,State,Gujarat,626,1044,285,39,1994,1392,487,115,1994,872,644,276,135,67,1994,1699,295,1994
7,State,Haryana,197,65,64,43,369,314,47,8,369,120,85,110,41,13,369,330,39,369
8,State,Himachal Pradesh,3,16,44,5,68,53,8,7,68,18,21,26,2,1,68,68,0,68
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka ,229,137,88,8,462,393,50,19,462,256,128,49,28,1,462,425,37,462
11,State,Kerala,2,23,7,36,68,57,8,3,68,46,17,5,0,0,68,68,0,68
12,State,Madhya Pradesh,1525,1689,488,154,3856,2968,609,279,3856,1971,1335,396,122,32,3856,3701,155,3856
13,State,Maharashtra,900,1067,514,84,2565,1986,410,169,2565,1027,941,395,156,46,2565,2202,363,2565
14,State,Manipur,0,2,0,0,2,2,0,0,2,0,0,2,0,0,2,2,0,2
15,State,Meghalaya,7,8,13,0,28,16,12,0,28,18,5,4,1,0,28,28,0,28
