SL. No.,Category,State/UT/City,Gain - Murder,Gain - Culpable Homicide Not Amounting To Murder (C.H.),Property Dispute - Muder,Property Dispute - Culpable Homicide Not Amounting To Murder (C.H.),Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - Culpable Homicide Not Amounting To Murder (C.H.),Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - Culpable Homicide Not Amounting To Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide Not Amounting To Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide Not Amounting To Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide Not Amounting To Murder (C.H.),Casteism - Murder,Casteism - Culpable Homicide Not Amounting To Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide Not Amounting To Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide Not Amounting To Murder (C.H.),Total - Murder,Total - Culpable Homicide Not Amounting To Murder (C.H.)
1,State,Andhra Pradesh ,104,0,147,4,382,2,345,4,67,11,1,0,1,0,0,0,17,0,1408,73,2472,94
2,State,Arunachal Pradesh ,2,0,1,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,57,2,72,2
3,State,Assam,81,4,155,1,154,3,43,1,23,2,1,0,0,0,0,0,1,0,815,17,1273,28
4,State,Bihar,500,68,1301,89,849,56,298,33,166,45,18,0,1,0,53,0,38,2,1826,329,5050,622
5,State,Goa,4,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,18,3,36,3
6,State,Gujarat,73,1,159,1,126,0,161,1,23,3,11,0,0,0,0,0,28,0,851,13,1432,19
7,State,Haryana,19,2,182,9,130,11,47,4,9,34,9,0,0,0,3,0,0,0,317,73,716,133
8,State,Himachal Pradesh,10,0,20,0,14,0,10,0,0,0,1,1,0,0,0,0,0,0,72,6,127,7
9,State,Jammu & Kashmir,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,783,22,796,22
10,State,Karnataka ,71,0,141,3,163,1,143,0,66,1,7,0,9,0,5,0,17,2,1125,40,1747,47
11,State,Kerala,29,0,21,0,247,0,8,0,1,0,1,0,6,0,0,0,0,0,177,33,490,33
12,State,Madhya Pradesh,117,0,397,2,616,0,201,0,64,86,34,0,11,0,3,1,76,0,1897,198,3416,287
13,State,Maharashtra,100,3,128,1,247,3,387,1,109,73,16,0,8,0,9,0,37,0,1859,44,2900,125
14,State,Manipur,9,1,1,0,9,0,1,0,0,0,1,0,30,0,4,0,4,0,198,5,257,6
15,State,Meghalaya,8,0,14,0,11,0,0,0,2,0,0,0,0,0,4,0,0,0,89,4,128,4
16,State,Mizoram,10,0,0,0,19,5,1,0,0,0,0,0,0,0,0,0,0,0,7,0,37,5
17,State,Nagaland,3,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,145,8,155,9
18,State,Orissa,26,7,58,16,135,8,48,4,41,10,1,0,0,0,0,0,16,0,592,54,917,99
19,State,Punjab,16,4,91,5,37,1,90,6,13,8,0,0,0,0,0,0,0,0,432,51,679,75
20,State,Rajasthan,74,1,119,0,243,1,32,0,216,1,4,0,0,0,12,0,0,0,686,94,1386,97
21,State,Sikkim ,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,12,1
22,State,Tamil Nadu,93,0,268,0,436,0,213,0,12,0,16,0,23,0,6,0,0,0,892,17,1959,17
23,State,Tripura,8,0,5,0,48,0,5,0,7,0,0,0,0,0,0,0,0,0,178,0,251,0
24,State,Uttar Pradesh,312,33,614,96,1584,119,392,21,0,0,4,1,9,0,2,0,0,0,5867,1113,8784,1383
25,State,West Bengal ,26,0,60,11,123,29,51,3,6,1,0,0,0,0,0,0,0,0,1522,576,1788,620
Total (States),State,Total (States),1697,125,3892,238,5601,240,2484,78,826,275,126,2,98,0,101,1,234,4,21821,2775,36880,3738
26,UT,A & N Islands,0,0,1,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,14,0
27,UT,Chandigarh,0,0,1,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,6,5,14,9
