SL. No. ,Category,State/UT,Total No. of Persons Under Trial Including those from Previous year,No. of Persons whose - Cases Compounded or Withdrawn,No. of Persons whose - Trial Completed,No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh ,419446,11376,141805,266265,44600,63.5,3
2,State,Arunachal Pradesh ,10091,68,220,9803,188,97.1,0.1
3,State,Assam,158478,5337,26730,126411,5232,79.8,1.4
4,State,Bihar,1305094,39978,170202,1094914,42694,83.9,12.2
5,State,Goa,29859,425,1898,27536,487,92.2,0.3
6,State,Gujarat,697633,17277,74343,606013,25715,86.9,6.8
7,State,Haryana,189283,2595,43161,143527,16745,75.8,1.6
8,State,Himachal Pradesh,56049,2859,6213,46977,943,83.8,0.5
9,State,Jammu & Kashmir,124791,3886,7219,113686,2041,91.1,1.3
10,State,Karnataka ,558871,40308,83030,435533,15122,77.9,4.9
11,State,Kerala,389212,21646,76770,290796,14571,74.7,3.2
12,State,Madhya Pradesh,1520835,60035,168643,1292157,71499,85,14.4
13,State,Maharashtra,1709259,33681,124231,1551347,30427,90.8,17.3
14,State,Manipur,5478,2,0,5476,0,100,0.1
15,State,Meghalaya,9517,130,1248,8139,819,85.5,0.1
16,State,Mizoram,1754,2,1058,694,848,39.6,0
17,State,Nagaland,4078,94,772,3212,688,78.8,0
18,State,Orissa,465956,526,60445,404985,7100,86.9,4.5
19,State,Punjab,44555,389,16123,28043,5873,62.9,0.3
20,State,Rajasthan,1035865,48884,120489,866492,64743,83.6,9.7
21,State,Sikkim ,1093,53,158,882,110,80.7,0
22,State,Tamil Nadu,465028,17986,162925,284117,87967,61.1,3.2
23,State,Tripura,11144,718,2626,7800,316,70,0.1
24,State,Uttar Pradesh,1071253,44623,208457,818173,103137,76.4,9.1
25,State,West Bengal ,411724,746,43740,367238,5892,89.2,4.1
Total (States),State,Total (States),10696346,353624,1542506,8800216,547757,82.3,98.1
26,UT,A & N Islands,3593,11,435,3147,269,87.6,0
27,UT,Chandigarh,7304,262,1504,5538,696,75.8,0.1
28,UT,D & N Haveli,2325,0,1074,1251,106,53.8,0
29,UT,Daman & Diu,741,37,167,537,37,72.5,0
30,UT,Delhi,183260,1926,29806,151528,14671,82.7,1.7
31,UT,Lakshadweep,28,6,2,20,2,71.4,0
32,UT,Pondicherry,5730,297,1546,3887,1157,67.8,0
Total (UTs),UT,Total (UTs),202981,2539,34534,165908,16938,81.7,1.9
Total (All-India),Total (All-India),Total (All-India),10899327,356163,1577040,8966124,564695,82.3,100
