SL. No.,Category,States/U.Ts,Estimated Mid-Year Population (in Lakhs) ,Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Cotribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Cotribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Cotribution to All-India (P),(Torture) Cruelty by Husband & His Relatives - Incidence (I),(Torture) Cruelty by Husband & His Relatives - Rate (R),(Torture) Cruelty by Husband & His Relatives - Percentage Cotribution to All-India (P),Molestration - Incidence (I),Molestration - Rate (R),Molestration - Percentage Cotribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Cotribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Cotribution to All-India (P)
1,State,Andhra Pradesh ,693.4,827,1.2,7.4,530,0.8,4.5,575,0.8,9.9,2053,3,9.3,1899,2.7,9,2451,3.5,20.4,8335,12,9.9
2,State,Arunachal Pradesh,9.2,29,3.2,0.3,7,0.8,0.1,0,0,0,3,0.3,0,20,2.2,0.1,0,0,0,59,6.4,0.1
3,State,Assam,235.9,508,2.2,4.5,604,2.6,5.1,19,0.1,0.3,209,0.9,0.9,146,0.6,0.7,5,0,0,1491,6.3,1.8
4,State,Bihar,909.5,775,0.9,6.9,273,0.3,2.3,338,0.4,5.8,356,0.4,1.6,145,0.2,0.7,9,0,0.1,1896,2.1,2.3
5,State,Goa,12.2,13,1.1,0.1,18,1.5,0.2,2,0.2,0,16,1.3,0.1,27,2.2,0.1,17,1.4,0.1,93,7.6,0.1
6,State,Gujarat,430.9,266,0.6,2.4,515,1.2,4.4,114,0.3,2,1428,3.3,6.5,850,2,4.1,258,0.6,2.1,3431,8,4.1
7,State,Haryana,173.4,189,1.1,1.7,180,1,1.5,166,1,2.9,293,1.7,1.3,276,1.6,1.3,536,3.1,4.5,1640,9.5,2
8,State,Himachal Pradesh,54,87,1.6,0.8,185,3.4,1.6,18,0.3,0.3,160,3,0.7,257,4.8,1.2,22,0.4,0.2,729,13.5,0.9
9,State,Jammu and Kashmir,81.3,136,1.7,1.2,356,4.4,3,20,0.2,0.3,3,0,0,185,2.3,0.9,207,2.5,1.7,907,11.2,1.1
10,State,Karnataka ,466.7,220,0.5,2,276,0.6,2.3,266,0.6,4.6,1153,2.5,5.2,930,2,4.4,157,0.3,1.3,3002,6.4,3.6
11,State,Kerala,300.7,168,0.6,1.5,145,0.5,1.2,10,0,0.2,381,1.3,1.7,468,1.6,2.2,19,0.1,0.2,1191,4,1.4
12,State,Madhya Pradesh,694.1,2486,3.6,22.1,904,1.3,7.6,370,0.5,6.4,1500,2.2,6.8,5572,8,26.6,546,0.8,4.5,11378,16.4,13.6
13,State,Maharashtra,826.3,1107,1.3,9.8,903,1.1,7.6,746,0.9,12.8,6746,8.2,30.6,2996,3.6,14.3,1415,1.7,11.8,13913,16.8,16.6
14,State,Manipur,19.4,5,0.3,0,71,3.7,0.6,0,0,0,1,0.1,0,30,1.5,0.1,0,0,0,107,5.5,0.1
15,State,Meghalaya,18.7,21,1.1,0.2,2,0.1,0,0,0,0,1,0.1,0,19,1,0.1,0,0,0,43,2.3,0.1
16,State,Mizoram,7.4,32,4.3,0.3,2,0.3,0,0,0,0,0,0,0,44,5.9,0.2,0,0,0,78,10.5,0.1
17,State,Nagaland,13,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
18,State,Orissa,330.6,372,1.1,3.3,274,0.8,2.3,254,0.8,4.4,201,0.6,0.9,910,2.8,4.3,120,0.4,1,2131,6.4,2.5
19,State,Punjab,210.1,87,0.4,0.8,108,0.5,0.9,147,0.7,2.5,41,0.2,0.2,15,0.1,0.1,2,0,0,400,1.9,0.5
20,State,Rajasthan,462.8,890,1.9,7.9,2303,5,19.5,369,0.8,6.3,1984,4.3,9,1587,3.4,7.6,27,0.1,0.2,7160,15.5,8.5
