 SI.No.,Crime Head,1991,1992,1993,1994,1995
1,Murder,2.2,2.2,2.3,2.2,2.2
2,Attempt to Commit Murder,2.5,2.5,2.5,2.5,2.6
3,C.H. Not Amounting To Murder,2.4,2,2.3,2.1,2.1
4,Rape,1.4,1.4,1.3,1.4,1.4
5,Kidnapping & Abduction,1.4,1.4,1.4,1.4,1.3
5,I)of Women & Girls,1.3,1.3,1.3,1.2,1.2
5,II)of Others,1.7,1.7,1.6,1.6,1.5
6,Dacoity,3.2,3.2,3.3,3.2,3.1
7,Preparation & Assembly for Dacoity,4.6,5,5.4,5,5.4
8,Robbery,1.3,1.2,1.2,1.3,1.3
9,Burglary,0.7,0.7,0.7,0.7,0.7
10,Theft,0.8,0.7,0.7,0.7,0.6
11,Riots,5.2,5.1,5.6,5.4,5.3
12,Criminal Breach of Trust,0.9,0.9,0.9,0.9,1
13,Cheating,0.9,0.9,0.9,0.9,0.9
14,Counterfeiting,0.3,0.2,0.3,0.4,0.4
15,Arson,*,*,*,*,1.2
16,Hurt/ Grievous Hurt,*,*,*,*,1.8
17,Dowry Death,*,*,*,*,2.8
18,Molestation,*,*,*,*,1.2
19,Sexual Harassment,*,*,*,*,1.3
20,Cruelty by Husband and Relatives,*,*,*,*,2.2
21,Other IPC Crimes,1.4,1.5,1.5,1.5,1.4
22,Total Cognizable Crimes Under IPC,1.5,1.5,1.5,1.5,1.5
1,Arms Act,1.1,1.1,1,1,1
2,Narcotic Drugs & Psychotropic Substances Act,1,1.1,1.1,1.2,1.1
3,Gambling Act ,2.2,2.1,2,2,2.1
4,Excise Act,1.1,1.1,1.1,1,1.1
5,Prohibition Act,1,1,1,1,1
6,Explosive & Explosive Substances Act,1.2,0.8,1.2,1.2,1.1
7,Immoral Traffic (P) Act,1,1.1,1.2,1.4,1.4
8,Indian Railways Act,1,1.1,1.1,1.2,1.1
9,Registration of Foreigners Act,1.3,1.7,1.9,1.9,1.6
10,Protection Of Civil Rights Act,2.5,1.9,2.1,2.1,2.4
11,Indian Passport Act,2.2,1.5,1.7,1.4,1.6
12,Essential Commodities Act,1.3,1.3,1.3,1.4,1.4
13,Terrorist & Disruptive Actvites Act,1.3,0.6,1,0.9,1
14,Antiquity & Art Treasure Act,5.9,1.4,2.3,1,1.2
15,Dowry Prohibition Act,2.5,2.3,2.3,2.4,2.6
16,Child Marriage Restraint Act,*,*,*,*,3.5
17,Indecent Representation of Women (P)Act,*,*,*,*,1.1
18,Copy Right Act,*,*,*,*,1.4
19,Sati Prevention Act,*,*,*,*,0
20,SC/ST (Prevention of Atrocities ) Act,*,*,*,*,1.9
21,Forest Act,*,*,*,*,2.1
22,Other SLL Crimes ,1.1,1.2,1.2,1.2,1
23,Total Cognizable Crimes Under SLL,1.2,1.2,1.2,1.2,1.1
