SI.No. ,Category,State/UT/City                             ,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence ,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence ,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence ,Registration of Foreigners Act - Rate,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activites Act - Incidence,Terrorist & Disruptive Activites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P)Act - Incidence,Indecent Representation of Women (P)Act - Rate,Copy Right Act - Incidence,Copy Right Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev. Of Atrocities ) Act - Incidence,SC/ST (Prev. Of Atrocities ) Act - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
1,State,Andhra Pradesh ,639,0.9,571,0.8,45518,63.5,19838,27.7,14358,20,716,1,507,0.7,26,0,18,0,335,0.5,7,0,42,0.1,16,0,12,0,65,0.1,3,0,357,0.5,58,0.1,0,0,727,1,65,0.1,648430,904.2,732308,1021.2
2,State,Arunachal Pradesh ,25,2.6,11,1.1,0,0,2,0.2,0,0,6,0.6,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.7,64,6.7
3,State,Assam,344,1.4,113,0.5,250,1,148,0.6,9,0,48,0.2,6,0,6,0,5,0,0,0,81,0.3,37,0.2,51,0.2,0,0,86,0.3,0,0,0,0,1,0,0,0,0,0,14,0.1,892,3.6,2091,8.5
4,State,Bihar,3116,3.3,192,0.2,492,0.5,1906,2,4,0,384,0.4,21,0,128,0.1,9,0,37,0,0,0,192,0.2,32,0,28,0,982,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017,1.1,8540,9
5,State,Goa,5,0.4,16,1.3,503,39.6,0,0,0,0,7,0.6,62,4.9,83,6.5,10,0.8,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,1,0.1,0,0,461,36.3,1154,90.9
6,State,Gujarat,599,1.3,280,0.6,9152,20.5,0,0,157974,354.1,50,0.1,5,0,1900,4.3,15,0,207,0.5,24,0.1,389,0.9,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44349,99.4,214945,481.8
7,State,Haryana,1252,6.9,1227,6.8,2288,12.7,15559,86.1,0,0,23,0.1,1,0,2055,11.4,3,0,1,0,2,0,166,0.9,2,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,1507,8.3,24094,133.3
8,State,Himachal Pradesh,20,0.4,84,1.5,178,3.2,4503,80.3,0,0,9,0.2,5,0.1,1,0,9,0.2,15,0.3,13,0.2,19,0.3,0,0,0,0,5,0.1,8,0,0,0,2,0,0,0,20,0.4,304,5.4,124,2.2,5319,94.8
9,State,Jammu & Kashmir,1916,22.5,51,0.6,10,0.1,1,0,0,0,747,8.8,0,0,0,0,54,0.6,4,0,15,0.2,453,5.3,1158,13.6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,57,0.7,168,2,4638,54.5
10,State,Karnataka ,135,0.3,190,0.4,4827,10,2037,4.2,0,0,77,0.2,1851,3.9,14,0,39,0.1,365,0.8,12,0,179,0.4,1,0,19,0,337,0.7,0,0,0,0,27,0.1,26,0.1,1157,2.4,395,0.8,1000135,2081.4,1011823,2105.8
