SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad,92,77,3,41,76,42,34,9,0,51,1196,2897,252,107,535,3,9,583,36,38,8,241,2943,9197
2,Andhra Pradesh,Vijayawada,34,34,2,29,33,13,20,4,0,19,267,724,15,23,159,13,14,839,9,35,7,118,438,2816
3,Andhra Pradesh,Vishakhapatnam,14,15,0,7,19,14,5,1,0,20,270,833,10,40,118,6,5,678,3,31,238,78,262,2648
1,Assam,Guwahati City,49,23,4,32,94,79,15,57,2,119,392,1294,67,82,106,8,2,194,2,31,0,25,1992,4575
1,Bihar,Patna,195,292,18,26,113,27,86,74,8,157,331,1354,227,197,141,12,NA,NA,NA,NA,NA,NA,1958,5103
2,Bihar,Ranchi,88,49,9,20,34,11,23,15,4,109,190,459,55,26,37,4,NA,NA,NA,NA,NA,NA,828,1927
1,Gujarat,Ahmedabad,118,80,1,3,146,112,34,27,0,138,984,4674,200,133,183,9,NA,NA,NA,NA,NA,NA,8776,15472
2,Gujarat,Bhavnagar,59,24,1,13,49,41,8,6,0,34,215,518,80,173,79,12,NA,NA,NA,NA,NA,NA,3211,4474
3,Gujarat,Rajkot,25,14,0,6,43,33,10,2,0,45,258,691,81,243,120,8,NA,NA,NA,NA,NA,NA,2607,4143
4,Gujarat,Surat,82,52,0,16,60,45,15,40,0,76,522,1712,133,85,232,5,NA,NA,NA,NA,NA,NA,2249,5264
5,Gujarat,Vadodara,44,23,0,7,41,37,4,9,0,24,412,1377,193,126,284,12,NA,NA,NA,NA,NA,NA,2947,5499
1,Karnataka,Banglore,212,322,4,42,141,72,69,36,2,524,2660,8387,419,302,1016,34,150,3683,57,181,50,207,10470,28899
2,Karnataka,Belgaum,16,12,0,2,9,5,4,2,0,3,178,197,60,6,44,2,0,124,0,6,0,4,403,1068
3,Karnataka,Bijapur,5,8,0,0,13,6,7,6,0,17,87,107,79,4,28,0,2,114,0,4,0,32,284,790
4,Karnataka,Davanagere,4,4,0,1,4,3,1,2,0,2,80,150,40,13,11,1,2,124,1,6,1,7,19,472
5,Karnataka,Gulbarga,8,18,0,1,9,0,9,3,0,22,61,87,79,4,20,1,6,146,0,3,0,23,277,768
6,Karnataka,Hubli Dharwad,31,34,0,6,18,9,9,9,0,47,231,423,177,15,85,0,7,236,7,9,0,42,969,2346
7,Karnataka,Mysore,21,14,0,10,17,12,5,5,0,69,496,741,64,23,105,1,0,420,14,6,7,141,1138,3292
8,Karnataka,Raichur,10,13,0,0,3,1,2,4,0,1,62,82,31,4,22,1,4,61,0,2,0,7,133,440
1,Kerala,Kochi,17,12,4,7,4,2,2,6,0,6,235,219,184,12,93,2,17,493,1,21,0,16,3268,4617
2,Kerala,Kozhikode,4,9,0,5,9,5,4,2,1,4,188,198,226,23,90,1,14,349,0,21,0,36,2293,3473
3,Kerala,Thiruvananthapuram,19,47,2,10,14,12,2,22,11,48,296,302,386,18,103,2,7,830,0,29,0,23,2375,4544
