SL. No.,Category,State/UT/City,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh ,277,77,35,2,57
2,State,Arunachal Pradesh ,0,0,0,0,0
3,State,Assam,52,16,22,4,32
4,State,Bihar,53,55,36,6,46
5,State,Goa,1,1,3,0,21
6,State,Gujarat,69,2,57,0,50
7,State,Haryana,6,7,30,0,38
8,State,Himachal Pradesh,0,0,0,0,0
9,State,Jammu & Kashmir,74,9,46,0,0
10,State,Karnataka ,31,6,23,0,107
11,State,Kerala,2,1,1,0,20
12,State,Madhya Pradesh,43,14,3,1,39
13,State,Maharashtra,38,15,12,1,35
14,State,Manipur,10,5,15,4,8
15,State,Meghalaya,2,1,0,0,3
16,State,Mizoram,0,0,0,0,0
17,State,Nagaland,0,0,0,0,0
18,State,Orissa,8,5,30,0,0
19,State,Punjab,10,5,0,0,0
20,State,Rajasthan,7,0,16,0,30
21,State,Sikkim ,0,0,0,0,0
22,State,Tamil Nadu,11,5,53,0,70
23,State,Tripura,61,30,8,20,15
24,State,Uttar Pradesh,35,17,7,0,3
25,State,West Bengal ,107,15,49,0,122
Total (States),State,Total (States),897,286,446,38,696
26,UT,A & N Islands,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0
30,UT,Delhi,8,7,124,0,97
31,UT,Lakshadweep,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0
Total (UTs),UT,Total (UTs),8,7,124,0,97
Total (All-India),Total (All-India),Total (All-India),905,293,570,38,793
33,City,Ahmedabad ,16,0,0,0,6
34,City,Bangalore ,3,2,0,0,0
35,City,Bhopal,0,0,0,0,0
36,City,Calcutta,10,8,2,0,4
37,City,Chennai,9,1,4,0,15
38,City,Coimbatore,0,0,0,0,0
39,City,Delhi,8,7,124,0,97
40,City,Hyderabad,22,1,2,0,0
41,City,Indore,2,2,0,0,0
42,City,Jaipur,0,0,0,0,0
43,City,Kanpur,0,0,0,0,0
44,City,Kochi,0,0,0,0,0
45,City,Lucknow,1,3,0,0,0
46,City,Ludhiana,0,0,0,0,0
47,City,Madurai,0,0,0,0,0
48,City,Mumbai,0,0,0,0,0
49,City,Nagpur,0,0,0,0,0
50,City,Patna,0,0,0,0,0
51,City,Pune,1,2,0,0,0
52,City,Surat,0,0,0,0,0
53,City,Vadodra,2,0,0,0,1
54,City,Varanasi,0,0,0,0,0
55,City,Vishakhapatnam,0,0,0,0,0
