SL. No.,Place Of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,4551,1510.5,5684,1561.4,90053,9888.7,112934,14679.8
2,High-Way,1200,895.2,5252,1398.9,440,38.8,8232,1198.2
3,River & Sea,18,6.9,12,0.5,12,1.2,114,8.1
4,Railways,251,46,464,42.7,54,1.1,14265,913
5,Banks,42,112.4,53,50.4,195,77,258,47.7
6,Commercial Establishments,360,552.3,727,295.3,8862,1715,17214,2611.1
7,Other Places,1913,976.6,10251,2184.1,16891,2816.7,141289,18234.2
8,Total,8335,4100,22443,5533.3,116507,14538.5,294306,37692.2
