SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I - Sanctioned","Inspector, SI & A.S.I - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh ,32,28,68,66,978,737,11959,10160,13037,10991
2,State,Arunachal Pradesh ,4,2,12,11,49,47,1452,1407,1517,1467
3,State,Assam,50,48,130,124,887,697,22422,19140,23489,20009
4,State,Bihar,22,22,66,63,1317,1166,16647,16395,18052,17646
5,State,Goa,0,0,3,1,35,25,569,509,607,535
6,State,Gujarat,11,11,41,41,448,448,12018,12018,12518,12518
7,State,Haryana,7,7,16,16,297,297,4386,4386,4706,4706
8,State,Himachal Pradesh,6,6,26,26,218,197,4134,3609,4384,3838
9,State,Jammu & Kashmir,38,36,110,50,744,583,13576,13489,14468,14158
10,State,Karnataka ,11,10,35,35,398,351,9058,7863,9502,8259
11,State,Kerala,18,16,41,23,339,291,6371,4526,6769,4856
12,State,Madhya Pradesh,60,60,107,107,2560,2560,24161,24161,26888,26888
13,State,Maharashtra,19,14,60,53,1000,872,13957,12514,15036,13453
14,State,Manipur,29,24,61,20,285,206,7829,6619,8204,6869
15,State,Meghalaya,4,2,17,10,76,66,2011,1752,2108,1830
16,State,Mizoram,34,34,40,40,125,125,3360,3360,3559,3559
17,State,Nagaland,22,22,80,66,331,324,8963,8943,9396,9355
18,State,Orissa,17,16,63,47,520,477,6958,6674,7558,7214
19,State,Punjab,86,76,138,134,970,912,16767,16069,17961,17191
20,State,Rajasthan,23,15,74,38,385,303,10843,10457,11325,10813
21,State,Sikkim ,3,3,4,4,20,20,810,810,837,837
22,State,Tamil Nadu,14,14,39,39,756,469,9645,9595,10454,10117
23,State,Tripura,10,6,42,11,251,102,5968,5900,6271,6019
24,State,Uttar Pradesh,47,46,136,95,1242,1102,33742,32900,35167,34143
25,State,West Bengal ,43,28,99,84,857,797,20925,20567,21924,21476
Total (States),State,Total (States),610,546,1508,1204,15088,13174,268531,253823,285737,268747
26,UT,A & N Islands,1,1,1,1,17,17,490,490,509,509
27,UT,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,10,11,50,50,527,494,10039,9874,10626,10429
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,2,2,30,24,796,759,828,785
Total (UTs),UT,Total (UTs),11,12,55,55,620,581,12794,12592,13480,13240
Total (All-India),Total (All-India),Total (All-India),621,558,1563,1259,15708,13755,281325,266415,299217,281987
33,City,Ahmedabad ,1,1,3,2,45,36,2735,2734,2784,2773
34,City,Bangalore ,0,0,0,0,0,0,0,0,0,0
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0
36,City,Bombay,0,0,0,1,381,357,7525,7274,7906,7631
37,City,Calcutta,9,6,34,27,322,294,7461,7230,7826,7557
38,City,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,City,Delhi,10,11,50,50,527,494,10039,9874,10626,10429
40,City,Hyderabad,2,2,4,4,131,112,2218,2126,2355,2244
41,City,Indore,0,0,0,0,0,0,0,0,0,0
42,City,Jaipur,0,0,0,0,0,0,0,0,0,0
43,City,Kanpur,0,0,0,0,27,33,1509,1523,1536,1556
44,City,Kochi,1,1,4,4,30,29,778,772,813,806
45,City,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
46,City,Ludhiana,0,2,0,0,0,0,0,0,0,2
47,City,Madras,0,0,0,0,0,0,0,0,0,0
48,City,Madurai,0,0,0,0,0,0,0,0,0,0
49,City,Nagpur,0,0,0,0,0,0,0,0,0,0
50,City,Patna,0,0,0,0,83,83,1890,1704,1973,1787
51,City,Pune,0,0,0,0,4,4,1611,1601,1615,1605
52,City,Surat,0,0,1,1,27,22,891,793,919,816
53,City,Vadodra,0,0,0,0,7,5,534,517,541,522
54,City,Varanasi,0,0,0,0,21,17,1008,986,1029,1003
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0
