SL. No. ,Category, State/UT,Estimated Mid-Year Population,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev. of Atrocities) Act - Incidence (I),SC & ST (Prev. of Atrocities) Act - Rate (R),SC & ST (Prev. of Atrocities) Act - Percentage Contribution to All-India (P),Others Offences - Incidence (I),Others Offences - Rate (R),Others Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,State,Andhra Pradesh ,705.3,16,0,2.9,307,0.4,6.8,36,0.1,3.6,10,0,4,0,0,0,1,0,0.4,5,0,0.9,238,0.3,13.7,307,0.4,2.1,282,0.4,2.8,1202,1.7,3.5
2,State,Arunachal Pradesh ,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,241.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,929.3,21,0,3.8,224,0.2,4.9,48,0.1,4.8,8,0,3.2,3,0,3.8,5,0,1.9,40,0,7.5,7,0,0.4,104,0.1,0.7,329,0.4,3.3,789,0.8,2.3
5,State,Goa,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,1,0.1,0,0,0,0,2,0.2,0
6,State,Gujarat,438.5,15,0,2.7,255,0.6,5.6,29,0.1,2.9,14,0,5.6,5,0,6.4,22,0.1,8.5,19,0,3.6,58,0.1,3.4,694,1.6,4.6,825,1.9,8.2,1936,4.4,5.7
7,State,Haryana,177.1,7,0,1.3,22,0.1,0.5,10,0.1,1,9,0.1,3.6,0,0,0,0,0,0,1,0,0.2,1,0,0.1,0,0,0,16,0.1,0.2,66,0.4,0.2
8,State,Himachal Pradesh,55.1,1,0,0.2,12,0.2,0.3,2,0,0.2,2,0,0.8,0,0,0,0,0,0,0,0,0,21,0.4,1.2,12,0.2,0.1,32,0.6,0.3,82,1.5,0.2
9,State,Jammu & Kashmir,83.2,0,0,0,1,0,0,2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.1,0.1,14,0.2,0
10,State,Karnataka ,473.7,7,0,1.3,6,0,0.1,8,0,0.8,0,0,0,0,0,0,0,0,0,2,0,0.4,483,1,27.9,78,0.2,0.5,373,0.8,3.7,957,2,2.8
11,State,Kerala,304.9,7,0,1.3,186,0.6,4.1,30,0.1,3,2,0,0.8,0,0,0,5,0,1.9,3,0,0.6,15,0,0.9,284,0.9,1.9,125,0.4,1.2,657,2.2,1.9
12,State,Madhya Pradesh,707.8,84,0.1,15.4,696,1,15.3,254,0.4,25.6,28,0,11.2,4,0,5.1,19,0,7.3,48,0.1,9,62,0.1,3.6,341,0.5,2.3,2209,3.1,22,3745,5.3,11
13,State,Maharashtra,842.7,20,0,3.7,161,0.2,3.5,67,0.1,6.8,11,0,4.4,7,0,9,11,0,4.2,24,0,4.5,398,0.5,23,275,0.3,1.8,501,0.6,5,1475,1.8,4.4
