SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1985,22642,6712,29.5
2,1986,21925,7615,34.7
3,1987,34444,8100,23.5
4,1988,33084,9057,27.4
5,1989,33487,11287,33.7
6,1990,41817,11855,28.3
7,1991,59537,17012,28.6
8,1992,67210,17759,26.4
9,1993,136775,21334,15.6
10,1994,86505,20963,24.2
11,1995,106306,25717,24.2
12,Percentage Change In 1995 Over 1985,369.5,283.1,-18.4
