SL. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Total Number of Cases for Trial Including Pending Cases (Col. 4),Number of Cases - Compounded or Withdrawn (Col. 5),Number of Cases - in which Trials were Completed - Convicted (Col. 6),Number of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 7),Number of Cases - in which Trials were Completed - Total (Col. 5+6) (Col. 8),Number of Cases - Pending Trial (Col. 9),Pendency Percentage (Col. 10),Percentage of Pendency to All-India Total (Col. 11),Conviction Rate (Col. 12)
1,State,Andhra Pradesh ,230580,5690,21824,39755,61579,163311,70.8,4,35.4
2,State,Arunachal Pradesh ,7972,31,160,28,188,7753,97.3,0.2,85.1
3,State,Assam,85396,3275,4362,11419,15781,66340,77.7,1.6,27.6
4,State,Bihar,363616,9815,13663,40057,53720,300081,82.5,7.3,25.4
5,State,Goa,13688,189,374,657,1031,12468,91.1,0.3,36.3
6,State,Gujarat,380491,7777,16396,23863,40259,332455,87.4,8.1,40.7
7,State,Haryana,101862,564,12386,14046,26432,74866,73.5,1.8,46.9
8,State,Himachal Pradesh,26014,1144,812,2193,3005,21865,84.1,0.5,27
9,State,Jammu & Kashmir,49767,1477,1871,2496,4367,43923,88.3,1.1,42.8
10,State,Karnataka ,260320,13116,12498,29019,41517,205687,79,5,30.1
11,State,Kerala,206454,11275,11802,35019,46821,148358,71.9,3.6,25.2
12,State,Madhya Pradesh,757640,35977,43707,42960,86667,634996,83.8,15.4,50.4
13,State,Maharashtra,812635,15985,20884,42604,63488,733162,90.2,17.8,32.9
14,State,Manipur,3479,3,0,0,0,3476,99.9,0.1,NA
15,State,Meghalaya,6174,100,405,320,725,5349,86.6,0.1,55.9
16,State,Mizoram,2938,15,588,35,623,2300,78.3,0.1,94.4
17,State,Nagaland,3449,28,312,147,459,2962,85.9,0.1,68
18,State,Orissa,196785,436,3901,25167,29068,167281,85,4.1,13.4
19,State,Punjab,29293,281,2623,4336,6959,22053,75.3,0.5,37.7
20,State,Rajasthan,469460,27730,30186,27336,57522,384208,81.8,9.3,52.5
21,State,Sikkim ,926,33,101,35,136,757,81.7,0,74.3
22,State,Tamil Nadu,244613,5995,64452,29916,94368,144250,59,3.5,68.3
23,State,Tripura,6387,315,159,1589,1748,4324,67.7,0.1,9.1
24,State,Uttar Pradesh,446805,16114,42842,43768,86610,344081,77,8.4,49.5
25,State,West Bengal ,190834,197,3215,12594,15809,174828,91.6,4.2,20.3
Total (States),State,Total (States),4897578,157562,309523,429359,738882,4001134,81.7,97.1,41.9
26,UT,A & N Islands,2409,7,159,125,284,2118,87.9,0.1,56
27,UT,Chandigarh,3903,1,462,481,943,2959,75.8,0.1,49
28,UT,D & N Haveli,1169,0,67,383,450,719,61.5,0,14.9
29,UT,Daman & Diu,303,7,24,54,78,218,71.9,0,30.8
30,UT,Delhi,133937,651,10608,11723,22331,110955,82.8,2.7,47.5
31,UT,Lakshadweep,32,3,2,2,4,25,78.1,0,50
32,UT,Pondicherry,3413,126,764,208,972,2315,67.8,0.1,78.6
Total (UTs),UT,Total (UTs),145166,795,12086,12976,25062,119309,82.2,2.9,48.2
Total (All-India),Total (All-India),Total (All-India),5042744,158357,321609,442335,763944,4120443,81.7,100,42.1
