SL. No. ,Category, State/UT,Estimated Mid-Year Population,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev. of Atrocities) Act - Incidence (I),SC & ST (Prev. of Atrocities) Act - Rate (R),SC & ST (Prev. of Atrocities) Act - Percentage Contribution to All-India (P),Others Offences - Incidence (I),Others Offences - Rate (R),Others Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,State,Andhra Pradesh ,717.1,25,0,4.4,516,0.7,11.4,64,0.1,7.3,22,0,8,0,0,0,3,0,1.4,12,0,2.4,265,0.4,17.3,519,0.7,3.7,338,0.5,3.2,1764,2.5,5.3
2,State,Arunachal Pradesh ,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,246.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,949.1,18,0,3.2,226,0.2,5,13,0,1.5,21,0,7.6,17,0,24.3,17,0,7.8,16,0,3.2,4,0,0.3,170,0.2,1.2,245,0.3,2.3,747,0.8,2.3
5,State,Goa,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,3,0.2,0,0,0,0,4,0.3,0
6,State,Gujarat,446.1,27,0.1,4.7,216,0.5,4.8,15,0,1.7,8,0,2.9,1,0,1.4,13,0,6,20,0,4,97,0.2,6.3,680,1.5,4.9,647,1.5,6.2,1724,3.9,5.2
7,State,Haryana,180.7,8,0,1.4,24,0.1,0.5,10,0.1,1.1,2,0,0.7,0,0,0,0,0,0,1,0,0.2,1,0,0.1,4,0,0,32,0.2,0.3,82,0.5,0.2
8,State,Himachal Pradesh,56.1,0,0,0,6,0.1,0.1,8,0.1,0.9,1,0,0.4,0,0,0,0,0,0,0,0,0,11,0.2,0.7,23,0.4,0.2,33,0.6,0.3,82,1.5,0.2
9,State,Jammu & Kashmir,85.1,0,0,0,0,0,0,0,0,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.3,0.2,25,0.3,0.1
10,State,Karnataka ,480.5,13,0,2.3,34,0.1,0.7,13,0,1.5,1,0,0.4,0,0,0,2,0,0.9,0,0,0,342,0.7,22.4,478,1,3.4,288,0.6,2.7,1171,2.4,3.5
11,State,Kerala,309.1,5,0,0.9,232,0.8,5.1,32,0.1,3.7,2,0,0.7,0,0,0,0,0,0,5,0,1,10,0,0.7,312,1,2.2,98,0.3,0.9,696,2.3,2.1
12,State,Madhya Pradesh,721.4,86,0.1,15.1,681,0.9,15,224,0.3,25.7,37,0.1,13.4,0,0,0,11,0,5,35,0,7,68,0.1,4.5,460,0.6,3.3,2377,3.3,22.7,3979,5.5,12.1
13,State,Maharashtra,859.1,18,0,3.2,292,0.3,6.4,62,0.1,7.1,18,0,6.5,5,0,7.1,5,0,2.3,22,0,4.4,359,0.4,23.5,343,0.4,2.5,498,0.6,4.7,1622,1.9,4.9
14,State,Manipur,20.3,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,State,Meghalaya,19.6,0,0,0,1,0.1,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0
16,State,Mizoram,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Nagaland,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,342.7,8,0,1.4,78,0.2,1.7,8,0,0.9,1,0,0.4,0,0,0,4,0,1.8,0,0,0,7,0,0.5,136,0.4,1,87,0.3,0.8,329,1,1
19,State,Punjab,216,1,0,0.2,5,0,0.1,1,0,0.1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
20,State,Rajasthan,482.1,35,0.1,6.1,303,0.6,6.7,94,0.2,10.8,6,0,2.2,0,0,0,15,0,6.9,44,0.1,8.8,6,0,0.4,2568,5.3,18.4,2126,4.4,20.3,5197,10.8,15.8
21,State,Sikkim ,4.7,1,0.2,0.2,5,1.1,0.1,0,0,0,1,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,25,5.3,0.2,33,7,0.1
22,State,Tamil Nadu,582.9,29,0,5.1,858,1.5,18.9,6,0,0.7,5,0,1.8,3,0,4.3,1,0,0.5,6,0,1.2,211,0.4,13.8,108,0.2,0.8,66,0.1,0.6,1293,2.2,3.9
23,State,Tripura,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,1501.2,296,0.2,51.8,1067,0.7,23.5,321,0.2,36.8,149,0.1,54,44,0,62.9,147,0.1,67.4,339,0.2,67.8,121,0.1,7.9,8117,5.4,58.3,3604,2.4,34.3,14205,9.5,43.1
25,State,West Bengal ,732.7,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),State,Total (States),9027.2,571,0.1,100,4544,0.5,100,873,0.1,100,276,0,100,70,0,100,218,0,100,500,0.1,100,1503,0.2,98.4,13922,1.5,100,10488,1.2,100,32964,3.7,99.9
26,UT,A & N Islands,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0,1,0.9,0,2,1.8,0
30,UT,Delhi,109.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,2,0,0,2,0,0,6,0.1,0
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.6,1.5,0,0,0,1,0.1,0,24,2.7,0.1
Total (UTs),UT,Total (UTs),132.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.2,1.6,3,0,0,4,0,0,32,0.2,0.1
Total (All-India),Total (All-India),Total (All-India),9160.1,571,0.1,100,4544,0.5,100,873,0.1,100,276,0,100,70,0,100,218,0,100,500,0.1,100,1528,0.2,100,13925,1.5,100,10492,1.1,100,32996,3.6,100
