SL. No.,Category,State/UT/City,Killed - In Dacoity Operation Or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation Or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,State,Andhra Pradesh ,3,2,3,0,5,13,24,70,9,8,11,122
2,State,Arunachal Pradesh ,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,2,0,27,29,0,13,0,0,15,28
4,State,Bihar,2,2,10,0,27,41,10,12,12,2,23,59
5,State,Goa,0,0,0,0,0,0,0,27,0,0,0,27
6,State,Gujarat,1,0,10,3,27,41,4,43,27,5,30,109
7,State,Haryana,0,0,3,0,18,21,0,35,1,0,16,52
8,State,Himachal Pradesh,0,0,1,0,6,7,0,0,0,2,3,5
9,State,Jammu & Kashmir,0,0,0,1,2,3,0,0,4,0,0,4
10,State,Karnataka ,0,0,2,8,11,21,2,408,40,0,49,499
11,State,Kerala,0,0,0,0,3,3,3,330,41,0,55,429
12,State,Madhya Pradesh,0,0,6,0,14,20,7,204,68,4,19,302
13,State,Maharashtra,0,0,2,5,40,47,16,110,136,5,95,362
14,State,Manipur,1,0,9,0,4,14,1,0,17,0,4,22
15,State,Meghalaya,2,0,0,0,1,3,0,0,3,0,0,3
16,State,Mizoram,0,0,0,0,0,0,0,3,0,0,0,3
17,State,Nagaland,0,0,3,0,0,3,0,0,0,0,0,0
18,State,Orissa,0,0,5,0,3,8,2,69,13,3,1,88
19,State,Punjab,0,0,9,0,66,75,0,0,6,0,25,31
20,State,Rajasthan,0,0,3,4,17,24,9,67,36,0,21,133
21,State,Sikkim ,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,6,3,16,25,3,225,51,3,29,311
23,State,Tripura,12,0,9,0,0,21,5,6,3,2,0,16
24,State,Uttar Pradesh,2,18,23,0,28,71,11,65,25,2,16,119
25,State,West Bengal ,2,0,1,0,12,15,34,133,28,0,178,373
Total (States),State,Total (States),25,22,107,24,327,505,131,1820,520,36,590,3097
26,UT,A & N Islands,0,0,0,0,2,2,0,0,0,0,1,1
27,UT,Chandigarh,0,0,0,0,0,0,0,2,1,0,2,5
28,UT,D & N Haveli,0,0,0,0,0,0,0,1,0,0,0,1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,1,1,7,9,0,199,58,0,44,301
31,UT,Lakshadweep,0,0,0,0,0,0,0,4,0,0,0,4
32,UT,Pondicherry,0,0,0,0,0,0,0,20,1,0,0,21
Total (UTs),UT,Total (UTs),0,0,1,1,9,11,0,226,60,0,47,333
Total (All-India),Total (All-India),Total (All-India),25,22,108,25,336,516,131,2046,580,36,637,3430
33,CITY,Ahmedabad ,1,0,1,1,0,3,0,7,12,3,2,24
34,CITY,Bangalore ,0,0,0,0,3,3,1,4,7,0,0,12
35,City,Bhopal,0,0,0,0,0,0,0,0,66,0,0,66
36,City,Bombay,0,0,0,0,3,3,3,15,15,0,31,64
37,City,Calcutta,0,0,0,0,6,6,0,15,0,0,168,183
38,City,Coimbatore,0,0,0,0,1,1,0,0,0,0,5,5
39,City,Delhi,0,0,1,1,7,9,0,199,58,0,44,301
40,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Indore,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Jaipur,0,0,0,0,4,4,0,0,0,0,11,11
43,City,Kanpur,0,0,0,0,2,2,0,18,4,0,0,22
44,City,Kochi,0,0,0,0,0,0,0,6,8,0,13,27
45,City,Lucknow,0,0,0,0,0,0,0,0,0,0,1,1
46,City,Ludhiana,0,0,0,0,5,5,0,0,4,0,0,4
47,City,Madras,0,0,0,0,2,2,0,14,10,0,32,56
48,City,Madurai,0,0,0,0,0,0,0,21,0,0,10,31
49,City,Nagpur,0,0,0,0,1,1,0,7,2,0,0,9
50,City,Patna,0,0,1,0,0,1,0,0,0,0,0,0
51,City,Pune,0,0,0,0,0,0,0,8,7,0,0,15
52,City,Surat,0,0,0,0,1,1,0,0,0,0,4,4
53,City,Vadodra,0,0,0,0,0,0,0,7,0,0,0,7
54,City,Varanasi,0,0,2,0,1,3,0,0,0,0,0,0
55,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0
