SL. No.,Category,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents/ Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of ,Pending Disposal
1,State,Andhra Pradesh ,1397,309,287,92,28,302,147,232
2,State,Arunachal Pradesh ,46,0,46,0,0,0,0,0
3,State,Assam,305,17,49,24,20,7,80,108
4,State,Bihar,2026,490,479,223,339,49,308,138
5,State,Goa,30,4,13,0,9,0,4,0
6,State,Gujarat,1994,248,197,135,84,116,370,844
7,State,Haryana,369,9,13,0,0,18,98,231
8,State,Himachal Pradesh,68,0,4,0,1,0,2,61
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka ,462,180,74,15,83,5,14,91
11,State,Kerala,68,0,3,6,7,4,5,43
12,State,Madhya Pradesh,3856,773,224,238,41,52,183,2345
13,State,Maharashtra,2565,535,321,115,185,49,129,1231
14,State,Manipur,2,0,0,0,0,0,2,0
15,State,Meghalaya,28,12,2,0,0,0,7,7
16,State,Mizoram,26,0,8,0,0,16,2,0
17,State,Nagaland,60,0,26,14,0,0,12,8
18,State,Orissa,171,0,21,5,0,0,0,145
19,State,Punjab,10,0,0,0,2,8,0,0
20,State,Rajasthan,1111,178,73,10,69,28,63,690
21,State,Sikkim ,23,6,12,5,0,0,0,0
22,State,Tamil Nadu,3555,2114,501,42,155,76,199,468
23,State,Tripura,15,0,12,0,0,0,3,0
24,State,Uttar Pradesh,43,5,12,1,3,7,5,10
25,State,West Bengal ,153,0,22,2,4,6,66,53
Total (States),State,Total (States),18383,4880,2399,927,1030,743,1699,6705
26,UT,A & N Islands,5,0,0,0,0,0,3,2
27,UT,Chandigarh,23,0,0,0,0,0,0,23
28,UT,D & N Haveli,1,0,1,0,0,0,0,0
29,UT,Daman & Diu,2,0,0,0,0,0,0,2
30,UT,Delhi,376,0,6,0,113,0,64,193
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,0,0,0,1,0,0,2
Total (UTs),UT,Total (UTs),410,0,6,0,114,0,67,222
Total (All-India),Total (All-India),Total (All-India),18793,4880,2406,927,1144,743,1766,6927
33,City,Ahmedabad ,248,74,6,16,0,29,93,30
34,City,Bangalore ,185,41,37,15,29,0,5,58
35,City,Bhopal,0,0,0,0,0,0,0,0
36,City,Bombay,357,89,51,19,11,16,30,141
37,City,Calcutta,6,0,0,0,4,0,2,0
38,City,Coimbatore,87,0,62,3,0,0,0,22
39,City,Delhi,376,0,6,0,113,0,64,193
40,City,Hyderabad,58,34,0,13,0,0,11,0
41,City,Indore,64,0,0,0,0,35,0,29
42,City,Jaipur,65,51,0,4,10,0,0,0
43,City,Kanpur,6,0,0,0,0,0,0,6
44,City,Kochi,2,0,0,0,0,0,2,0
45,City,Lucknow,0,0,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,0,0,0,0
47,City,Madras,69,3,35,2,5,0,0,24
48,City,Madurai,235,0,66,0,2,0,142,25
49,City,Nagpur,104,0,0,0,26,11,0,67
50,City,Patna,40,7,1,0,32,0,0,0
51,City,Pune,134,55,33,7,16,0,0,23
52,City,Surat,409,72,54,21,11,50,201,0
53,City,Vadodara,71,0,0,0,0,8,0,63
54,City,Varanasi,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,64,1,12,4,5,5,2,35
