SI.No.,Category, State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated Mid- Year Population(In Lakhs),Rate of Total Cognizable Crimes,Rank*
1,State,Andhra Pradesh ,105016,6.2,717.1,146.4,21
2,State,Arunachal Pradesh ,1907,0.1,9.6,198.6,16
3,State,Assam,36494,2.2,246.1,148.3,20
4,State,Bihar,115598,6.8,949.1,121.8,26
5,State,Goa,3545,0.2,12.7,279.1,5
6,State,Gujarat,123514,7.3,446.1,276.9,6
7,State,Haryana,33823,2,180.7,187.2,17
8,State,Himachal Pradesh,11147,0.7,56.1,198.7,15
9,State,jammu & Kashmir,15018,0.9,85.1,176.5,18
10,State,Karnataka ,120334,7.1,480.5,250.4,12
11,State,Kerala,87262,5.1,309.1,282.3,4
12,State,Madhya Pradesh,197445,11.6,721.4,273.7,7
13,State,Maharashtra,194163,11.5,859.1,226,13
14,State,Manipur,2596,0.2,20.3,127.9,24
15,State,Meghalaya,1773,0.1,19.6,90.5,30
16,State,Mizoram,2396,0.1,7.9,303.3,3
17,State,Nagaland,1395,0.1,13.9,100.4,28
18,State,Orissa,50995,3,342.7,148.8,19
19,State,Punjab,11145,0.7,216,51.6,32
20,State,Rajasthan,148266,8.7,482.1,307.5,2
21,State,Sikkim ,633,0,4.7,134.7,23
22,State,Tamil Nadu,126761,7.5,582.9,217.5,14
23,State,Tripura,3731,0.2,30.5,122.3,25
24,State,Uttar Pradesh,177992,10.5,1501.2,118.6,27
25,State,West Bengal ,69413,4.1,732.7,94.7,29
Total (States),State,Total (States),1642362,96.9,9027.2,181.9,NA
26,UT,A & N Islands,464,0,3.3,140.6,22
27,UT,Chandigarh,2032,0.1,7.8,260.5,10
28,UT,D & N Haveli,436,0,1.6,272.5,9
29,UT,Daman & DIU,283,0,1.1,257.3,11
30,UT,Delhi,47686,2.8,109.7,434.7,1
31,UT,Lakshadeep,31,0,0.6,51.7,31
32,UT,Pondicherry,2402,0.1,8.8,273,8
Total (UTs),UT,Total (UTs),53334,3.1,132.9,401.3,NA
Total (All-India),Total (All-India),Total (All-India),1695696,100,9160.1,185.1,NA
