SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh ,5,2,2,13,2,2,0,0,0,2,74,280,6,0,1,0,3,221,0,6,0,1,107,725
2,State,Arunachal Pradesh ,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,7
3,State,Assam,7,0,0,2,3,3,0,0,0,0,27,53,13,0,0,0,0,18,0,5,2,2,22,154
4,State,Bihar,54,59,8,21,95,23,72,38,0,35,129,487,426,0,8,0,NA,NA,NA,NA,NA,NA,507,1867
5,State,Goa,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,3,0,0,0,0,1,17
6,State,Gujarat,16,16,1,4,9,8,1,0,0,5,116,254,58,6,7,0,NA,NA,NA,NA,NA,NA,496,988
7,State,Haryana,15,15,6,14,0,0,0,2,0,0,40,71,33,9,7,0,0,5,2,0,0,1,379,599
8,State,Himachal Pradesh,2,2,0,1,1,1,0,1,0,0,6,7,9,0,0,0,1,7,0,0,0,0,8,45
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka ,4,2,0,0,0,0,0,7,0,0,84,173,31,0,4,0,0,61,3,0,0,7,48,424
11,State,Kerala,1,2,0,0,0,0,0,0,0,0,10,13,9,0,0,0,0,0,0,0,0,0,3,38
12,State,Madhya Pradesh,66,66,1,62,3,3,0,1,0,15,252,275,136,13,9,0,1,186,9,54,9,65,207,1430
13,State,Maharashtra,32,14,1,23,13,8,5,5,2,3,328,634,69,3,6,1,0,205,5,15,16,92,348,1815
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
15,State,Meghalaya,1,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,NA,NA,NA,NA,NA,NA,2,17
