SL. No.,Category,State/UT/City,Murder,Attempt to commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh ,11,2,2,18,2,2,0,0,0,3,95,290,6,0,1,0,9,343,0,6,0,1,233,1022
2,State,Arunachal Pradesh ,0,0,0,0,1,1,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,0,24,46
3,State,Assam,7,0,0,2,3,3,0,0,0,0,39,69,54,0,0,0,0,48,0,9,2,3,51,287
4,State,Bihar,58,66,11,22,102,28,74,40,0,37,131,507,449,0,9,0,NA,NA,NA,NA,NA,NA,524,1956
5,State,Goa,0,0,0,0,0,0,0,0,0,0,9,10,4,0,0,0,0,3,0,0,0,0,1,27
6,State,Gujarat,16,16,1,4,10,9,1,0,0,6,162,333,67,8,7,0,NA,NA,NA,NA,NA,NA,537,1167
7,State,Haryana,10,3,5,2,0,0,0,0,0,0,13,48,29,4,1,0,1,9,2,0,0,1,208,336
8,State,Himachal Pradesh,3,2,0,2,1,1,0,1,0,0,14,9,12,0,0,0,6,10,0,0,0,0,8,68
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka ,4,2,0,0,0,0,0,7,0,0,84,173,31,0,4,0,0,61,3,0,0,7,48,424
11,State,Kerala,1,2,1,0,0,0,0,0,0,0,22,21,16,0,0,0,0,0,0,0,0,0,6,68
12,State,Madhya Pradesh,90,79,1,65,4,4,0,1,0,18,477,434,182,14,9,0,1,374,9,54,9,201,1198,3220
13,State,Maharashtra,41,17,0,21,14,9,5,5,5,3,415,761,111,3,10,1,2,242,4,18,7,126,410,2217
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
15,State,Meghalaya,1,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,NA,NA,NA,NA,NA,NA,2,28
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,19
17,State,Nagaland,0,0,0,0,6,2,4,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,16,54
18,State,Orissa,10,0,1,6,0,0,0,3,0,2,38,73,6,1,1,0,0,2,0,0,0,0,24,167
19,State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Rajasthan,23,26,0,11,13,11,2,0,0,10,92,121,183,0,0,0,3,56,6,6,0,24,481,1055
21,State,Sikkim ,0,3,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,23
22,State,Tamil Nadu,4,5,1,6,0,0,0,0,0,0,97,251,14,0,0,0,0,25,1,0,0,0,53,457
23,State,Tripura,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,5,15
24,State,Uttar Pradesh,12,1,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,3,0,0,3,3,32
25,State,West Bengal ,2,0,1,1,3,2,1,0,1,0,2,21,40,0,0,0,0,0,0,0,0,0,52,123
Total (States),State,Total (States),293,224,24,163,159,72,87,57,6,84,1736,3196,1205,30,42,1,22,1180,28,93,18,366,3886,12813
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,5
27,UT,Chandigarh,2,0,0,0,0,0,0,0,0,0,8,8,1,0,0,0,0,1,0,0,0,0,3,23
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,0,2
30,UT,Delhi,10,4,1,13,2,2,0,2,0,7,46,134,21,3,16,0,0,10,0,0,0,0,81,350
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
Total (UTs),UT,Total (UTs),12,4,1,13,2,2,0,2,0,7,54,147,24,3,16,0,0,12,0,0,0,0,87,384
Total (All-India),Total (All-India),Total (All-India),305,228,25,176,161,74,87,59,6,91,1790,3343,1229,33,58,1,22,1192,28,93,18,366,3973,13197
33,City,Ahmedabad ,5,1,0,0,4,3,1,0,0,3,16,93,6,0,0,0,3,11,0,1,0,4,39,186
34,City,Bangalore ,0,1,0,0,0,0,0,0,0,0,50,111,0,0,0,0,0,0,0,0,0,0,22,184
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,City,Bombay,7,1,0,6,5,1,4,4,0,1,64,157,2,1,7,1,0,16,0,2,1,5,60,340
37,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,6
38,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,19
39,City,Delhi,10,4,1,13,2,2,0,2,0,7,46,134,21,3,16,0,0,10,0,0,0,0,81,350
40,City,Hyderabad,0,0,0,0,0,0,0,0,0,1,14,43,0,0,0,0,0,0,0,0,0,0,0,58
41,City,Indore,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,25,0,0,0,0,15,64
42,City,Jaipur,0,3,0,0,2,0,2,0,0,0,10,20,12,0,0,0,0,0,0,0,0,0,17,64
