SI.No. ,Category,State/UT/City                            ,Murder - 1994,Murder - 1995,Murder - Percentage Variation ,Attempt to Commit Murder - 1994,Attempt to Commit Murder - 1995,Attempt to Commit Murder - Percentage Variation ,C.H.Not Amounting to Murder - 1994,C.H.Not Amounting to Murder - 1995,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1994,Rape - 1995,Rape - Percentage Variation ,Kidnaping & Abduction - Total - 1994,Kidnaping & Abduction - Total - 1995 ,Kidnaping & Abduction - Total - Percentage Variation ,Kidnaping & Abduction - of Women & Girls - 1994,Kidnaping & Abduction - of Women & Girls - 1995 ,Kidnaping & Abduction - of Women & Girls - Percentage Variation ,Kidnaping & Abduction - of Others -1994 ,Kidnaping & Abduction - of Others - 1995,Kidnaping & Abduction - of Others - Percentage Variation ,Dacoity - 1994 ,Dacoity - 1995,Dacoity - Percentage Variation ,Preperation & Assembly for Dacoity - 1994,Preperation & Assembly for Dacoity - 1995,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1994 ,Robbery - 1995,Robbery - Percentage Variation ,Burglary - 1994,Burglary - 1995,Burglary - Percentage Variation ,Theft - 1994, Theft - 1995, Theft - Percentage Variation ,Riots - 1994,Riots - 1995,Riots - Percentage Variation ,Criminal Breach of Trust - 1994,Criminal Breach of Trust - 1995,Criminal Breach of Trust - Percentage Variation ,Cheating - 1994,Cheating - 1995,Cheating - Percentage Variation ,Counterfeiting - 1994 ,Counterfeiting - 1995,Counterfeiting - Percentage Variation  ,Arson - 1994,Arson - 1995,Arson - Percentage Variation ,Hurt/Grievious Hurt - 1994,Hurt/Grievious Hurt - 1995,Hurt/Grievious Hurt - Percentage Variation ,Dowry Deaths - 1994,Dowry Deaths - 1995,Dowry Deaths - Percentage Variation ,Molestation - 1994,Molestation - 1995,Molestation - Percentage Variation  ,Sexual Harassment - 1994,Sexual Harassment - 1995,Sexual Harassment - Percentage Variation ,Cruelty By Husband or  Relatives - 1994,Cruelty By Husband or  Relatives - 1995,Cruelty By Husband or  Relatives - Percentage Variation,Other IPC  Crimes - 1994,Other IPC  Crimes - 1995,Other IPC  Crimes - Percentage Variation  ,Total Cognizable Crimes Under IPC - 1994,Total Cognizable Crimes Under IPC - 1995,Total Cognizable Crimes Under IPC - Percentage Variation 
1,State,Andhra Pradesh ,2419,2472,2.2,1302,1316,1.1,83,94,13.3,873,856,-1.9,993,1064,7.2,648,676,4.3,345,388,12.5,529,555,4.9,5,10,100,979,854,-12.8,6954,6454,-7.2,17396,15055,-13.5,3354,4690,39.8,637,571,-10.4,2384,2330,-2.3,252,136,-46,*,1450,NA,*,21139,NA,*,362,NA,*,2677,NA,*,769,NA,*,2829,NA,62629,39333,-37.2,100789,105016,4.2
2,State,Arunachal Pradesh ,64,72,12.5,32,27,-15.6,3,2,-33.3,28,25,-10.7,41,47,14.6,30,31,3.3,11,16,45.5,45,37,-17.8,0,0,NA,52,50,-3.8,165,131,-20.6,317,313,-1.3,11,21,90.9,31,26,-16.1,22,22,0,6,2,-66.7,*,7,NA,*,101,NA,*,0,NA,*,11,NA,*,0,NA,*,1,NA,1056,1012,-4.2,1873,1907,1.8
3,State,Assam,1198,1273,6.3,367,324,-11.7,49,28,-42.9,530,588,10.9,1140,1293,13.4,1003,1119,11.6,137,174,27,807,774,-4.1,24,16,-33.3,1054,1076,2.1,3275,3747,6.1,7325,7358,0.5,3876,4122,6.3,456,436,-4.4,509,536,5.3,95,30,-68.4,*,508,NA,*,3796,NA,*,44,NA,*,572,NA,*,15,NA,*,485,NA,14756,9746,-34,35461,36494,2.9
4,State,Bihar,5098,5050,-0.9,4542,4597,1.2,630,622,-1.3,1130,1312,16.1,2419,2070,-14.4,541,832,53.8,1878,1238,-34.1,2677,2566,-4.1,248,203,-18.1,3002,2678,-10.8,7156,6728,-6,18399,17244,-6.3,13593,12368,-9,1775,1440,-18.9,1362,1572,15.4,74,54,-27,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,53517,57094,6.7,115622,115598,0
5,State,Goa,38,36,-5.3,8,4,-50,2,3,50,8,19,137.5,16,21,31.3,11,14,27.3,5,7,40,5,4,-20,0,0,NA,19,23,21.1,488,615,26,875,1119,27.9,163,224,37.4,46,40,-13,57,55,-3.5,18,12,-33.3,*,48,NA,*,257,NA,*,2,NA,*,27,NA,*,6,NA,*,13,NA,1387,1017,-26.7,3130,3545,13.3
6,State,Gujarat,1340,1432,6.9,714,767,7.4,6,19,216.7,356,309,-13.2,1091,1120,2.7,951,974,2.4,140,146,4.3,318,309,-2.8,0,4,@,1153,1112,-3.6,6238,6437,3.2,20265,19942,-1.6,2259,2266,0.3,2394,2541,6.1,3298,3114,-5.6,160,166,3.8,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,72660,83976,15.6,112252,123514,10
7,State,Haryana,677,716,5.8,370,394,6.5,109,133,22,258,311,20.5,347,433,24.8,236,297,25.8,111,136,22.5,48,71,47.9,36,21,-41.7,257,266,3.5,2749,3069,11.6,4333,4708,8.7,420,635,51.2,332,305,-8.1,779,718,-7.8,41,54,31.7,*,229,NA,*,6464,NA,*,218,NA,*,483,NA,*,296,NA,*,426,NA,21836,13873,-36.5,32592,33823,3.8
8,State,Himachal Pradesh,104,127,22.1,77,83,7.8,16,7,-56.3,110,116,5.5,208,162,-22.1,165,125,-24.2,43,37,-14,3,2,-33.3,0,0,NA,24,20,-16.7,1089,1047,-3.9,1019,916,-10.1,696,568,-18.4,109,115,5.5,196,151,-23,11,6,-45.5,*,160,NA,*,1431,NA,*,6,NA,*,296,NA,*,14,NA,*,219,NA,7123,5701,-20,10785,11147,3.4
9,State,jammu & Kashmir,758,796,5,657,601,-8.5,8,22,175,109,109,0,339,354,4.4,279,287,2.9,60,67,11.7,49,47,-4.1,0,0,NA,111,160,44.1,1827,1753,-4.1,2348,2229,-5.1,647,612,-5.4,93,87,-6.5,172,153,-11,3,1,-66.7,*,772,NA,*,353,NA,*,5,NA,*,235,NA,*,140,NA,*,35,NA,7799,6554,-16,14920,15018,0.7
10,State,Karnataka ,1552,1747,12.6,1094,1245,13.8,61,47,-23,281,263,-6.4,621,595,-4.2,390,301,-22.8,231,294,27.3,377,304,-19.4,4,7,75,1115,1081,-3,9980,10235,2.6,19538,19053,-2.5,9130,9595,5.1,600,621,3.5,1905,1973,3.6,425,76,-82.1,*,520,NA,*,21974,NA,*,202,NA,*,1356,NA,*,192,NA,*,1488,NA,66266,47760,-27.9,112949,120334,6.5
