SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh ,66,57,496,37,366,562,460,1022
2,State,Arunachal Pradesh ,15,0,31,0,0,46,0,46
3,State,Assam,8,1,236,7,35,244,43,287
4,State,Bihar,181,11,1213,53,498,1394,562,1956
5,State,Goa,3,1,18,2,3,21,6,27
6,State,Gujarat,184,20,718,88,157,902,265,1167
7,State,Haryana,58,0,197,11,70,255,81,336
8,State,Himachal Pradesh,3,2,36,4,23,39,29,68
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,State,Karnataka ,100,12,195,18,99,295,129,424
11,State,Kerala,19,0,44,5,0,63,5,68
12,State,Madhya Pradesh,147,25,2719,138,191,2866,354,3220
13,State,Maharashtra,330,34,1524,138,191,1854,363,2217
14,State,Manipur,0,0,2,0,0,2,0,2
15,State,Meghalaya,7,0,21,0,0,28,0,28
16,State,Mizoram,0,0,19,0,0,19,0,19
17,State,Nagaland,10,2,23,4,15,33,21,54
18,State,Orissa,68,1,98,0,0,166,1,167
19,State,Punjab,0,0,0,0,0,0,0,0
20,State,Rajasthan,65,3,608,49,330,673,382,1055
21,State,Sikkim ,5,0,15,0,3,20,3,23
22,State,Tamil Nadu,60,9,310,6,72,370,87,457
23,State,Tripura,0,0,12,3,0,12,3,15
24,State,Uttar Pradesh,1,0,25,0,6,26,6,32
25,State,West Bengal ,2,0,59,1,61,61,62,123
Total (States),State,Total (States),1332,178,8619,564,2120,9951,2862,12813
26,UT,A & N Islands,1,0,4,0,0,5,0,5
27,UT,Chandigarh,7,0,16,0,0,23,0,23
28,UT,D & N Haveli,0,0,0,0,1,0,1,1
29,UT,Daman & Diu,0,0,0,2,0,0,2,2
30,UT,Delhi,33,7,284,6,20,317,33,350
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,3,0,0,3,0,3
Total (UTs),UT,Total (UTs),41,7,307,8,21,348,36,384
Total (All-India),Total (All-India),Total (All-India),1373,185,8926,572,2141,10299,2898,13197
33,City,Ahmedabad ,34,3,94,11,44,128,58,186
34,City,Bangalore ,53,2,110,19,0,163,21,184
35,City,Bhopal,0,0,0,0,0,0,0,0
36,City,Bombay,33,8,267,20,12,300,40,340
37,City,Calcutta,1,0,4,1,0,5,1,6
38,City,Coimbatore,2,1,16,0,0,18,1,19
39,City,Delhi,33,7,284,6,20,317,33,350
40,City,Hyderabad,3,2,53,0,0,56,2,58
41,City,Indore,0,0,64,0,0,64,0,64
42,City,Jaipur,4,0,60,0,0,64,0,64
43,City,Kanpur,0,0,0,0,6,0,6,6
44,City,Kochi,1,0,1,0,0,2,0,2
45,City,Lucknow,0,0,0,0,0,0,0,0
46,City,Ludhiana,0,0,0,0,0,0,0,0
47,City,Madras,0,0,51,1,0,51,1,52
48,City,Madurai,7,2,25,1,4,32,7,39
49,City,Nagpur,0,0,26,4,0,26,4,30
50,City,Patna,6,0,24,0,0,30,0,30
51,City,Pune,18,0,98,8,10,116,18,134
52,City,Surat,7,0,63,1,0,70,1,71
53,City,Vadodara,2,1,34,0,1,36,2,38
54,City,Varanasi,0,0,0,0,0,0,0,0
55,City,Vishakhapatnam,19,1,33,5,0,52,6,58
