SL. No.,Category,State/UT/City,Residental Premises - Number,Residental Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh ,460,94.4,224,54.5,0,0,12,1.1,2,3.4,5,0.6,151,17.2,854,171.1
2,State,Arunachal Pradesh ,25,1.6,5,0.2,0,0,0,0,0,0,6,1.1,14,3.7,50,6.7
3,State,Assam,267,45.8,254,37.8,0,0,12,1,5,5.3,120,27.2,418,67,1076,184.1
4,State,Bihar,824,221.5,1124,313.3,2,0.1,110,6.5,21,11.3,52,32.2,545,66.4,2678,651.3
5,State,Goa,5,2.5,3,0.1,0,0,0,0,0,0,1,0,14,4.8,23,7.5
6,State,Gujarat,186,42.2,85,28.4,2,0,12,2.1,1,4.6,38,10.9,788,183.9,1112,272.1
7,State,Haryana,113,70.4,39,48,0,0,2,0,0,0,13,1.7,99,112.9,266,233.1
8,State,Himachal Pradesh,3,0.6,1,0,0,0,0,0,1,0,0,0,15,8.1,20,8.7
9,State,Jammu & Kashmir,38,8.2,22,39.8,0,0,0,0,0,0,0,0,100,66.2,160,114.2
10,State,Karnataka ,240,49,45,9.6,0,0,26,8.7,2,1.8,59,6.4,709,94.9,1081,170.3
11,State,Kerala,56,30,29,36.5,1,0,0,0,0,0,12,1.3,141,39.2,239,107
12,State,Madhya Pradesh,246,35.5,305,55.9,0,0,26,1.9,0,0,32,3.6,1285,175.8,1894,272.6
13,State,Maharashtra,594,174.3,314,97.2,4,0.4,75,8,1,0,190,106,1952,470.3,3130,856.3
14,State,Manipur,17,7.3,6,1.8,0,0,0,0,1,0.3,0,0,6,1.3,30,10.6
15,State,Meghalaya,17,0.6,26,2.4,0,0,0,0,0,0,12,1.7,24,1.2,79,6
16,State,Mizoram,7,0,11,1.5,0,0,0,0,0,0,0,0,0,0,18,1.5
17,State,Nagaland,7,3,8,2.3,0,0,0,0,0,0,20,9.5,67,52,102,66.8
18,State,Orissa,628,362.3,152,14.9,0,0,8,1.3,0,0,3,0,174,26.6,965,405.2
19,State,Punjab,32,23.1,3,1.8,0,0,0,0,0,0,0,0,12,2.7,47,27.6
20,State,Rajasthan,47,3.6,37,50.7,0,0,9,0.1,0,0,3,0.3,1054,153.1,1150,207.8
21,State,Sikkim ,2,0,0,0,0,0,0,0,0,0,1,0,2,0.1,5,0.2
22,State,Tamil Nadu,170,74.2,47,9.7,2,0,6,3.5,1,0.1,10,4.3,293,79.7,529,171.5
23,State,Tripura,60,0.8,20,0.6,0,0,0,0,0,0,10,0.5,54,0.9,144,2.8
24,State,Uttar Pradesh,1312,213.1,2261,542.7,1,0,78,3.2,14,21.8,30,8.9,1652,440.1,5348,1229.7
25,State,West Bengal ,123,17,139,31.1,0,0,82,4.8,4,1.8,76,19.1,437,32.6,861,106.4
Total (States),State,Total (States),5479,1481.1,5160,1380.7,12,0.5,458,42,53,50.4,693,235.5,10006,2101.1,21861,5291.2
26,UT,A & N Islands,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0,2,0.2
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,7,53.7,3,0.6,10,54.2
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,5,0.1
29,UT,Daman & Diu,2,0.6,0,0,0,0,0,0,0,0,0,0,3,0.2,5,0.8
30,UT,Delhi,200,79.1,92,18.2,0,0,6,0.7,0,0,26,6.1,231,79.2,555,183.3
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,2,0.4,0,0,0,0,0,0,0,0,1,0,2,3,5,3.4
Total (UTs),UT,Total (UTs),205,80.3,92,18.2,0,0,6,0.7,0,0,34,59.8,245,83,582,242.1
Total (All-India),Total (All-India),Total (All-India),5684,1561.4,5252,1398.9,12,0.5,464,42.7,53,50.4,727,295.3,10251,2184.1,22443,5533.3
33,City,Ahmedabad ,16,10.2,2,3.1,0,0,0,0,0,0,8,1.5,112,24.5,138,39.3
34,City,Bangalore ,103,15.6,2,1.7,0,0,0,0,1,1.8,41,4.7,377,47.5,524,71.3
35,City,Bhopal,13,6.7,6,1.1,0,0,0,0,0,0,2,0,81,9.6,102,17.4
36,City,Bombay,153,119.8,23,15.9,2,0.3,0,0,0,0,114,90.1,465,304.4,757,530.6
37,City,Calcutta,19,9.4,55,18.2,0,0,0,0,0,0,34,17.1,47,15.5,155,60.2
38,City,Coimbatore,1,0.7,0,0,0,0,0,0,0,0,1,0,13,6.2,15,6.9
39,City,Delhi,189,78,72,17,0,0,6,0.7,0,0,21,6,203,68.1,491,169.8
40,City,Hyderabad,51,6.7,0,0,0,0,0,0,0,0,0,0,0,0,51,6.7
41,City,Indore,7,0.2,0,0,0,0,0,0,0,0,15,2.1,83,6.2,105,8.5
42,City,Jaipur,5,0.2,0,0,0,0,0,0,0,0,3,0.3,59,3,67,3.5
43,City,Kanpur,27,3.1,142,34.6,0,0,0,0,0,0,3,3.9,9,4.6,181,46.2
44,City,Kochi,1,0.1,1,0.3,0,0,0,0,0,0,0,0,4,3.5,6,3.8
45,City,Lucknow,22,4.1,155,24.7,0,0,0,0,0,0,2,0.6,5,0.3,184,29.7
46,City,Ludhiana,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
47,City,Madras,18,7.8,0,0,0,0,0,0,0,0,3,0.3,48,29.8,69,37.8
48,City,Madurai,2,1.2,2,0,1,0,0,0,0,0,0,0,36,2.4,41,3.7
49,City,Nagpur,16,4.1,1,0,0,0,0,0,0,0,29,7.2,221,5.8,267,17.1
50,City,Patna,61,1.7,85,2.1,0,0,9,0.2,0,0,2,0.2,0,0,157,4.2
51,City,Pune,13,5,0,0,0,0,0,0,0,0,7,1.1,79,21.8,99,28
52,City,Surat,29,4.5,1,0,0,0,0,0,0,0,8,5.4,38,33.6,76,43.5
53,City,Vadodra,4,1.2,1,2.5,0,0,0,0,0,0,1,0,18,2.7,24,6.4
54,City,Varanasi,11,3.1,10,1.5,0,0,0,0,0,0,0,0,48,13,69,17.5
55,City,Vishakhapatnam,14,5.6,3,1.3,0,0,0,0,0,0,0,0,3,0,20,7
