SL. No.,Crimes,Crime Head,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,A.IPC Crime,Murder,28,2,221,13,41,249,56,305
2,A.IPC Crime,Attempt to Commit Murder,13,2,172,7,34,185,43,228
3,A.IPC Crime,C.H. Not Amounting To Murder,1,1,11,0,12,12,13,25
4,A.IPC Crime,Rape,15,0,158,1,2,173,3,176
5,A.IPC Crime,Kidnapping & Abduction,22,2,97,13,27,119,42,161
5,A.IPC Crime,I)of Women & Girls,4,0,41,7,22,45,29,74
5,A.IPC Crime,II)of Others,18,2,56,6,5,74,13,87
6,A.IPC Crime,Dacoity,2,0,57,0,0,59,0,59
7,A.IPC Crime,Preparation & Assembly for Dacoity,0,0,6,0,0,6,0,6
8,A.IPC Crime,Robbery,2,0,81,1,7,83,8,91
9,A.IPC Crime,Burglary,263,11,1432,34,50,1695,95,1790
10,A.IPC Crime,Theft,537,50,2512,70,174,3049,294,3343
11,A.IPC Crime,Riots,86,9,735,48,351,821,408,1229
12,A.IPC Crime,Criminal Breach of Trust,2,0,29,1,1,31,2,33
13,A.IPC Crime,Cheating,12,7,28,1,10,40,18,58
14,A.IPC Crime,Counterfeiting,0,0,0,1,0,0,1,1
15,A.IPC Crime,Arson,0,0,15,2,5,15,7,22
16,A.IPC Crime,Hurt/ Grievous Hurt,59,5,680,38,410,739,453,1192
17,A.IPC Crime,Dowry Death,0,0,2,1,25,2,26,28
18,A.IPC Crime,Molestation,0,0,87,0,6,87,6,93
19,A.IPC Crime,Sexual Harassment,1,0,15,1,1,16,2,18
20,A.IPC Crime,Cruelty by Husband and Relatives,8,3,166,39,150,174,192,366
21,A.IPC Crime,Other IPC Crimes,322,93,2422,301,835,2744,1229,3973
22,A.IPC Crime,Total Cognizable Crimes Under IPC,1373,185,8926,572,2141,10299,2898,13197
1,B.SLL Crime,Arms Act,4,0,49,0,1,53,1,54
2,B.SLL Crime,Narcotic Drugs & Psychotropic Substances Act,0,2,21,2,8,21,12,33
3,B.SLL Crime,Gambling Act ,11,0,277,0,0,288,0,288
4,B.SLL Crime,Excise Act,2,2,68,4,75,70,81,151
5,B.SLL Crime,Prohibition Act,50,23,196,19,494,246,536,782
6,B.SLL Crime,Explosive & Explosive Substances Act,0,0,5,0,0,5,0,5
7,B.SLL Crime,Immoral Traffic (P) Act,0,0,2,0,54,2,54,56
8,B.SLL Crime,Indian Railways Act,2,2,7,0,0,9,2,11
9,B.SLL Crime,Registration of Foreigners Act,0,0,6,0,8,6,8,14
10,B.SLL Crime,Protection Of Civil Rights Act,1,0,2,0,1,3,1,4
11,B.SLL Crime,Indian Passport Act,12,4,2,0,2,14,6,20
12,B.SLL Crime,Essential Commodities Act,0,0,3,0,0,3,0,3
13,B.SLL Crime,Terrorist & Disruptive Actvites Act,0,0,0,0,0,0,0,0
14,B.SLL Crime,Antiquity & Art Treasure Act,0,0,0,0,0,0,0,0
15,B.SLL Crime,Dowry Prohibition Act,0,0,3,3,25,3,28,31
16,B.SLL Crime,Child Marriage Restraint Act,0,0,0,0,0,0,0,0
17,B.SLL Crime,Indecent Representation of Women (P)Act,0,0,0,0,0,0,0,0
18,B.SLL Crime,Copy Right Act,0,0,0,0,0,0,0,0
19,B.SLL Crime,Sati Prevention Act,0,0,0,0,0,0,0,0
20,B.SLL Crime,SC/ST (Prevention of Atrocities ) Act,0,4,4,0,2,4,6,10
21,B.SLL Crime,Forest Act,0,0,0,0,0,0,0,0
22,B.SLL Crime,Other SLL Crimes ,1692,8,1824,18,592,3516,618,4134
23,B.SLL Crime,Total Cognizable Crimes Under SLL,1774,45,2469,46,1262,4243,1353,5596
24,C,Grand Total (A+B),3147,230,11395,618,3403,14542,4251,18793
