SL. No. ,Category,State/UT,Total No. of Persons Under Trial Including those from Previous year,No. of Persons whose - Cases Compounded or Withdrawn,No. of Persons whose - Trial Completed,No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh ,786436,2297,722723,61416,703241,7.8,1.7
2,State,Arunachal Pradesh ,385,1,15,369,13,95.8,0
3,State,Assam,15218,129,2210,12879,675,84.6,0.3
4,State,Bihar,63032,787,14467,47778,4864,75.8,1.3
5,State,Goa,9954,0,1078,8876,1007,89.2,0.2
6,State,Gujarat,949401,3096,140748,805557,58264,84.8,21.9
7,State,Haryana,99616,0,28735,70881,17408,71.2,1.9
8,State,Himachal Pradesh,24058,115,3063,20880,683,86.8,0.6
9,State,Jammu & Kashmir,11456,0,679,10777,315,94.1,0.3
10,State,Karnataka ,1023368,3462,838247,181659,773024,17.8,4.9
11,State,Kerala,30194,1729,11322,17143,7532,56.8,0.5
12,State,Madhya Pradesh,551313,2787,230746,317780,215459,57.6,8.6
13,State,Maharashtra,1578406,12373,359500,1206533,256402,76.4,32.7
14,State,Manipur,3796,17,1905,1874,1871,49.4,0.1
15,State,Meghalaya,1186,36,296,854,248,72,0
16,State,Mizoram,721,0,541,180,520,25,0
17,State,Nagaland,1768,6,455,1307,436,73.9,0
18,State,Orissa,33951,6,8477,25468,2256,75,0.7
19,State,Punjab,49650,130,23454,26066,14421,52.5,0.7
20,State,Rajasthan,110884,698,23246,86940,17610,78.4,2.4
21,State,Sikkim ,696,1,380,315,323,45.3,0
22,State,Tamil Nadu,864778,40470,668650,155658,620176,18,4.2
23,State,Tripura,310,27,83,200,25,64.5,0
24,State,Uttar Pradesh,843889,3532,303175,537182,241709,63.7,14.6
25,State,West Bengal ,745908,306289,407529,32090,400853,4.2,0.9
Total (States),State,Total (States),7800374,377988,3791724,3630662,3339335,46.5,98.5
26,UT,A & N Islands,4345,0,2546,1799,2543,41.4,0
27,UT,Chandigarh,334,13,65,256,40,76.6,0
28,UT,D & N Haveli,130,0,59,71,21,54.6,0
29,UT,Daman & Diu,27,0,5,22,0,81.5,0
30,UT,Delhi,70813,0,18296,52517,12735,74.2,1.4
31,UT,Lakshadweep,1,0,1,0,1,0,0
32,UT,Pondicherry,2713,0,2311,402,2217,14.8,0
Total (UTs),UT,Total (UTs),78363,13,23283,55067,17557,70.3,1.5
Total (All-India),Total (All-India),Total (All-India),7878737,378001,3815007,3685729,3356892,46.8,100
