SL. No.,Rank,Killed - In Dacoity Operation Or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Duties,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation Or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Duties,Injured - In Accidents,Injured - Total
1,Constables,16,15,71,17,211,330,76,1334,378,26,441,2255
2,Head Constables,3,4,17,6,70,100,13,266,90,1,68,438
3,Asst. Sub. Insp.,1,0,3,1,22,27,10,93,37,0,31,171
4,Sub-Inspector,4,0,13,0,29,46,27,188,53,7,75,350
5,Inspector,1,1,2,0,1,5,4,103,10,2,17,136
6,Others(Gazetted Officers),0,2,2,1,3,8,1,62,12,0,5,80
Total,Total,25,22,108,25,336,516,131,2046,580,36,637,3430
